ticker,name,region,sample_start,sample_end,n_obs,bh_sharpe,bh_mdd_pct,bh_cagr_pct,vt_sharpe,vt_mdd_pct,vt_cagr_pct,delta_sharpe,delta_mdd_pp,annual_return_cost_pp,vix_sensitivity,annualized_turnover,total_transaction_cost_pct
EFA,EAFE (Developed ex-US),DM,2007-01-04,2026-03-31,4840,0.24296702997985975,-61.045205465451104,4.497467267188449,0.2106410897457718,-28.287474245636545,3.28026311542442,-0.03232594023408794,32.75773121981456,-1.2172041517640286,-0.6537369721348236,1.204432978681121,2.313276038419296
EWJ,Japan,DM,2007-01-04,2026-03-31,4840,0.2148900476458746,-53.54603585752661,3.86351664558533,0.2242477928266952,-24.02199965438937,3.488562426230035,0.009357745180820609,29.52403620313724,-0.3749542193552946,-0.5760139963669633,1.2260841019546307,2.3548599418493703
EWG,Germany,DM,2007-01-04,2026-03-31,4840,0.2397285601883464,-63.11585298436027,4.440111034106509,0.20547348484173192,-33.52711692036928,3.4094505502278993,-0.03425507534661448,29.588736063990982,-1.0306604838786093,-0.6059749323408783,1.1890662976577113,2.283762254231477
EWU,United Kingdom,DM,2007-01-04,2026-03-31,4840,0.20983364073230384,-63.99739887232241,3.7226382939635982,0.15983039110837988,-30.4574797004711,2.716927517200496,-0.05000324962392397,33.53991917185131,-1.0057107767631024,-0.6096379469647131,1.2060866700220896,2.3164521757567123
EWA,Australia,DM,2007-01-04,2026-03-31,4840,0.27470896137297385,-66.98142089327916,5.390891912434559,0.17648797731319008,-34.00419605802843,3.035346375946979,-0.09822098405978377,32.97722483525074,-2.35554553648758,-0.5872051953172014,1.196482003063826,2.298005116995602
EWC,Canada,DM,2007-01-04,2026-03-31,4840,0.3207273762412501,-60.771369533697836,6.344004070699549,0.29465978230930434,-33.642645699236354,4.335803125695925,-0.026067593931945743,27.12872383446149,-2.0082009450036242,-0.5880478203607442,1.2020095621237161,2.3086215399518997
VGK,Europe,DM,2007-01-04,2026-03-31,4840,0.25219367206099985,-63.65623488915535,4.74811766473846,0.2124562277782683,-29.879859461043534,3.4114320946261545,-0.03973744428273154,33.77637542811181,-1.336685570112306,-0.6401061475007035,1.1971262084081615,2.2992424002759924
EEM,Emerging Markets,EM,2007-01-04,2026-03-31,4840,0.23279430727150469,-66.44881765517073,4.184770747749633,0.17384626506652154,-32.12781090697779,3.00073893808257,-0.05894804220498315,34.32100674819294,-1.1840318096670632,-0.6000834975613767,1.20979304783997,2.3235707744228
FXI,China Large-Cap,EM,2007-01-04,2026-03-31,4840,0.17892425721264818,-72.68804030426497,1.8609809173601999,0.13082397503491197,-47.3613819955341,2.179089985712257,-0.04810028217773621,25.326658308730863,0.3181090683520571,-0.49253260890394895,1.2153206049115572,2.3341871935602923
EWZ,Brazil,EM,2007-01-04,2026-03-31,4840,0.23387002574077273,-77.26777805825577,3.2271456913799845,0.1732468323977358,-67.37364793773739,2.9195859995396534,-0.060623193343036924,9.894130120518385,-0.30755969184033116,-0.5046689981143634,1.2007595257529515,2.3062206764461455
INDA,India,EM,2012-02-07,2026-03-31,3557,0.26733641521364265,-45.07720243577864,5.16868704450355,0.19148711808413726,-26.097272941418915,3.3722750566374193,-0.07584929712950539,18.979929494359727,-1.796411987866131,-0.4667043221688775,1.3384782914801225,1.8892727312677764
EWT,Taiwan,EM,2007-01-04,2026-03-31,4840,0.41110119246991234,-62.92169559480985,9.071793668536476,0.37513880094544955,-31.69716424192388,6.01579887116539,-0.03596239152446279,31.224531352885965,-3.0559947973710866,-0.5689718117650209,1.214186609981375,2.3320092032975617
MCHI,China Broad,EM,2011-04-04,2026-03-31,3770,0.1689437016985885,-62.82381898922775,2.508690510088596,0.14798026661080207,-44.31884137022942,2.600172679622337,-0.02096343508778642,18.504977618998332,0.09148216953374089,-0.46826660952647503,1.3337487171229088,1.9953304220449866
