ticker,name,region,delta_sharpe,delta_mdd_pp,annual_return_cost_pp,vix_sensitivity
EFA,EAFE (Developed ex-US),DM,-0.03232594023408794,32.75773121981456,-1.2172041517640286,-0.6537369721348236
EWJ,Japan,DM,0.009357745180820609,29.52403620313724,-0.3749542193552946,-0.5760139963669633
EWG,Germany,DM,-0.03425507534661448,29.588736063990982,-1.0306604838786093,-0.6059749323408783
EWU,United Kingdom,DM,-0.05000324962392397,33.53991917185131,-1.0057107767631024,-0.6096379469647131
EWA,Australia,DM,-0.09822098405978377,32.97722483525074,-2.35554553648758,-0.5872051953172014
EWC,Canada,DM,-0.026067593931945743,27.12872383446149,-2.0082009450036242,-0.5880478203607442
VGK,Europe,DM,-0.03973744428273154,33.77637542811181,-1.336685570112306,-0.6401061475007035
EEM,Emerging Markets,EM,-0.05894804220498315,34.32100674819294,-1.1840318096670632,-0.6000834975613767
FXI,China Large-Cap,EM,-0.04810028217773621,25.326658308730863,0.3181090683520571,-0.49253260890394895
EWZ,Brazil,EM,-0.060623193343036924,9.894130120518385,-0.30755969184033116,-0.5046689981143634
INDA,India,EM,-0.07584929712950539,18.979929494359727,-1.796411987866131,-0.4667043221688775
EWT,Taiwan,EM,-0.03596239152446279,31.224531352885965,-3.0559947973710866,-0.5689718117650209
MCHI,China Broad,EM,-0.02096343508778642,18.504977618998332,0.09148216953374089,-0.46826660952647503
