ticker,name,region,sample_start,sample_end,n_obs,bh_sharpe,bh_mdd_pct,bh_cagr_pct,vt_sharpe,vt_mdd_pct,vt_cagr_pct,delta_sharpe,delta_mdd_pp,vol_ratio_vt_over_bh,exposure_mismatch,matched_lambda,matched_bh_mdd_pct,exposure_matched_delta_mdd_pp,annual_return_cost_pp,vix_sensitivity,annualized_turnover,total_transaction_cost_pct
EFA,EAFE (Developed ex-US),DM,2012-02-07,2026-03-31,3557,0.4187226090478666,-34.190809489895344,7.466284354430686,0.30737380917756,-21.324608613469643,4.387731608205825,-0.1113487998703066,12.866200876425705,0.6333347060509965,True,0.6333347060509965,-22.615929994214067,1.2913213807444257,-3.0785527462248607,-0.6658336405064151,1.3297821553217484,1.8769980660632772
EWJ,Japan,DM,2012-02-07,2026-03-31,3557,0.4193378894531633,-33.13095188212618,7.6712644814252995,0.3475843636075356,-23.359832775120324,5.154229460902049,-0.07175352584562772,9.771119107005855,0.6817635094541454,True,0.6817635094541454,-23.693683440959845,0.33385066583951906,-2.5170350205232506,-0.5843950079867313,1.3428386545099498,1.8954274182904334
EWG,Germany,DM,2012-02-07,2026-03-31,3557,0.3363916159685103,-46.78382548279364,6.603935874803857,0.21783296443355152,-33.52711692036924,3.654306640153049,-0.11855865153495879,13.256708562424402,0.6349012496487559,True,0.6349012496487559,-32.08674842075347,-1.4403684996157629,-2.949629234650808,-0.6003271908931165,1.3184372892941518,1.860984697626706
EWU,United Kingdom,DM,2012-02-07,2026-03-31,3557,0.32864522021175746,-43.335346965748165,6.07008653414538,0.22273382286701685,-28.06831942924607,3.534360890501298,-0.10591139734474062,15.267027536502098,0.62507945321137,True,0.62507945321137,-29.054360318659043,0.9860408894129757,-2.5357256436440823,-0.5981900863427275,1.3314377764610879,1.8793349884413058
EWA,Australia,DM,2012-02-07,2026-03-31,3557,0.2861531617536102,-45.539510636263536,5.59913786699644,0.1184582943437977,-34.004196058028825,2.310378097221233,-0.16769486740981251,11.535314578234711,0.6158437673738458,True,0.6158437673738458,-30.1359952855913,-3.8682007724375245,-3.288759769775207,-0.5711688975625128,1.3262891643316472,1.872067681558599
EWC,Canada,DM,2012-02-07,2026-03-31,3557,0.3739052514903559,-42.65757236909985,6.9609393798010455,0.24382406777541893,-33.64264569923653,3.7618880369133523,-0.130081183714937,9.014926669863321,0.613599823164449,True,0.613599823164449,-28.253847357972404,-5.388798341264122,-3.199051342887693,-0.5905969596756685,1.3261513726947631,1.871873187569553
VGK,Europe,DM,2012-02-07,2026-03-31,3557,0.41746436715219915,-37.250761320178995,7.872479771040863,0.30680718099566523,-24.079655663573817,4.596192423130829,-0.11065718615653392,13.171105656605175,0.6334326155466335,True,0.6334326155466335,-24.92430671654717,0.8446510529733553,-3.276287347910034,-0.6370538329029345,1.3238444276965422,1.868616916395477
EEM,Emerging Markets,EM,2012-02-07,2026-03-31,3557,0.22369984723617606,-39.798786846244205,4.148913262961007,0.13734905408190862,-32.03436944766745,2.5715661959588187,-0.08635079315426744,7.76441739857675,0.6650195967947831,True,0.6650195967947831,-28.067891160833813,-3.9664782868336412,-1.5773470670021883,-0.6132167556297087,1.34254156820857,1.895008078618208
FXI,China Large-Cap,EM,2012-02-07,2026-03-31,3557,0.13867358490554263,-60.795148704753224,1.7710668447451727,0.11770557363260736,-47.36138199553407,2.1157819774865416,-0.020968011272935266,13.433766709219153,0.6773652029468493,True,0.6773652029468493,-45.776049826582266,-1.585332168951803,0.3447151327413689,-0.44766192050194775,1.3506328426862544,1.9064289767599232
EWZ,Brazil,EM,2012-02-07,2026-03-31,3557,0.1336827997900899,-72.16033988241165,0.46277348125010054,0.07825235413332284,-63.78790627673035,0.8849553467934923,-0.055430445656767066,8.372433605681307,0.6635564277206157,True,0.6635564277206157,-55.64651283199754,-8.141393444732802,0.42218186554339177,-0.43558521887797064,1.3354783954026739,1.8850383541457585
INDA,India,EM,2012-02-07,2026-03-31,3557,0.26733641521364265,-45.07720243577864,5.16868704450355,0.19148711808413726,-26.097272941418915,3.3722750566374193,-0.07584929712950539,18.979929494359727,0.6575200918850199,True,0.6575200918850199,-31.124405185510128,5.027132244091215,-1.796411987866131,-0.4667043221688775,1.3384782914801225,1.8892727312677764
EWT,Taiwan,EM,2012-02-07,2026-03-31,3557,0.5808364545074536,-38.88151066747474,12.025157014391862,0.4825314664843055,-26.839003936813764,7.6111486395480155,-0.09830498802314808,12.042506730660973,0.6813962923929342,True,0.6813962923929342,-28.167509778458054,1.3285058416442896,-4.4140083748438474,-0.5743236241916903,1.337669055555026,1.8881304883369956
MCHI,China Broad,EM,2012-02-07,2026-03-31,3557,0.2040717399366004,-62.82381898922774,3.5923297755641626,0.17495537794186605,-44.318841370229315,3.1785728403995295,-0.029116361994734358,18.50497761899843,0.6766745893377207,True,0.6766745893377207,-47.64747850774822,3.3286371375189083,-0.4137569351646331,-0.46368959740495874,1.3516049041855018,1.9078010492808848
