date,spy_close,vix_close
1993-01-29,24.11326026916504,12.420000076293945
1993-02-01,24.284774780273438,12.329999923706055
1993-02-02,24.336212158203125,12.25
1993-02-03,24.59346580505371,12.119999885559082
1993-02-04,24.696380615234375,12.289999961853027
1993-02-05,24.679227828979492,12.899999618530273
1993-02-08,24.679227828979492,13.220000267028809
1993-02-09,24.507720947265625,13.479999542236328
1993-02-10,24.542016983032227,13.430000305175781
1993-02-11,24.662065505981445,12.6899995803833
1993-02-12,24.473413467407227,12.380000114440918
1993-02-16,23.856002807617188,15.760000228881836
1993-02-17,23.838851928710938,15.899999618530273
1993-02-18,23.82171058654785,15.5600004196167
1993-02-19,23.907455444335938,15.020000457763672
1993-02-22,23.993200302124023,14.699999809265137
1993-02-23,23.976058959960938,15.039999961853027
1993-02-24,24.284774780273438,14.720000267028809
1993-02-25,24.336212158203125,13.760000228881836
1993-02-26,24.37049674987793,13.15999984741211
1993-03-01,24.301916122436523,13.600000381469727
1993-03-02,24.662065505981445,12.489999771118164
1993-03-03,24.76497459411621,13.130000114440918
1993-03-04,24.627763748168945,13.4399995803833
1993-03-05,24.559165954589844,14.079999923706055
1993-03-08,25.107988357543945,16.219999313354492
1993-03-09,25.022228240966797,14.170000076293945
1993-03-10,25.073673248291016,13.90999984741211
1993-03-11,25.005084991455078,14.260000228881836
1993-03-12,24.747825622558594,15.65999984741211
1993-03-15,24.867868423461914,14.739999771118164
1993-03-16,24.867868423461914,14.510000228881836
1993-03-17,24.713516235351562,14.529999732971191
1993-03-18,24.867868423461914,14.170000076293945
1993-03-19,24.830244064331055,13.229999542236328
1993-03-22,24.692386627197266,13.65999984741211
1993-03-23,24.744075775146484,13.020000457763672
1993-03-24,24.744075775146484,12.4399995803833
1993-03-25,24.8991756439209,12.079999923706055
1993-03-26,24.761310577392578,12.210000038146973
1993-03-29,24.864694595336914,12.630000114440918
1993-03-30,24.933631896972656,12.229999542236328
1993-03-31,24.916397094726562,12.529999732971191
1993-04-01,24.830244064331055,13.020000457763672
1993-04-02,24.313308715820312,14.5
1993-04-05,24.433923721313477,14.119999885559082
1993-04-06,24.3649959564209,14.239999771118164
1993-04-07,24.45114517211914,13.640000343322754
1993-04-08,24.416688919067383,12.829999923706055
1993-04-12,24.761310577392578,11.930000305175781
1993-04-13,24.81300926208496,11.699999809265137
1993-04-14,24.77854347229004,11.760000228881836
1993-04-15,24.77854347229004,10.960000038146973
1993-04-16,24.77854347229004,11.289999961853027
1993-04-19,24.675159454345703,12.0600004196167
1993-04-20,24.554536819458008,11.9399995803833
1993-04-21,24.53729820251465,12.109999656677246
1993-04-22,24.227157592773438,12.680000305175781
1993-04-23,24.123750686645508,13.359999656677246
1993-04-26,23.934215545654297,15.25
1993-04-27,24.19268226623535,13.930000305175781
1993-04-28,24.140989303588867,13.119999885559082
1993-04-29,24.24437141418457,12.800000190734863
1993-04-30,24.27884864807129,12.420000076293945
1993-05-03,24.433923721313477,12.899999618530273
1993-05-04,24.520078659057617,12.140000343322754
1993-05-05,24.589017868041992,12.380000114440918
1993-05-06,24.502849578857422,13.220000267028809
1993-05-07,24.45114517211914,13.010000228881836
1993-05-10,24.502849578857422,13.720000267028809
1993-05-11,24.606231689453125,13.350000381469727
1993-05-12,24.5717716217041,13.5600004196167
1993-05-13,24.27884864807129,14.760000228881836
1993-05-14,24.261600494384766,14.390000343322754
1993-05-17,24.347761154174805,14.130000114440918
1993-05-18,24.330524444580078,14.1899995803833
1993-05-19,24.830244064331055,14.289999961853027
1993-05-20,24.8991756439209,13.979999542236328
1993-05-21,24.675159454345703,14.510000228881836
1993-05-24,24.77854347229004,14.100000381469727
1993-05-25,24.830244064331055,14.039999961853027
1993-05-26,25.14040184020996,12.880000114440918
1993-05-27,25.054244995117188,13.100000381469727
1993-05-28,24.933631896972656,13.470000267028809
1993-06-01,25.174848556518555,13.670000076293945
1993-06-02,25.14040184020996,13.479999542236328
1993-06-03,25.054244995117188,13.539999961853027
1993-06-04,24.96809196472168,12.859999656677246
1993-06-07,24.881935119628906,14.069999694824219
1993-06-08,24.657928466796875,14.739999771118164
1993-06-09,24.744075775146484,13.960000038146973
1993-06-10,24.761310577392578,13.3100004196167
1993-06-11,24.864694595336914,12.710000038146973
1993-06-14,24.830244064331055,12.329999923706055
1993-06-15,24.77854347229004,11.989999771118164
1993-06-16,24.830244064331055,11.869999885559082
1993-06-17,24.916397094726562,11.65999984741211
1993-06-18,24.71120834350586,12.239999771118164
1993-06-21,24.76326560974121,12.25
1993-06-22,24.780624389648438,11.649999618530273
1993-06-23,24.555036544799805,12.039999961853027
1993-06-24,24.884740829467773,12.25
1993-06-25,24.86738395690918,11.25
1993-06-28,25.145042419433594,11.109999656677246
1993-06-29,25.0235652923584,11.289999961853027
1993-06-30,25.0235652923584,11.260000228881836
1993-07-01,24.954151153564453,11.510000228881836
1993-07-02,24.815332412719727,11.329999923706055
1993-07-06,24.555036544799805,13.869999885559082
1993-07-07,24.624439239501953,13.050000190734863
1993-07-08,24.902101516723633,12.239999771118164
1993-07-09,24.971515655517578,10.800000190734863
1993-07-12,24.954151153564453,10.850000381469727
1993-07-13,24.93680191040039,11.020000457763672
1993-07-14,25.0235652923584,10.779999732971191
1993-07-15,24.919448852539062,10.600000381469727
1993-07-16,24.850040435791016,10.960000038146973
1993-07-19,24.832683563232422,11.460000038146973
1993-07-20,24.902101516723633,11.050000190734863
1993-07-21,24.884740829467773,11.970000267028809
