Date,COPX,ICLN,ITA,LIT,PICK,QQQ,REMX,SMH,SOXX,SPY,TAN,URA,XLI
2023-01-04,33.79038619995117,18.789112091064453,109.17245483398438,57.18444061279297,36.815643310546875,260.41864013671875,74.08792877197266,101.86154174804688,115.04712677001953,366.94512939453125,72.87178802490234,17.57925033569336,94.32537841796875
2023-01-05,34.303489685058594,18.399845123291016,109.0263900756836,57.04803466796875,37.145381927490234,256.3420104980469,74.6626205444336,100.03643035888672,113.10723114013672,362.75701904296875,70.4957504272461,17.605514526367188,93.30890655517578
2023-01-06,35.786834716796875,18.874557495117188,110.71106719970703,59.05519485473633,38.901058197021484,263.41741943359375,79.10693359375,104.41178131103516,118.37036895751953,371.0758361816406,73.43846130371094,18.53350257873535,95.8644027709961
2023-01-09,36.57048797607422,19.035959243774414,108.59791564941406,59.854156494140625,39.06147384643555,265.12261962890625,79.94025421142578,106.685791015625,120.55113220214844,370.8655090332031,74.27355194091797,18.857425689697266,95.43689727783203
2023-01-10,37.34480667114258,19.32078742980957,109.22114562988281,60.341331481933594,39.810081481933594,267.36669921875,80.24675750732422,108.0718994140625,122.1102523803711,373.4662170410156,76.5899429321289,19.128816604614258,95.95938873291016
2023-01-11,37.5034065246582,19.88094711303711,109.87361907958984,61.78336715698242,40.16657638549805,271.99212646484375,82.54553985595703,109.3396224975586,123.68560791015625,378.18988037109375,79.74141693115234,19.146324157714844,96.88090515136719
2023-01-12,38.28705978393555,20.17527198791504,110.74028015136719,63.313087463378906,41.00430679321289,273.46209716796875,84.72938537597656,110.977294921875,125.18934631347656,379.56671142578125,81.20283508300781,19.277645111083984,97.45088958740234
2023-01-13,38.31504821777344,20.14678382873535,109.40618133544922,62.78694534301758,41.22710037231445,275.34375,83.92481231689453,111.37683868408203,125.70686340332031,381.0393371582031,81.26248168945312,19.38269805908203,97.3368911743164
2023-01-17,37.4194450378418,20.279708862304688,108.86083984375,62.63104248046875,40.46066665649414,275.90228271484375,83.35968780517578,112.037841796875,125.85009002685547,380.3413391113281,81.80927276611328,19.11130714416504,96.51039123535156
2023-01-18,37.624691009521484,20.0423526763916,106.98141479492188,62.514129638671875,40.46957778930664,272.3155517578125,82.78499603271484,111.33738708496094,125.18934631347656,374.33642578125,81.31219482421875,18.682329177856445,94.6958999633789
2023-01-19,37.960540771484375,19.368257522583008,105.58887481689453,62.16335678100586,40.72802734375,269.6402587890625,83.2064437866211,108.614501953125,121.6773452758789,371.611328125,77.50456237792969,18.97998809814453,92.74839782714844
2023-01-20,38.510963439941406,19.55814552307129,106.4847640991211,64.13153076171875,41.360782623291016,277.0194091796875,85.92666625976562,112.1463623046875,125.48553466796875,378.5340576171875,79.0057373046875,19.52277183532715,94.0404052734375
