event_date,event_id,country,material_group,shock_type,ticker,channel,metric,ratio,pre_mean,post_mean,anchor_date,pre_start,pre_end,post_start,post_end,n_pre,n_post,boot_p_value,boot_n_anchors,boot_null_mean,boot_null_p95,boot_null_p99
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,COPX,industrial_metals,t1_r2,0.5121434837281358,0.0003666028494064803,0.00018775326043969596,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-05,25,1,0.45,783,1.2368217063687321,5.317378558859934,12.026890613757876
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,COPX,industrial_metals,rv5,1.0987385465481825,0.0003666028494064803,0.00040280068191729843,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.414,779,1.3084721230110008,3.8416047752557794,6.947853440741158
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,COPX,industrial_metals,rv22,1.1033870044986445,0.0003666028494064803,0.000404504819847284,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-08-03,25,22,0.433,762,1.2842716511161043,3.2694017484783737,3.90542439385035
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,COPX,industrial_metals,jump5_abs,2.0944597736134556,0.015710372082744242,0.018171181497060214,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.47,779,2.201469253103679,4.584156843570641,6.0339358082995345
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ICLN,clean_energy,t1_r2,2.805671919971683,8.995538092673368e-05,0.000252385286316493,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-05,25,1,0.122,783,1.2932298036446264,5.505173891205587,10.732707716818448
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ICLN,clean_energy,rv5,2.4632020367925866,8.995538092673368e-05,0.0002215782775191834,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.116,779,1.2428599768527515,3.191600905870991,8.328501343658264
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ICLN,clean_energy,rv22,2.6905201527321907,8.995538092673368e-05,0.0002420267652300779,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-08-03,25,22,0.073,762,1.201790386806005,2.990890810479059,3.729127075939673
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ICLN,clean_energy,jump5_abs,2.99409224460361,0.007648230540228797,0.013548250985263102,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.188,779,2.1449779752932887,3.9478435265247045,5.13313267567047
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ITA,defense,t1_r2,0.02560167494703891,0.00010331003131717921,2.6449098405508323e-06,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-05,25,1,0.896,783,1.4833491439491175,5.912323442235787,15.57630532730579
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ITA,defense,rv5,0.4189678764086107,0.00010331003131717921,4.328358443266564e-05,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.769,779,1.48602640598481,5.261395300185947,12.416691930405479
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ITA,defense,rv22,0.8400588926686343,0.00010331003131717921,8.67865105098715e-05,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-08-03,25,22,0.634,762,1.2869370680216354,3.322672986654806,7.134730768686485
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,ITA,defense,jump5_abs,1.407202881540994,0.008591034926724883,0.00514882664806387,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.731,779,2.2421528091300247,4.5713033836323715,7.925091224663317
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,LIT,battery_clean,t1_r2,0.022721384542985876,0.00016676549411821475,3.789142920361007e-06,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-05,25,1,0.892,783,1.348738858537305,4.545193574213191,13.946705383952168
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,LIT,battery_clean,rv5,0.9665570354196282,0.00016676549411821475,0.0001611883616051911,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.44,779,1.1966012195393387,2.98683966780245,5.64363231918886
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,LIT,battery_clean,rv22,1.2538092743813394,0.00016676549411821475,0.00020909212317220434,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-08-03,25,22,0.335,762,1.1826124154718232,2.534267106381151,5.672575702553243
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,LIT,battery_clean,jump5_abs,1.7245013361971786,0.010611215749659415,0.010565277054076519,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.612,779,2.213511195169371,4.155741345947844,9.508514090174842
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,PICK,industrial_metals,t1_r2,1.0495529878878727,0.00026545470042622736,0.00027860877398122705,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-05,25,1,0.314,783,1.337058826009089,5.942878744316345,11.964699266515899
2023-07-03,china_gallium_germanium_20230703,China,gallium_germanium,license_requirement,PICK,industrial_metals,rv5,0.9851103417676674,0.00026545470042622736,0.0002615021706607146,2023-07-03,2023-05-18,2023-06-23,2023-07-05,2023-07-11,25,5,0.413,779,1.2684703131080841,3.567023338627839,8.511517815058658
