date,index_call,index_put,index_total,index_pcr
2006-11-01,297253,370373,667626,1.25
2006-11-02,211699,236992,448691,1.12
2006-11-03,210905,266663,477568,1.26
2006-11-06,201086,254035,455121,1.26
2006-11-07,297353,310046,607399,1.04
2006-11-08,269846,268482,538328,0.99
2006-11-09,183458,260404,443862,1.42
2006-11-10,170334,200796,371130,1.18
2006-11-13,273555,372879,646434,1.36
2006-11-14,404436,566055,970491,1.4
2006-11-15,552168,713019,1265187,1.29
2006-11-16,528934,524870,1053804,0.99
2006-11-17,466854,672584,1139438,1.44
2006-11-20,388962,531648,920610,1.37
2006-11-21,177911,623525,801436,3.5
2006-11-22,161972,337298,499270,2.08
2006-11-24,81571,171007,252578,2.1
2006-11-27,327498,723309,1050807,2.21
2006-11-28,209382,320962,530344,1.53
2006-11-29,367236,398167,765403,1.08
2006-11-30,253734,247397,501131,0.98
2006-12-01,240723,360693,601416,1.5
2006-12-04,234931,364635,599566,1.55
2006-12-05,268647,315598,584245,1.17
2006-12-06,236810,313165,549975,1.32
2006-12-07,255460,377987,633447,1.48
2006-12-08,234237,277192,511429,1.18
2006-12-11,291976,304634,596610,1.04
2006-12-12,318699,515832,834531,1.62
2006-12-13,361663,519928,881591,1.44
2006-12-14,761906,577322,1339228,0.76
2006-12-15,605365,565982,1171347,0.93
2006-12-18,238773,757713,996486,3.17
2006-12-19,303961,448207,752168,1.47
2006-12-20,139341,356747,496088,2.56
2006-12-21,180476,343854,524330,1.91
2006-12-22,154139,321587,475726,2.09
2006-12-26,74684,131076,205760,1.76
2006-12-27,166246,166455,332701,1.0
2006-12-28,221599,218126,439725,0.98
2006-12-29,145861,224889,370750,1.54
2007-01-03,205724,309416,515140,1.5
2007-01-04,270783,293745,564528,1.08
2007-01-05,290570,352167,642737,1.21
2007-01-08,232352,273485,505837,1.18
2007-01-09,237668,276434,514102,1.16
2007-01-10,222172,300204,522376,1.35
2007-01-11,290609,374464,665073,1.29
2007-01-12,322606,345792,668398,1.07
2007-01-16,363935,446782,810717,1.23
2007-01-17,306362,489441,795803,1.6
2007-01-18,393677,536049,929726,1.36
2007-01-19,329331,590644,919975,1.79
2007-01-22,430140,624065,1054205,1.45
2007-01-23,279965,425930,705895,1.52
2007-01-24,247491,434697,682188,1.76
2007-01-25,253423,614274,867697,2.42
2007-01-26,297561,426786,724347,1.43
2007-01-29,148155,354883,503038,2.4
2007-01-30,141025,303469,444494,2.15
2007-01-31,218874,346706,565580,1.58
2007-02-01,269289,347515,616804,1.29
2007-02-02,227401,293788,521189,1.29
2007-02-05,94058,205217,299275,2.18
2007-02-06,142722,267353,410075,1.87
2007-02-07,209059,244174,453233,1.17
2007-02-08,224539,316515,541054,1.41
2007-02-09,381115,436715,817830,1.15
2007-02-12,244481,425298,669779,1.74
2007-02-13,344397,396705,741102,1.15
2007-02-14,523595,570192,1093787,1.09
2007-02-15,509557,523428,1032985,1.03
2007-02-16,321329,586868,908197,1.83
2007-02-20,400236,619782,1020018,1.55
2007-02-21,276474,512423,788897,1.85
2007-02-22,213697,480673,694370,2.25
2007-02-23,179225,463363,642588,2.59
2007-02-26,153521,299395,452916,1.95
2007-02-27,603032,997380,1600412,1.65
2007-02-28,502539,738416,1240955,1.47
2007-03-01,468947,1012737,1481684,2.16
2007-03-02,462177,725001,1187178,1.57
2007-03-05,545650,1144730,1690380,2.1
2007-03-06,495959,784999,1280958,1.58
2007-03-07,430575,740914,1171489,1.72
2007-03-08,585785,490822,1076607,0.84
2007-03-09,393480,461887,855367,1.17
2007-03-12,449756,519818,969574,1.16
2007-03-13,499341,837143,1336484,1.68
2007-03-14,666113,1681709,2347822,2.52
2007-03-15,628936,857328,1486264,1.36
2007-03-16,345707,535037,880744,1.55
2007-03-19,407845,385484,793329,0.95
2007-03-20,276899,412888,689787,1.49
2007-03-21,546621,659895,1206516,1.21
2007-03-22,455998,615085,1071083,1.35
2007-03-23,264552,281636,546188,1.06
2007-03-26,269772,363514,633286,1.35
2007-03-27,182823,339418,522241,1.86
2007-03-28,221859,510155,732014,2.3
2007-03-29,251282,422878,674160,1.68
2007-03-30,238160,436844,675004,1.83
2007-04-02,163930,200264,364194,1.22
2007-04-03,291640,491337,782977,1.68
2007-04-04,185286,261305,446591,1.41
2007-04-05,257831,324930,582761,1.26
2007-04-09,192104,255278,447382,1.33
2007-04-10,248392,351368,599760,1.41
2007-04-11,323251,401133,724384,1.24
2007-04-12,301413,385820,687233,1.28
2007-04-13,369178,455377,824555,1.23
2007-04-16,610834,558500,1169334,0.91
2007-04-17,537355,655199,1192554,1.22
2007-04-18,515433,680322,1195755,1.32
2007-04-19,616274,729273,1345547,1.18
2007-04-20,398851,554697,953548,1.39
2007-04-23,332418,592261,924679,1.78
2007-04-24,244692,647601,892293,2.65
2007-04-25,357713,436067,793780,1.22
2007-04-26,483145,592276,1075421,1.23
2007-04-27,188033,415632,603665,2.21
2007-04-30,411419,411532,822951,1.0
2007-05-01,207399,417194,624593,2.01
2007-05-02,401607,405362,806969,1.01
2007-05-03,360065,377531,737596,1.05
2007-05-04,330586,493828,824414,1.49
2007-05-07,232944,278215,511159,1.19
2007-05-08,249631,367367,616998,1.47
2007-05-09,723217,483844,1207061,0.67
2007-05-10,312465,500316,812781,1.6
2007-05-11,338035,503812,841847,1.49
2007-05-14,394277,468690,862967,1.19
2007-05-15,486666,473246,959912,0.97
2007-05-16,674074,833160,1507234,1.24
2007-05-17,618604,712917,1331521,1.15
2007-05-18,426641,766673,1193314,1.8
2007-05-21,315176,625559,940735,1.98
2007-05-22,177733,597180,774913,3.36
2007-05-23,408011,541666,949677,1.33
2007-05-24,244042,521869,765911,2.14
2007-05-25,213173,317394,530567,1.49
2007-05-29,197389,343660,541049,1.74
2007-05-30,348720,347974,696694,1.0
2007-05-31,326419,468627,795046,1.44
2007-06-01,245295,385144,630439,1.57
2007-06-04,218552,404292,622844,1.85
2007-06-05,518669,714369,1233038,1.38
2007-06-06,457157,679166,1136323,1.49
2007-06-07,556193,780252,1336445,1.4
2007-06-08,490568,646878,1137446,1.32
2007-06-11,397845,483623,881468,1.22
2007-06-12,568277,688399,1256676,1.21
2007-06-13,468707,568838,1037545,1.21
2007-06-14,530098,690551,1220649,1.3
2007-06-15,414318,806724,1221042,1.95
2007-06-18,253199,453750,706949,1.79
2007-06-19,210308,431667,641975,2.05
2007-06-20,379768,597546,977314,1.57
2007-06-21,270671,431766,702437,1.6
2007-06-22,288478,383682,672160,1.33
2007-06-25,276984,422310,699294,1.52
2007-06-26,292494,510519,803013,1.75
2007-06-27,337398,520426,857824,1.54
2007-06-28,232186,316110,548296,1.36
2007-06-29,441863,408858,850721,0.93
2007-07-02,177857,281653,459510,1.58
2007-07-03,200111,232666,432777,1.16
2007-07-05,220767,312243,533010,1.41
2007-07-06,322234,259637,581871,0.81
2007-07-09,205911,321114,527025,1.56
2007-07-10,324414,543905,868319,1.68
2007-07-11,413995,431556,845551,1.04
2007-07-12,554543,584433,1138976,1.05
2007-07-13,418888,578486,997374,1.38
2007-07-16,341725,449672,791397,1.32
2007-07-17,366743,596085,962828,1.63
2007-07-18,505753,831746,1337499,1.64
2007-07-19,764161,662762,1426923,0.87
2007-07-20,403859,696290,1100149,1.72
2007-07-23,243020,409902,652922,1.69
2007-07-24,251200,746476,997676,2.97
2007-07-25,379762,650023,1029785,1.71
2007-07-26,598686,1264740,1863426,2.11
2007-07-27,470292,928109,1398401,1.97
2007-07-30,647248,790907,1438155,1.22
2007-07-31,585240,859193,1444433,1.47
2007-08-01,542583,840433,1383016,1.55
2007-08-02,458770,586576,1045346,1.28
2007-08-03,399689,567265,966954,1.42
2007-08-06,632664,849077,1481741,1.34
2007-08-07,603297,689850,1293147,1.14
2007-08-08,652583,659040,1311623,1.01
2007-08-09,584356,821148,1405504,1.41
2007-08-10,760734,1064927,1825661,1.4
2007-08-13,595391,579728,1175119,0.97
2007-08-14,579341,963474,1542815,1.66
2007-08-15,564497,986885,1551382,1.75
2007-08-16,1142889,1887758,3030647,1.65
2007-08-17,572035,828339,1400374,1.45
2007-08-20,401153,566831,967984,1.41
2007-08-21,519437,637698,1157135,1.23
2007-08-22,420394,804679,1225073,1.91
2007-08-23,392999,514535,907534,1.31
2007-08-24,374279,391279,765558,1.05
2007-08-27,161612,317273,478885,1.96
2007-08-28,303964,542967,846931,1.79
2007-08-29,327484,350182,677666,1.07
2007-08-30,257223,372418,629641,1.45
2007-08-31,250103,427542,677645,1.71
2007-09-04,318008,578977,896985,1.82
2007-09-05,241513,449811,691324,1.86
2007-09-06,233749,378133,611882,1.62
2007-09-07,306539,550314,856853,1.8
2007-09-10,306433,368809,675242,1.2
2007-09-11,318730,430644,749374,1.35
2007-09-12,352779,431995,784774,1.22
2007-09-13,289611,466000,755611,1.61
2007-09-14,263317,421105,684422,1.6
2007-09-17,444154,454400,898554,1.02
2007-09-18,721944,777067,1499011,1.08
2007-09-19,849957,1127443,1977400,1.33
2007-09-20,759965,849977,1609942,1.12
2007-09-21,486228,592512,1078740,1.22
2007-09-24,332998,525788,858786,1.58
2007-09-25,249418,505885,755303,2.03
2007-09-26,369863,461140,831003,1.25
2007-09-27,185186,313950,499136,1.7
2007-09-28,238174,358021,596195,1.5
2007-10-01,318208,462789,780997,1.45
2007-10-02,242305,540849,783154,2.23
2007-10-03,187529,274276,461805,1.46
2007-10-04,303993,325875,629868,1.07
2007-10-05,419389,364533,783922,0.87
2007-10-08,210836,271371,482207,1.29
2007-10-09,391684,437464,829148,1.12
2007-10-10,274428,493435,767863,1.8
2007-10-11,464330,616830,1081160,1.33
2007-10-12,325485,370427,695912,1.14
2007-10-15,406559,504322,910881,1.24
2007-10-16,481593,577606,1059199,1.2
2007-10-17,631132,886183,1517315,1.4
2007-10-18,609380,675274,1284654,1.11
