date,SPY,VIX,SVXY,VXX,IRX
2009-12-03,81.93577575683594,22.459999084472656,,,0.03999999910593033
2009-12-04,82.4034194946289,21.25,,,0.03999999910593033
2009-12-07,82.27723693847656,22.100000381469727,,,0.014999999664723873
2009-12-08,81.36420440673828,23.690000534057617,,,0.02500000037252903
2009-12-09,81.66851806640625,22.65999984741211,,,0.02500000037252903
2009-12-10,82.12877655029297,22.31999969482422,,,0.02500000037252903
2009-12-11,82.47766876220703,21.59000015258789,,,0.019999999552965164
2009-12-14,83.04178619384766,21.149999618530273,,,0.019999999552965164
2009-12-15,82.6557846069336,21.489999771118164,,,0.03999999910593033
2009-12-16,82.78202056884766,20.540000915527344,,,0.03500000014901161
2009-12-17,81.78730773925781,22.510000228881836,,,0.03999999910593033
2009-12-18,82.25000762939453,21.68000030517578,,,0.03999999910593033
2009-12-21,83.08587646484375,20.489999771118164,,,0.04500000178813934
2009-12-22,83.3843994140625,19.540000915527344,,,0.07000000029802322
2009-12-23,83.54857635498047,19.709999084472656,,,0.054999999701976776
2009-12-24,83.9441146850586,19.469999313354492,,,0.03999999910593033
2009-12-28,84.12322235107422,19.93000030517578,,,0.054999999701976776
2009-12-29,84.0038070678711,20.010000228881836,,,0.0949999988079071
2009-12-30,83.97396087646484,19.959999084472656,,,0.03999999910593033
2009-12-31,83.1679916381836,21.68000030517578,,,0.05000000074505806
2010-01-04,84.57847595214844,20.040000915527344,,,0.054999999701976776
2010-01-05,84.80236053466797,19.350000381469727,,,0.05999999865889549
2010-01-06,84.86209106445312,19.15999984741211,,,0.04500000178813934
2010-01-07,85.22032165527344,19.059999465942383,,,0.04500000178813934
2010-01-08,85.50389862060547,18.1299991607666,,,0.03999999910593033
2010-01-11,85.62329864501953,17.549999237060547,,,0.02500000037252903
2010-01-12,84.82477569580078,18.25,,,0.03999999910593033
2010-01-13,85.54124450683594,17.850000381469727,,,0.05000000074505806
2010-01-14,85.7725601196289,17.6299991607666,,,0.04500000178813934
2010-01-15,84.80984497070312,17.90999984741211,,,0.054999999701976776
2010-01-19,85.8696060180664,17.579999923706055,,,0.05000000074505806
2010-01-20,84.99642944335938,18.68000030517578,,,0.05000000074505806
2010-01-21,83.36200714111328,22.270000457763672,,,0.03999999910593033
2010-01-22,81.50369262695312,27.309999465942383,,,0.04500000178813934
2010-01-25,81.92164611816406,25.40999984741211,,,0.04500000178813934
2010-01-26,81.57833862304688,24.549999237060547,,,0.06499999761581421
2010-01-27,81.96640014648438,23.139999389648438,,,0.07000000029802322
2010-01-28,81.02604675292969,23.729999542236328,,,0.07000000029802322
2010-01-29,80.14545440673828,24.6200008392334,,,0.07000000029802322
2010-02-01,81.39177703857422,22.59000015258789,,,0.08500000089406967
2010-02-02,82.37689971923828,21.479999542236328,,,0.09000000357627869
2010-02-03,81.96640014648438,21.600000381469727,,,0.09000000357627869
2010-02-04,79.43645477294922,26.079999923706055,,,0.08500000089406967
2010-02-05,79.60063171386719,26.110000610351562,,,0.08500000089406967
2010-02-08,79.02600860595703,26.510000228881836,,,0.09000000357627869
2010-02-09,80.01860809326172,26.0,,,0.10000000149011612
2010-02-10,79.86188507080078,25.399999618530273,,,0.10000000149011612
2010-02-11,80.69771575927734,23.959999084472656,,,0.0949999988079071
2010-02-12,80.63056182861328,22.729999542236328,,,0.09000000357627869
2010-02-16,81.89923858642578,22.25,,,0.08500000089406967
2010-02-17,82.28733825683594,21.719999313354492,,,0.09000000357627869
2010-02-18,82.77243041992188,20.6299991607666,,,0.08500000089406967
2010-02-19,82.94404602050781,20.020000457763672,,,0.0949999988079071
2010-02-22,82.95902252197266,19.940000534057617,,,0.08500000089406967
2010-02-23,81.95150756835938,21.3700008392334,,,0.11500000208616257
2010-02-24,82.70528411865234,20.270000457763672,,,0.10999999940395355
2010-02-25,82.59331512451172,20.100000381469727,,,0.11500000208616257
2010-02-26,82.64555358886719,19.5,,,0.11500000208616257
2010-03-01,83.5038070678711,19.260000228881836,,,0.11999999731779099
2010-03-02,83.73516082763672,19.059999465942383,,,0.125
2010-03-03,83.8097915649414,18.829999923706055,,,0.13500000536441803
2010-03-04,84.06352233886719,18.719999313354492,,,0.13500000536441803
2010-03-05,85.26508331298828,17.420000076293945,,,0.14499999582767487
2010-03-08,85.27999877929688,17.790000915527344,,,0.14499999582767487
2010-03-09,85.42179870605469,17.920000076293945,,,0.15000000596046448
2010-03-10,85.80243682861328,18.56999969482422,,,0.14499999582767487
2010-03-11,86.16062927246094,18.059999465942383,,,0.14499999582767487
2010-03-12,86.16807556152344,17.579999923706055,,,0.14000000059604645
2010-03-15,86.19049072265625,18.0,,,0.14499999582767487
2010-03-16,86.87709045410156,17.690000534057617,,,0.1550000011920929
2010-03-17,87.39203643798828,16.90999984741211,,,0.15000000596046448
2010-03-18,87.34727478027344,16.6200008392334,,,0.14499999582767487
2010-03-19,86.90512084960938,16.969999313354492,,,0.14499999582767487
