date,total_call,total_put,total_total,total_pcr,equity_call,equity_put,equity_total,equity_pcr,index_call,index_put,index_total,index_pcr
2003-10-17,1152086.0,733258.0,1885344.0,0.64,1017225.0,463135.0,1480360.0,0.46,134785,270102,404887,2.0
2003-10-21,773759.0,540023.0,1313782.0,0.7,648197.0,380941.0,1029138.0,0.59,125388,159054,284442,1.27
2003-10-22,663452.0,646991.0,1310443.0,0.98,541154.0,415498.0,956652.0,0.77,122259,231406,353665,1.89
2003-10-23,579837.0,493493.0,1073330.0,0.85,493194.0,354797.0,847991.0,0.72,86575,138675,225250,1.6
2003-10-24,690948.0,630758.0,1321706.0,0.91,567785.0,447421.0,1015206.0,0.79,123056,183230,306286,1.49
2003-10-27,512226.0,328592.0,840818.0,0.64,435215.0,223098.0,658313.0,0.51,76810,105423,182233,1.37
2003-10-28,713166.0,532300.0,1245466.0,0.75,563950.0,374757.0,938707.0,0.66,149146,157514,306660,1.06
2003-10-29,809215.0,471246.0,1280461.0,0.58,693158.0,364516.0,1057674.0,0.53,116039,106728,222767,0.92
2003-10-30,725972.0,585376.0,1311348.0,0.81,627894.0,439451.0,1067345.0,0.7,97951,145896,243847,1.49
2003-10-31,578348.0,647265.0,1225613.0,1.12,491689.0,504173.0,995862.0,1.03,86560,143092,229652,1.65
2003-11-03,707961.0,445631.0,1153592.0,0.63,569931.0,268312.0,838243.0,0.47,137879,177315,315194,1.29
2003-11-04,682009.0,418717.0,1100726.0,0.61,595255.0,294407.0,889662.0,0.49,86700,124310,211010,1.43
2003-11-05,640931.0,441878.0,1082809.0,0.69,551267.0,301209.0,852476.0,0.55,89603,140662,230265,1.57
2003-11-06,669108.0,512323.0,1181431.0,0.77,548140.0,336513.0,884653.0,0.61,120642,175800,296442,1.46
2003-11-07,744763.0,582223.0,1326986.0,0.78,643147.0,394891.0,1038038.0,0.61,101311,187180,288491,1.85
2003-11-10,516110.0,469592.0,985702.0,0.91,432969.0,339129.0,772098.0,0.78,82980,130443,213423,1.57
2003-11-11,537257.0,514414.0,1051671.0,0.96,447950.0,326768.0,774718.0,0.73,89307,187646,276953,2.1
2003-11-12,701977.0,558089.0,1260066.0,0.8,592174.0,403860.0,996034.0,0.68,109708,154215,263923,1.41
2003-11-13,721852.0,560283.0,1282135.0,0.78,609893.0,383694.0,993587.0,0.63,111442,176554,287996,1.58
2003-11-14,785626.0,541118.0,1326744.0,0.69,662739.0,361347.0,1024086.0,0.55,122824,179625,302449,1.46
2003-11-17,835827.0,698744.0,1534571.0,0.84,658441.0,427919.0,1086360.0,0.65,177267,270481,447748,1.53
2003-11-18,745954.0,565047.0,1311001.0,0.76,568928.0,355730.0,924658.0,0.63,176808,209303,386111,1.18
2003-11-19,777117.0,678335.0,1455452.0,0.87,551508.0,423986.0,975494.0,0.77,225563,254269,479832,1.13
2003-11-20,859456.0,690504.0,1549960.0,0.8,562395.0,364840.0,927235.0,0.65,296911,325572,622483,1.1
2003-11-21,856787.0,689308.0,1546095.0,0.8,693747.0,461316.0,1155063.0,0.66,162962,227786,390748,1.4
2003-11-24,754172.0,490527.0,1244699.0,0.65,630412.0,320424.0,950836.0,0.51,123635,170080,293715,1.38
2003-11-25,688827.0,430183.0,1119010.0,0.62,546189.0,263896.0,810085.0,0.48,142426,166273,308699,1.17
2003-11-26,546449.0,394310.0,940759.0,0.72,462159.0,251258.0,713417.0,0.54,84186,143051,227237,1.7
2003-11-28,270108.0,186728.0,456836.0,0.69,218810.0,121315.0,340125.0,0.55,51140,65321,116461,1.28
2003-12-01,759954.0,539961.0,1299915.0,0.71,597095.0,324169.0,921264.0,0.54,162526,215623,378149,1.33
2003-12-02,735096.0,524620.0,1259716.0,0.71,601278.0,314983.0,916261.0,0.52,133669,209190,342859,1.56
2003-12-03,744581.0,642879.0,1387460.0,0.86,608963.0,453120.0,1062083.0,0.74,135485,189668,325153,1.4
2003-12-04,682634.0,489126.0,1171760.0,0.72,584895.0,330837.0,915732.0,0.57,97605,158264,255869,1.62
2003-12-05,585094.0,491146.0,1076240.0,0.84,494881.0,335345.0,830226.0,0.68,89445,155274,244719,1.74
2003-12-08,562382.0,523183.0,1085565.0,0.93,458933.0,325923.0,784856.0,0.71,103387,197225,300612,1.91
2003-12-09,770383.0,559394.0,1329777.0,0.73,611586.0,340208.0,951794.0,0.56,158683,219007,377690,1.38
2003-12-10,745868.0,605431.0,1351299.0,0.81,625605.0,430133.0,1055738.0,0.69,120195,175243,295438,1.46
2003-12-11,767216.0,514764.0,1281980.0,0.67,589907.0,297193.0,887100.0,0.5,177196,217512,394708,1.23
2003-12-12,683513.0,513507.0,1197020.0,0.75,511771.0,257406.0,769177.0,0.5,171585,255705,427290,1.49
2003-12-15,855029.0,602488.0,1457517.0,0.7,607936.0,328286.0,936222.0,0.54,246929,274187,521116,1.11
2003-12-16,814131.0,556412.0,1370543.0,0.68,634957.0,315241.0,950198.0,0.5,179100,241150,420250,1.35
2003-12-17,782694.0,538954.0,1321648.0,0.69,604679.0,294453.0,899132.0,0.49,177900,244314,422214,1.37
2003-12-18,1083462.0,704617.0,1788079.0,0.65,665543.0,341417.0,1006960.0,0.51,417612,363051,780663,0.87
2003-12-19,988767.0,792798.0,1781565.0,0.8,791236.0,481898.0,1273134.0,0.61,197453,310471,507924,1.57
2003-12-22,642045.0,627611.0,1269656.0,0.98,553240.0,337362.0,890602.0,0.61,88536,290201,378737,3.28
2003-12-23,585116.0,442008.0,1027124.0,0.76,489783.0,282026.0,771809.0,0.58,94889,159860,254749,1.68
2003-12-24,272788.0,198166.0,470954.0,0.73,249030.0,123777.0,372807.0,0.5,23748,74160,97908,3.12
2003-12-26,243405.0,137844.0,381249.0,0.57,225065.0,84573.0,309638.0,0.38,18282,53168,71450,2.91
2003-12-29,713256.0,375101.0,1088357.0,0.53,565058.0,213912.0,778970.0,0.38,148169,161103,309272,1.09
2003-12-30,660409.0,392442.0,1052851.0,0.59,557304.0,204816.0,762120.0,0.37,103034,187525,290559,1.82
2003-12-31,637298.0,796876.0,1434174.0,1.25,541039.0,511781.0,1052820.0,0.95,96249,285095,381344,2.96
2004-01-02,650305.0,490925.0,1141230.0,0.75,545682.0,288114.0,833796.0,0.53,104506,202793,307299,1.94
2004-01-05,1043254.0,708252.0,1751506.0,0.68,869787.0,458669.0,1328456.0,0.53,173455,249311,422766,1.44
2004-01-06,1003430.0,567995.0,1571425.0,0.57,872664.0,347760.0,1220424.0,0.4,130708,219917,350625,1.68
2004-01-07,950530.0,654588.0,1605118.0,0.69,802874.0,408677.0,1211551.0,0.51,147532,245815,393347,1.67
2004-01-08,1160572.0,753665.0,1914237.0,0.65,970355.0,500507.0,1470862.0,0.52,190103,252740,442843,1.33
2004-01-09,1116174.0,723463.0,1839637.0,0.65,942691.0,420871.0,1363562.0,0.45,172937,302049,474986,1.75
2004-01-12,897062.0,712123.0,1609185.0,0.79,744167.0,457457.0,1201624.0,0.61,152566,253693,406259,1.66
2004-01-13,1132464.0,690443.0,1822907.0,0.61,883197.0,423555.0,1306752.0,0.48,249237,266363,515600,1.07
2004-01-14,1083341.0,715875.0,1799216.0,0.66,843879.0,442894.0,1286773.0,0.52,239148,272415,511563,1.14
2004-01-15,1448897.0,843359.0,2292256.0,0.58,1148119.0,525641.0,1673760.0,0.46,300702,317611,618313,1.06
2004-01-16,1705830.0,875993.0,2581823.0,0.51,1532818.0,537984.0,2070802.0,0.35,172955,337843,510798,1.95
2004-01-20,1126135.0,673994.0,1800129.0,0.6,994208.0,513167.0,1507375.0,0.52,131868,160472,292340,1.22
2004-01-21,1007919.0,673801.0,1681720.0,0.67,882847.0,415059.0,1297906.0,0.47,125059,258543,383602,2.07
2004-01-22,886395.0,812495.0,1698890.0,0.92,783191.0,581852.0,1365043.0,0.74,102720,230597,333317,2.24
2004-01-23,861409.0,665677.0,1527086.0,0.77,764989.0,456491.0,1221480.0,0.6,96202,208957,305159,2.17
2004-01-26,735712.0,428519.0,1164231.0,0.58,628069.0,296878.0,924947.0,0.47,107590,131611,239201,1.22
2004-01-27,762179.0,666311.0,1428490.0,0.87,653867.0,421537.0,1075404.0,0.64,108285,244761,353046,2.26
2004-01-28,898844.0,767664.0,1666508.0,0.85,759350.0,503525.0,1262875.0,0.66,139283,264067,403350,1.9
2004-01-29,960543.0,764294.0,1724837.0,0.8,836300.0,538960.0,1375260.0,0.64,124091,225259,349350,1.82
2004-01-30,702516.0,568347.0,1270863.0,0.81,580051.0,409448.0,989499.0,0.71,122369,158787,281156,1.3
2004-02-02,748796.0,542419.0,1291215.0,0.72,655778.0,401302.0,1057080.0,0.61,93002,141056,234058,1.52
2004-02-03,730466.0,508402.0,1238868.0,0.7,655186.0,379015.0,1034201.0,0.58,75253,129385,204638,1.72
2004-02-04,803225.0,647213.0,1450438.0,0.81,705234.0,448458.0,1153692.0,0.64,97978,198732,296710,2.03
2004-02-05,757792.0,574865.0,1332657.0,0.76,654226.0,434512.0,1088738.0,0.66,103436,140353,243789,1.36
2004-02-06,897646.0,563415.0,1461061.0,0.63,779861.0,360398.0,1140259.0,0.46,117750,203003,320753,1.72
2004-02-09,663520.0,468357.0,1131877.0,0.71,587594.0,348886.0,936480.0,0.59,75899,119351,195250,1.57
2004-02-10,712657.0,510672.0,1223329.0,0.72,608761.0,377773.0,986534.0,0.62,103863,132899,236762,1.28
2004-02-11,907062.0,616712.0,1523774.0,0.68,732913.0,409807.0,1142720.0,0.56,173464,206868,380332,1.19
2004-02-12,916360.0,508743.0,1425103.0,0.56,820594.0,354644.0,1175238.0,0.43,95488,154084,249572,1.61
2004-02-13,766143.0,582099.0,1348242.0,0.76,632241.0,370129.0,1002370.0,0.59,133854,211958,345812,1.58
2004-02-17,830958.0,730243.0,1561201.0,0.88,691467.0,561932.0,1253399.0,0.81,139413,168291,307704,1.21
2004-02-18,894554.0,697541.0,1592095.0,0.78,718617.0,462347.0,1180964.0,0.64,175654,235140,410794,1.34
2004-02-19,1242874.0,890484.0,2133358.0,0.72,953805.0,560338.0,1514143.0,0.59,288970,330032,619002,1.14
2004-02-20,1224856.0,1050314.0,2275170.0,0.86,1046201.0,689385.0,1735586.0,0.66,178598,360781,539379,2.02
2004-02-23,897710.0,554218.0,1451928.0,0.62,782625.0,370123.0,1152748.0,0.47,115030,183939,298969,1.6
2004-02-24,816858.0,623121.0,1439979.0,0.76,708377.0,462156.0,1170533.0,0.65,108201,160919,269120,1.49
2004-02-25,698751.0,535512.0,1234263.0,0.77,621845.0,385431.0,1007276.0,0.62,76886,149798,226684,1.95
