open_time,open,high,low,close,volume
1640995200000,46216.93,46731.39,46208.37,46656.13,1503.33095
1640998800000,46656.14,46949.99,46574.06,46778.14,943.81539
1641002400000,46778.14,46928.94,46721.96,46811.77,485.1686
1641006000000,46811.77,46916.63,46760.12,46813.2,562.88971
1641009600000,46813.21,46887.33,46591.23,46711.05,861.88389
1641013200000,46711.05,47555.55,46673.94,47192.55,1400.73642
1641016800000,47192.56,47324.42,46940.0,46979.62,613.97776
1641020400000,46979.61,47255.85,46864.84,47194.73,646.20081
1641024000000,47194.73,47344.69,47075.11,47124.82,532.44767
1641027600000,47124.82,47215.56,46933.58,47143.98,541.32491
1641031200000,47143.98,47298.75,46715.39,46871.08,923.0176
1641034800000,46871.09,47007.73,46756.77,46758.87,732.88793
1641038400000,46758.87,47150.48,46756.3,47074.05,582.15009
1641042000000,47074.05,47199.67,46935.09,47023.24,454.14412
1641045600000,47023.24,47100.0,46850.18,46926.22,503.6622
1641049200000,46920.01,47491.14,46871.69,47219.04,1515.95305
1641052800000,47219.04,47527.24,47186.07,47268.62,1049.57919
1641056400000,47268.61,47954.63,47238.81,47754.48,1320.66577
1641060000000,47754.47,47844.97,47420.0,47560.55,860.76025
1641063600000,47560.54,47611.84,47292.72,47329.78,830.6716
1641067200000,47329.79,47559.03,47250.18,47391.82,717.20792
1641070800000,47391.82,47573.05,47268.79,47319.67,809.21927
1641074400000,47319.66,47490.98,47222.22,47440.74,466.47861
1641078000000,47440.74,47814.0,47277.77,47722.65,746.28954
1641081600000,47722.66,47750.0,47381.12,47625.3,1082.50817
1641085200000,47625.29,47641.83,47315.38,47377.97,465.7536
1641088800000,47377.97,47449.56,47275.5,47370.5,452.39245
1641092400000,47370.49,47467.11,47269.47,47329.47,387.25302
1641096000000,47329.47,47415.73,46770.23,46910.3,1259.6882
1641099600000,46910.3,47089.63,46832.08,47081.28,686.20377
1641103200000,47081.28,47244.0,47011.24,47122.61,528.20197
1641106800000,47122.6,47300.0,47087.62,47173.45,544.37433
1641110400000,47173.44,47247.12,46970.05,47222.4,578.28603
1641114000000,47222.4,47499.45,47144.12,47273.24,792.44368
1641117600000,47273.23,47348.34,47140.3,47188.89,390.08901
1641121200000,47188.88,47400.0,47159.57,47235.5,359.02993
1641124800000,47238.89,47447.0,47013.5,47292.95,798.05773
1641128400000,47289.67,47300.86,47090.0,47137.35,580.44121
1641132000000,47137.35,47202.39,47020.0,47112.55,617.66611
1641135600000,47112.54,47390.0,47071.27,47340.47,784.16369
1641139200000,47340.47,47886.0,47273.64,47792.3,1367.5695
1641142800000,47792.29,47990.0,47317.46,47401.14,1440.59237
1641146400000,47401.14,47401.14,46654.0,47058.12,1852.33799
1641150000000,47056.43,47217.1,46851.51,46907.68,937.38607
1641153600000,46907.67,47050.0,46815.17,47007.14,570.22257
1641157200000,47007.14,47187.98,46913.27,47018.03,432.59568
1641160800000,47017.98,47398.99,47014.84,47255.38,683.72196
1641164400000,47255.39,47469.34,47255.38,47286.18,749.48136
1641168000000,47286.18,47289.11,47050.0,47050.08,734.11794
1641171600000,47050.09,47138.78,46950.0,47116.71,628.0558
1641175200000,47116.22,47116.71,46858.44,46999.98,781.70714
1641178800000,46999.98,47084.8,46722.39,46793.26,850.43854
1641182400000,46793.27,46944.77,46750.0,46822.26,688.49875
1641186000000,46822.26,47211.09,46750.13,47078.64,918.62173
1641189600000,47078.64,47100.0,46877.84,46923.75,596.63069
1641193200000,46923.75,47080.0,46852.38,47051.37,635.22586
1641196800000,47051.36,47135.97,46922.27,46978.82,684.64114
1641200400000,46978.81,47109.25,46778.0,46984.55,987.07117
1641204000000,46984.56,47251.19,46981.84,47126.02,1138.98932
1641207600000,47126.02,47431.67,47125.48,47378.0,1451.6891
1641211200000,47378.0,47570.0,47175.01,47194.39,1183.63545
1641214800000,47194.39,47495.96,47127.51,47153.5,813.83783
1641218400000,47153.5,47285.39,46765.0,46874.53,1711.43
1641222000000,46874.53,47018.0,46575.25,46693.45,1754.81723
1641225600000,46693.44,46780.0,46263.29,46482.34,3415.75302
1641229200000,46482.34,46790.0,46411.78,46577.15,1121.75227
1641232800000,46577.16,46740.96,46412.99,46472.73,662.25
1641236400000,46475.6,46645.34,46360.0,46360.01,661.7066
1641240000000,46360.01,46413.47,45696.0,45922.0,3127.50381
1641243600000,45922.01,46260.44,45811.87,45979.01,1055.66747
1641247200000,45979.01,46439.97,45961.59,46217.9,1002.70049
1641250800000,46217.91,46576.94,46170.64,46446.1,1055.33575
1641254400000,46446.1,46549.19,46150.0,46244.37,1055.75335
1641258000000,46244.37,46404.94,46040.79,46054.99,771.65428
1641261600000,46054.99,46268.72,45934.5,46103.36,1021.46917
1641265200000,46103.36,46383.77,46001.23,46313.97,755.88587
1641268800000,46313.96,46411.12,45996.26,46100.14,2070.6589
1641272400000,46100.14,46292.15,46016.24,46151.66,869.60169
