converged,reason,fun,start_seed,start_theta_eav,start_theta0,market,theta0,theta_vix,theta_eav,loglik,nit,mean_sigma2
False,penalty-trap,122917922.62432908,43,1.132554875961837e-06,5.76150766343344e-05,US,,,,,,
True,,,44,1.2449818583770718e-05,2.141907118426978e-06,US,2.141907118426978e-06,-1.5313237983095644e-07,1.2449818583770718e-05,64951.870811173496,0.0,0.00047099659770526495
True,,,45,0.00011509834820107835,3.522592869595156e-05,US,0.0002484348749793854,3.6086785013743905e-07,0.00019951382473635976,78954.06508345809,7.0,0.00047099659770526495
False,penalty-trap,10000000000000.0,46,5.4407352746566345e-06,0.00027809858465410546,US,,,,,,
True,,,47,1.8009776333784686e-05,0.00010048502217734858,US,0.00010048502217734858,1.6059119201229486e-07,1.8009776333784686e-05,77196.28151733258,0.0,0.00047099659770526495
True,,,48,2.436308381612445e-05,1.1127313550901642e-05,US,0.0007546391304215672,5.5358726543135914e-08,0.0003211394418970227,77653.44421785488,3.0,0.00047099659770526495
True,,,49,1.1425148807831397e-05,9.535260907994748e-06,US,0.0007475865616398428,8.225382518766819e-08,0.00030640763731295997,77822.16480322431,3.0,0.00047099659770526495
True,,,50,3.011464190246085e-05,0.00013342285396419502,US,8.892513704864172e-05,5.939438158823517e-07,0.0026401891442040977,80260.87474020428,48.0,0.00047099659770526495
False,penalty-trap,10000000000000.0,51,4.87512056084135e-06,0.00034963952341182495,US,,,,,,
True,,,52,2.524832292533634e-05,4.591195063624828e-05,US,7.458896190473746e-05,3.5325628266587916e-07,0.00031785411256785544,79325.34873992845,9.0,0.00047099659770526495
True,,,53,7.828929036770207e-06,1.071596840758407e-06,US,8.45267781027617e-05,5.209618055808037e-07,0.0019723166145599845,80134.02444625465,45.0,0.00047099659770526495
True,,,54,1.6405281277794262e-06,3.9846487727265224e-06,US,8.94796831807946e-05,3.4206598817515116e-07,0.0003229743962978804,79261.86298750553,21.0,0.00047099659770526495
True,,,55,3.8846528562406475e-06,0.00017628837689328424,US,8.768137854268245e-05,4.0908122581965595e-07,0.0016140758302865415,80132.67909377812,20.0,0.00047099659770526495
False,penalty-trap,10000000000000.0,56,0.00044376460756318545,9.115750463865973e-05,US,,,,,,
True,,,57,0.0001864079546879464,7.023367761511215e-05,US,7.265677033027207e-05,4.96900547111638e-07,0.0005164894280246815,79495.32047025074,14.0,0.00047099659770526495
True,,,58,4.529982639888567e-06,6.8236003171799026e-06,US,7.68422456895269e-05,5.773283213446401e-07,0.0025033202116949357,80175.299869563,29.0,0.00047099659770526495
True,,,59,2.06836773785462e-06,3.857553441493934e-05,US,3.857553441493934e-05,2.0642408956889028e-07,2.06836773785462e-06,74875.0524101233,0.0,0.00047099659770526495
True,,,60,1.4050443529891941e-06,7.502953992022563e-06,US,7.502953992022563e-06,-2.993514356046804e-07,1.4050443529891941e-06,70596.11501389464,4.0,0.00047099659770526495
True,,,61,6.477316299193317e-05,1.0242947809569076e-05,US,0.00014540103798480603,2.609870585651682e-07,0.0003624157553982417,79152.44375915367,8.0,0.00047099659770526495
True,,,62,0.00012796135280570512,4.4109979240506425e-05,US,4.4109979240506425e-05,1.5685889457142375e-07,0.00012796135280570512,78194.10937972677,0.0,0.00047099659770526495
True,,,63,3.3951059286042443e-06,3.2481600817804704e-05,US,0.00015382638010150095,4.8932956091956224e-08,0.0005381541302479778,79384.29841569865,11.0,0.00047099659770526495
True,,,64,1.5043602486919662e-06,0.0003519334348616875,US,0.0001263156455686403,8.33636652711095e-07,0.0034822633361604933,80095.76466996972,50.0,0.00047099659770526495
True,,,65,1.0273821559071131e-05,1.3424811540590984e-06,US,1.3424811540590984e-06,1.1535991082270512e-08,1.0273821559071131e-05,68653.4133723786,0.0,0.00047099659770526495
True,,,66,1.5734348796721628e-06,0.0003112648129978985,US,0.0002992464651663466,1.380419907420177e-07,0.0003651811738728885,79461.1870396458,4.0,0.00047099659770526495
True,,,67,2.4391033030946004e-05,1.3130107750595525e-05,US,1.2875236040326166e-05,-1.8426283684850808e-07,-0.0001599736708495894,61971.4863212398,3.0,0.00047099659770526495
True,,,68,6.57379882363098e-05,2.0290430497496525e-05,US,0.000184323684580881,4.8502128753939256e-08,0.0005092777454074023,78998.61470733027,11.0,0.00047099659770526495
True,,,69,0.00021602577505474256,3.6847466446205684e-05,US,0.00012795668195053194,7.696553246680793e-07,0.0032625896383559772,80291.16387088316,44.0,0.00047099659770526495
True,,,70,7.405925300661456e-06,1.0655943934962279e-05,US,7.724179509337332e-05,5.141536369804738e-07,0.001502708135625761,80005.71106413992,18.0,0.00047099659770526495
True,,,71,0.00011320872409775919,4.830097684783433e-06,US,2.3558064499605093e-05,1.3550979105803253e-06,0.0011354934310476659,79920.32530491448,39.0,0.00047099659770526495
False,penalty-trap,10000000000000.0,72,4.213780405952901e-06,0.00018251401328837167,US,,,,,,
False,penalty-trap,11965845.768219529,73,5.307089180631442e-06,2.1360445092233017e-05,US,,,,,,
True,,,74,6.692594053766445e-05,0.00025935828099507867,US,0.00023931702021867196,1.9945249828266928e-07,0.0006392554138590539,79658.08727658425,17.0,0.00047099659770526495
True,,,75,6.205718146120514e-05,3.764158052231611e-06,US,3.5685715622313484e-06,-6.451810073523442e-08,-0.00043199429920449223,68498.75619652508,4.0,0.00047099659770526495
True,,,76,6.946666239296982e-05,0.0001500598668526578,US,0.00014255595926481943,2.9166467522601314e-07,0.0005369234603134868,79801.10446097488,4.0,0.00047099659770526495
