date,n_assets,mean_oc_var,is_friday,is_opex,is_triple_witch
2015-01-02,12,8.96600346701284e-05,1,0,0
2015-01-05,12,0.0002416381874893964,0,0,0
2015-01-06,12,0.0003081267375204721,0,0,0
2015-01-07,12,6.09657548234576e-05,0,0,0
2015-01-08,12,0.0002797907153328166,0,0,0
2015-01-09,12,0.0001158232228008835,1,0,0
2015-01-12,12,0.00022248373329959237,0,0,0
2015-01-13,12,8.732948702096573e-05,0,0,0
2015-01-14,12,0.00027544415856748164,0,0,0
2015-01-15,12,0.00037538721612721636,0,0,0
2015-01-16,12,0.0002938407163563728,1,1,0
2015-01-20,12,3.771196550480787e-05,0,0,0
2015-01-21,12,0.00027692470455335696,0,0,0
2015-01-22,12,0.00040976945569455364,0,0,0
2015-01-23,12,8.936757870043573e-05,1,0,0
2015-01-26,12,8.440811947025862e-05,0,0,0
2015-01-27,12,0.00020883914265799216,0,0,0
2015-01-28,12,0.0006657333338381701,0,0,0
2015-01-29,12,0.0002829219948895559,0,0,0
2015-01-30,12,0.0003028190964228055,1,0,0
2015-02-02,12,0.000365119552868281,0,0,0
2015-02-03,12,0.0001409694478319477,0,0,0
2015-02-04,12,4.9746383622128666e-05,0,0,0
2015-02-05,12,7.824837219216398e-05,0,0,0
2015-02-06,12,8.868500837976171e-05,1,0,0
2015-02-09,12,2.846435032638729e-05,0,0,0
2015-02-10,12,0.00012196012240572487,0,0,0
2015-02-11,12,8.87844068406398e-05,0,0,0
2015-02-12,12,0.00024616086872482454,0,0,0
2015-02-13,12,3.871295108220485e-05,1,0,0
2015-02-17,12,3.3504788332762814e-05,0,0,0
2015-02-18,12,4.8420219937677046e-05,0,0,0
2015-02-19,12,0.0002033683978365199,0,0,0
2015-02-20,12,0.00018276821918264538,1,1,0
2015-02-23,12,0.0002842947247940491,0,0,0
2015-02-24,12,3.989252991460652e-05,0,0,0
2015-02-25,12,0.00011765738023870875,0,0,0
2015-02-26,12,5.3544168193570854e-05,0,0,0
2015-02-27,12,9.315149212705024e-05,1,0,0
2015-03-02,12,0.00016462380347111343,0,0,0
2015-03-03,12,4.3570099220804e-05,0,0,0
2015-03-04,12,0.00010743515167653887,0,0,0
2015-03-05,12,7.277632145758816e-05,0,0,0
2015-03-06,12,0.00022382413064098137,1,0,0
2015-03-09,12,9.787232225936869e-05,0,0,0
2015-03-10,12,0.00015227865584599185,0,0,0
2015-03-11,12,8.637131917669448e-05,0,0,0
2015-03-12,12,0.00012022223528536992,0,0,0
2015-03-13,12,4.545728488794375e-05,1,0,0
2015-03-16,12,0.00011177953706772402,0,0,0
2015-03-17,12,5.370182923400904e-05,0,0,0
2015-03-18,12,0.00036447561030874116,0,0,0
2015-03-19,12,0.0001529344179328447,0,0,0
2015-03-20,12,7.509633052532164e-05,1,1,1
2015-03-23,12,2.3327052969669194e-05,0,0,0
2015-03-24,12,3.5426488954526217e-05,0,0,0
2015-03-25,12,0.0007733280473846297,0,0,0
2015-03-26,12,8.280063292451863e-05,0,0,0
2015-03-27,12,0.00010373230591189432,1,0,0
2015-03-30,12,0.0001336614479653406,0,0,0
2015-03-31,12,0.00016025550405156412,0,0,0
2015-04-01,12,6.7349052018087e-05,0,0,0
2015-04-02,12,2.4740285822732138e-05,0,0,0
2015-04-06,12,0.00038396631885472774,0,0,0
2015-04-07,12,6.165033355174985e-05,0,0,0
2015-04-08,12,7.821164524081653e-05,0,0,0
2015-04-09,12,0.00011052895672406981,0,0,0
2015-04-10,12,2.5903499139141364e-05,1,0,0
2015-04-13,12,6.33437247359432e-05,0,0,0
2015-04-14,12,2.5679682876232228e-05,0,0,0
2015-04-15,12,0.0001226182248448516,0,0,0
2015-04-16,12,1.022059121428839e-05,0,0,0
2015-04-17,12,9.258258542435061e-05,1,1,0
2015-04-20,12,0.000216459081290453,0,0,0
2015-04-21,12,8.427261084153734e-05,0,0,0
2015-04-22,12,0.00013325953704570139,0,0,0
2015-04-23,12,8.415063891078536e-05,0,0,0
2015-04-24,12,0.0002376314318803005,1,0,0
2015-04-27,12,0.0002488200201758046,0,0,0
2015-04-28,12,0.0002375584164679902,0,0,0
2015-04-29,12,0.00010005828230001138,0,0,0
2015-04-30,12,0.00021410411696966823,0,0,0
2015-05-01,12,0.0001177940497807311,1,0,0
2015-05-04,12,4.804015668553141e-05,0,0,0
2015-05-05,12,0.00017771492832130504,0,0,0
2015-05-06,12,0.00014216131373929864,0,0,0
2015-05-07,12,0.0004898176859859204,0,0,0
2015-05-08,12,3.170022151151253e-05,1,0,0
2015-05-11,12,6.87013434794453e-05,0,0,0
2015-05-12,12,6.826145447416078e-05,0,0,0
2015-05-13,12,6.708801593802726e-05,0,0,0
2015-05-14,12,0.00014431735787077927,0,0,0
2015-05-15,12,6.73781430580276e-05,1,1,0
2015-05-18,12,5.543666961584813e-05,0,0,0
2015-05-19,12,2.612868463868406e-05,0,0,0
2015-05-20,12,2.3595841075062512e-05,0,0,0
2015-05-21,12,4.1065957830993645e-05,0,0,0
2015-05-22,12,3.2866417690234356e-05,1,0,0
2015-05-26,12,9.225273218058036e-05,0,0,0
2015-05-27,12,0.00026559544223383514,0,0,0
2015-05-28,12,4.773724224131209e-05,0,0,0
2015-05-29,12,3.7416509651698484e-05,1,0,0
2015-06-01,12,2.5967500091214903e-05,0,0,0
2015-06-02,12,4.391913364077627e-05,0,0,0
2015-06-03,12,5.352920473208224e-05,0,0,0
2015-06-04,12,8.025252424823615e-05,0,0,0
2015-06-05,12,4.0236911765867646e-05,1,0,0
2015-06-08,12,0.00013404057650222997,0,0,0
2015-06-09,12,1.5301785015054424e-05,0,0,0
2015-06-10,12,0.0001122901760447089,0,0,0
2015-06-11,12,2.6900704762595254e-05,0,0,0
2015-06-12,12,5.9917573375641314e-05,1,0,0
2015-06-15,12,4.579484657451033e-05,0,0,0
2015-06-16,12,0.00010582266854806775,0,0,0
2015-06-17,12,0.00013217233586419204,0,0,0
2015-06-18,12,0.00010373749453000925,0,0,0
2015-06-19,12,4.6674987403345706e-05,1,1,1
2015-06-22,12,4.3368249095592855e-05,0,0,0
2015-06-23,12,0.0002879740506083435,0,0,0
2015-06-24,12,0.00012413766395515238,0,0,0
2015-06-25,12,0.00011365919227035487,0,0,0
2015-06-26,12,4.043959385117618e-05,1,0,0
2015-06-29,12,0.0001367803537347831,0,0,0
2015-06-30,12,4.906543743385856e-05,0,0,0
2015-07-01,12,2.856198861979098e-05,0,0,0
2015-07-02,12,3.5397808658801915e-05,0,0,0
2015-07-06,12,7.643897960806269e-05,0,0,0
2015-07-07,12,0.0001010581870548283,0,0,0
2015-07-08,12,8.744278886250882e-05,0,0,0
2015-07-09,12,0.00021214417540694932,0,0,0
2015-07-10,12,4.6859499621263415e-05,1,0,0
2015-07-13,12,7.408560624080854e-05,0,0,0
2015-07-14,12,0.00010456338307247315,0,0,0
2015-07-15,12,3.334653207695199e-05,0,0,0
2015-07-16,12,9.425672628595847e-05,0,0,0
2015-07-17,12,8.272768175695454e-05,1,1,0
2015-07-20,12,0.0001550541215250866,0,0,0
2015-07-21,12,6.948231262596424e-05,0,0,0
2015-07-22,12,0.00014575963480280743,0,0,0
2015-07-23,12,0.00015798299642946244,0,0,0
2015-07-24,12,0.0007884483396711807,1,0,0
2015-07-27,12,0.00018662153963621168,0,0,0
2015-07-28,12,0.00032030259088547945,0,0,0
2015-07-29,12,7.730483269507941e-05,0,0,0
2015-07-30,12,7.202004468601952e-05,0,0,0
2015-07-31,12,0.00013196907950759022,1,0,0
2015-08-03,12,0.00012780155855370427,0,0,0
2015-08-04,12,0.0001363146650148874,0,0,0
2015-08-05,12,0.00015987326127967505,0,0,0
2015-08-06,12,0.0002343262260399627,0,0,0
2015-08-07,12,8.855282818740719e-05,1,0,0
2015-08-10,12,0.00030445917248887174,0,0,0
2015-08-11,12,0.0001493668771527893,0,0,0
2015-08-12,12,0.00016738022559619883,0,0,0
2015-08-13,12,4.1184797651924265e-05,0,0,0
2015-08-14,12,7.299619583593043e-05,1,0,0
2015-08-17,12,0.00013604798957518092,0,0,0
2015-08-18,12,8.218553289782137e-05,0,0,0
2015-08-19,12,8.661306109280588e-05,0,0,0
2015-08-20,12,0.0005029844964263472,0,0,0
2015-08-21,12,0.0007761149936943513,1,1,0
2015-08-24,12,0.0017249173100868966,0,0,0
2015-08-25,12,0.0022817396583598966,0,0,0
2015-08-26,12,0.0004762390329657472,0,0,0
2015-08-27,12,0.00039529606166382845,0,0,0
2015-08-28,12,0.00011197052608367092,1,0,0
2015-08-31,12,7.803925056856762e-05,0,0,0
2015-09-01,12,0.00015479059217575963,0,0,0
2015-09-02,12,0.00011820144170251235,0,0,0
2015-09-03,12,0.0001705177158594539,0,0,0
2015-09-04,12,2.6996969489764714e-05,1,0,0
2015-09-08,12,0.0001264529144718325,0,0,0
2015-09-09,12,0.0005150626305343273,0,0,0
2015-09-10,12,0.00018830891565255694,0,0,0
2015-09-11,12,0.0001516288279164569,1,0,0
2015-09-14,12,6.429144664504246e-05,0,0,0
2015-09-15,12,9.17007750365921e-05,0,0,0
2015-09-16,12,0.00015696641742816934,0,0,0
2015-09-17,12,0.00014411943847158736,0,0,0
2015-09-18,12,7.91020888048486e-05,1,1,1
2015-09-21,12,5.436923954921919e-05,0,0,0
2015-09-22,12,4.5801883903609035e-05,0,0,0
2015-09-23,12,1.9328708280304146e-05,0,0,0
2015-09-24,12,0.00014122235163737139,0,0,0
2015-09-25,12,0.0006058194002663043,1,0,0
