date,close30_volume_share,close30_absret_share,is_friday,is_opex,is_triple_witch
2026-01-14,0.20894400873630925,0.1019867572774302,0,0,0
2026-01-15,0.17123471456742725,0.06116059329443687,0,0,0
2026-01-16,0.16641937441227353,0.08688956587688391,1,1,0
2026-01-20,0.16850607574909732,0.05856139764811847,0,0,0
2026-01-21,0.13783523492417157,0.01797208817512852,0,0,0
2026-01-22,0.15832472617103083,0.057506293564268965,0,0,0
2026-01-23,0.15718304627345234,0.04143951114843899,1,0,0
2026-01-26,0.23212138317199776,0.08414070614703606,0,0,0
2026-01-27,0.18818362856241858,0.07290094162846915,0,0,0
2026-01-28,0.1947355533407146,0.08338189673844695,0,0,0
2026-01-29,0.14817326125968375,0.05538003629529185,0,0,0
2026-02-02,0.22375814150125545,0.18426413064169495,0,0,0
2026-02-03,0.1308277957410033,0.042063143660265874,0,0,0
2026-02-04,0.11222473167567172,0.06402455669715446,0,0,0
2026-02-05,0.13998824645329727,0.03622948728321366,0,0,0
2026-02-06,0.18189268730686042,0.13663983229498008,1,0,0
2026-02-09,0.178267440209781,0.08470521470543307,0,0,0
2026-02-10,0.232125930384145,0.08410901450642069,0,0,0
2026-02-11,0.13053820619670684,0.06642495128798659,0,0,0
2026-02-12,0.17880725266013928,0.04193526755597533,0,0,0
2026-02-13,0.16217829652182275,0.04120733903466235,1,0,0
2026-02-17,0.1305999688867979,0.040500459288482525,0,0,0
2026-02-18,0.19822532940413806,0.10242783164838565,0,0,0
2026-02-19,0.13985588833155996,0.04005567048504782,0,0,0
2026-02-20,0.11783513238234773,0.042201775733628474,1,1,0
2026-02-23,0.1924280595296393,0.1080994032091892,0,0,0
2026-02-24,0.19566272986557082,0.0686930185700178,0,0,0
2026-02-25,0.2111689306780711,0.08613400860900415,0,0,0
2026-02-26,0.12773430947011805,0.0238229764018526,0,0,0
2026-02-27,0.2235659214950593,0.07424304108964147,1,0,0
2026-03-02,0.16022445185022213,0.03179192223475788,0,0,0
2026-03-03,0.09362350656741941,0.02104513735148797,0,0,0
2026-03-04,0.16518685399955294,0.06597809105534018,0,0,0
2026-03-05,0.17698797227347007,0.03430887835657924,0,0,0
2026-03-06,0.18057676285913304,0.0294429260282878,1,0,0
2026-03-09,0.17495422955510456,0.11033813012182717,0,0,0
2026-03-10,0.13885637084790287,0.04042492160844187,0,0,0
2026-03-11,0.126422547754022,0.04356952211563239,0,0,0
2026-03-12,0.1370777470276496,0.06292226512734983,0,0,0
2026-03-13,0.13868835165167415,0.03718358715303357,1,0,0
2026-03-16,0.13754981665124238,0.03420993783087832,0,0,0
2026-03-17,0.1563832212155536,0.04187813489341593,0,0,0
2026-03-18,0.2021056969030788,0.05719457327579126,0,0,0
2026-03-19,0.11544118427171883,0.026503695367441776,0,0,0
2026-03-20,0.20641035291643517,0.14715613946357967,1,1,1
2026-03-23,0.11832061250661872,0.07176959457375863,0,0,0
2026-03-24,0.12577760656641468,0.04045232742025014,0,0,0
2026-03-25,0.10622247592900527,0.03247153589490065,0,0,0
2026-03-26,0.15423471779849446,0.047731449277098964,0,0,0
2026-03-27,0.18537994813411718,0.048277498035023854,1,0,0
2026-03-30,0.15305720919965662,0.07491974289045539,0,0,0
2026-03-31,0.19191896524831875,0.06339952595463155,0,0,0
2026-04-01,0.15111294173320727,0.050164530980839686,0,0,0
2026-04-02,0.12869692009119263,0.06016129164728924,0,0,0
2026-04-06,0.1515506511605486,0.06485001302919172,0,0,0
2026-04-07,0.2007312282841764,0.09494378884324896,0,0,0
2026-04-08,0.1738724294784733,0.05703350550331806,0,0,0
2026-04-09,0.13606747735316146,0.05443461617642308,0,0,0
2026-04-10,0.17906910756546962,0.06789988166272588,1,0,0
2026-04-13,0.2609227274082327,0.10605087367081978,0,0,0
2026-04-14,0.12002528806336775,0.10620490566172533,0,0,0
2026-04-15,0.1618673885824016,0.0404833006982495,0,0,0
2026-04-16,0.1444178415649293,0.035063700559688195,0,0,0
2026-04-17,0.12087267191199702,0.06470951525034678,1,1,0
2026-04-20,0.18778786791276433,0.06897811233512796,0,0,0
2026-04-21,0.23964325128551475,0.17187866441697472,0,0,0
2026-04-22,0.20361203162984992,0.05463354559515264,0,0,0
2026-04-23,0.12334281009849773,0.05486217449768189,0,0,0
2026-04-24,0.1852493407168238,0.03199938384654582,1,0,0
2026-04-27,0.19578590945962898,0.04684028231094567,0,0,0
2026-04-28,0.22599652492108946,0.03305415662458733,0,0,0
2026-04-29,0.07977499046961097,0.0895866597983434,0,0,0
2026-04-30,0.09589044225320649,0.0722957755607781,0,0,0
2026-05-01,0.2043913307915015,0.08140602591887845,1,0,0
2026-05-04,0.03278894256694794,0.06751496742428173,0,0,0
2026-05-05,0.037045003732078856,0.08692019351603619,0,0,0
2026-05-06,0.10325291032559913,0.13192142228481468,0,0,0
2026-05-07,0.04197349570949528,0.04869648415839218,0,0,0
2026-05-08,0.052876683695501706,0.04556883380244677,1,0,0
2026-05-11,0.04559260863823651,0.0807113947321698,0,0,0
2026-05-12,0.0362520547804349,0.030010363629483523,0,0,0
2026-05-13,0.16716224318782358,0.06769053534014761,0,0,0
2026-05-14,0.1804783447569889,0.02913291146448499,0,0,0
2026-05-15,0.060835568101428886,0.08309827531430725,1,1,0
