date,oc_var,friday_lag1,monthly_opex_lag1,triple_witching_lag1,baseline_har,augmented_proxy,ticker
2018-01-02,1.2014409150539186e-05,1.0,0.0,0.0,2.139372546015258e-06,2.2744901555485995e-06,SPY
2018-01-03,3.134379601971065e-05,0.0,0.0,0.0,2.651884478158314e-06,2.6228870921528243e-06,SPY
2018-01-04,2.2817880353832145e-06,0.0,0.0,0.0,2.8802305847246133e-06,3.0399658681662e-06,SPY
2018-01-05,1.1114069756571864e-05,0.0,0.0,0.0,2.8194961524683117e-06,3.0342578116081937e-06,SPY
2018-01-08,4.970531193028645e-06,1.0,0.0,0.0,2.6268011709266572e-06,2.1670312494999963e-06,SPY
2018-01-09,2.602299024256867e-07,0.0,0.0,0.0,2.122493558068648e-06,2.044031899610813e-06,SPY
2018-01-10,2.5806334014228967e-06,0.0,0.0,0.0,2.1470389136785174e-06,2.1520449675227795e-06,SPY
2018-01-11,2.474010765296255e-05,0.0,0.0,0.0,1.7213386264331653e-06,2.055332724950905e-06,SPY
2018-01-12,2.928816430970856e-05,0.0,0.0,0.0,2.4914190073350015e-06,2.5375130328815717e-06,SPY
2018-01-16,7.321020592470223e-05,1.0,0.0,0.0,2.8205366377759827e-06,2.9380957992716617e-06,SPY
2018-01-17,3.211155194325024e-05,0.0,0.0,0.0,3.406437553102506e-06,1.1904111224430223e-05,SPY
2018-01-18,1.481752184942088e-06,0.0,0.0,0.0,4.677838608098894e-06,8.575305154066915e-06,SPY
2018-01-19,4.742866495756843e-06,0.0,0.0,0.0,3.563428794386506e-06,3.6405251212733724e-06,SPY
2018-01-22,8.017930593487515e-05,1.0,1.0,0.0,3.686638787978852e-06,2.840224966383284e-06,SPY
2018-01-23,3.776901533660585e-06,0.0,0.0,0.0,4.91271922597301e-06,6.448404300854644e-06,SPY
2018-01-24,8.772896291460183e-06,0.0,0.0,0.0,3.7172754718549388e-06,3.859079790863523e-06,SPY
2018-01-25,9.18762142757722e-06,0.0,0.0,0.0,3.274991018420082e-06,6.370162244993897e-06,SPY
2018-01-26,6.66435453813386e-05,0.0,0.0,0.0,3.387601602729981e-06,4.176708991265352e-06,SPY
2018-01-29,1.9195643346521908e-05,1.0,0.0,0.0,5.716227923061005e-06,7.286706137654424e-06,SPY
2018-01-30,8.861412308167302e-06,0.0,0.0,0.0,4.667687747181026e-06,5.33528239603378e-06,SPY
2018-01-31,8.643841198919478e-06,0.0,0.0,0.0,5.392275367904979e-06,1.2390213436896619e-05,SPY
2018-02-01,3.2861592108003437e-06,0.0,0.0,0.0,4.0122493744624445e-06,6.891700498601264e-06,SPY
2018-02-02,0.00027785757690257194,0.0,0.0,0.0,3.9072276279194754e-06,5.7816976070522886e-06,SPY
