date,dividend
2007-11-14,0.33
2008-02-13,0.34
2008-05-08,0.35
2008-08-12,0.36
2008-09-16,0.125
2008-10-15,0.125
2008-11-17,0.125
2008-12-17,0.125
2009-01-20,0.125
2009-02-18,0.125
2009-03-18,0.125
2009-04-17,0.125
2009-05-19,0.125
2009-06-17,0.125
2009-07-17,0.125
2009-08-18,0.125
2009-09-17,0.125
2009-10-19,0.125
2009-11-18,0.125
2010-01-04,0.125
2010-01-19,0.125
2010-02-18,0.125
2010-03-23,0.125
2010-04-19,0.125
2010-05-18,0.125
2010-06-17,0.125
2010-07-19,0.125
2010-08-18,0.125
2010-09-21,0.125
2010-10-19,0.125
2010-11-17,0.125
2011-01-04,0.125
2011-01-18,0.125
2011-02-17,0.125
2011-03-22,0.13
2011-04-19,0.13
2011-05-18,0.13
2011-06-20,0.13
2011-07-19,0.13
2011-08-17,0.13
2011-09-19,0.135
2011-10-18,0.135
2011-11-17,0.135
2011-12-21,0.135
2012-01-18,0.135
2012-02-22,0.135
2012-03-19,0.14
2012-04-18,0.14
2012-05-17,0.14
2012-06-19,0.145
2012-07-18,0.145
2012-08-17,0.145
2012-09-18,0.15
2012-10-17,0.15
2012-11-19,0.15
2012-12-18,0.15
2013-01-02,0.35
2013-01-16,0.15
2013-02-19,0.15
2013-03-19,0.155
2013-04-17,0.155
2013-05-17,0.155
2013-06-18,0.155
2013-07-18,0.2
2013-07-31,0.155
2013-08-19,0.155
2013-09-18,0.16
2013-10-17,0.16
2013-11-19,0.16
2013-12-17,0.25
2013-12-26,0.165
2014-01-16,0.165
2014-02-18,0.165
2014-03-18,0.165
2014-04-16,0.165
2014-05-16,0.165
2014-06-18,0.275
2014-06-26,0.165
2014-07-17,0.165
2014-08-18,0.165
2014-09-17,0.17
2014-10-16,0.17
2014-11-18,0.17
2014-12-16,0.275
2014-12-29,0.17
2015-01-16,0.17
2015-02-18,0.17
2015-03-27,0.175
2015-04-17,0.175
2015-05-18,0.175
2015-06-16,0.275
2015-06-29,0.175
2015-07-17,0.175
2015-08-18,0.175
2015-09-17,0.18
2015-10-19,0.18
2015-11-18,0.18
2015-12-15,0.275
2015-12-28,0.18
2016-01-20,0.18
2016-02-18,0.18
2016-03-17,0.18
2016-04-19,0.18
2016-05-18,0.18
2016-06-16,0.275
2016-06-29,0.18
2016-07-19,0.18
2016-08-17,0.18
2016-09-19,0.185
2016-10-18,0.185
2016-11-17,0.185
2016-12-14,0.275
2016-12-28,0.185
2017-01-18,0.185
2017-02-17,0.185
2017-03-17,0.185
2017-04-18,0.185
2017-05-17,0.185
2017-06-15,0.275
2017-06-28,0.185
2017-07-18,0.185
2017-08-17,0.185
2017-09-20,0.19
2017-10-19,0.19
2017-11-20,0.19
2017-12-18,0.275
2017-12-28,0.19
2018-01-18,0.19
2018-02-21,0.19
2018-03-20,0.19
2018-04-19,0.19
2018-05-18,0.19
2018-06-18,0.275
2018-06-28,0.19
2018-07-19,0.19
2018-08-20,0.19
2018-09-19,0.195
2018-10-18,0.195
2018-11-19,0.195
2018-12-17,0.275
2018-12-28,0.195
2019-01-17,0.195
2019-02-20,0.195
2019-03-19,0.2
2019-04-17,0.2
2019-05-17,0.2
2019-06-17,0.25
2019-06-27,0.205
2019-07-17,0.205
2019-08-19,0.205
2019-09-18,0.205
2019-10-17,0.205
2019-11-19,0.205
2019-12-12,0.24
2019-12-27,0.205
2020-01-21,0.205
2020-02-19,0.205
2020-03-17,0.205
2020-04-17,0.205
2020-05-19,0.205
2020-06-17,0.205
2020-07-17,0.205
2020-08-18,0.205
2020-09-28,0.205
2020-10-28,0.205
2020-11-24,0.205
2021-01-04,0.205
2021-01-28,0.205
2021-02-25,0.205
2021-03-26,0.205
2021-04-28,0.205
2021-05-27,0.205
2021-06-28,0.205
2021-07-28,0.205
2021-08-26,0.205
2021-09-28,0.21
2021-10-28,0.21
2021-11-23,0.21
2021-12-21,0.1
2022-01-03,0.215
2022-02-01,0.215
2022-03-01,0.215
2022-03-21,0.075
2022-04-01,0.215
2022-05-02,0.215
2022-06-01,0.215
2022-06-21,0.075
2022-07-01,0.215
2022-08-01,0.215
2022-09-01,0.215
2022-09-19,0.1
2022-10-06,0.22
2022-11-07,0.22
2022-12-07,0.22
2022-12-19,0.1
2023-01-05,0.225
2023-02-07,0.225
2023-03-07,0.225
2023-03-20,0.175
2023-04-05,0.225
2023-05-05,0.225
2023-06-07,0.225
2023-06-20,0.225
2023-07-06,0.23
2023-08-07,0.23
2023-09-07,0.23
2023-09-19,0.275
2023-10-05,0.235
2023-11-07,0.235
2023-12-07,0.235
2023-12-19,0.275
2024-01-04,0.24
2024-02-07,0.24
2024-03-07,0.24
2024-03-19,0.3
2024-04-05,0.24
2024-05-07,0.24
2024-06-07,0.24
2024-06-21,0.3
2024-07-08,0.245
2024-08-08,0.245
2024-09-06,0.245
2024-09-20,0.3
2024-10-08,0.245
2024-11-08,0.245
2024-12-06,0.245
2024-12-20,0.3
2025-01-08,0.25
2025-02-07,0.25
2025-03-07,0.25
2025-03-20,0.3
2025-04-08,0.25
2025-05-08,0.25
2025-06-06,0.25
2025-06-20,0.3
2025-07-08,0.255
2025-08-08,0.255
2025-09-08,0.255
2025-09-19,0.3
2025-10-08,0.255
2025-11-07,0.255
2025-12-08,0.255
2025-12-22,0.3
2026-01-08,0.26
2026-02-06,0.26
2026-03-06,0.26
2026-03-20,0.3
2026-04-08,0.26
2026-05-08,0.26
2026-06-08,0.26
2026-06-22,0.3
