date,dividend
2010-06-18,0.235064
2010-09-08,0.303624
2010-12-16,0.303624
2011-03-16,0.313418
2011-06-15,0.313418
2011-09-15,0.313418
2011-12-15,0.313418
2012-03-14,0.313418
2012-06-13,0.313418
2012-09-11,0.313418
2012-12-12,0.313418
2013-03-12,0.313418
2013-06-11,0.313418
2013-09-11,0.313418
2013-12-13,0.313418
2014-03-13,0.313418
2014-06-12,0.313418
2014-09-12,0.313418
2014-12-16,0.313418
2015-03-18,0.313418
2015-06-16,0.313418
2015-09-02,0.313418
2015-12-09,0.313418
2016-03-03,0.313418
2016-06-02,0.313418
2016-08-31,0.313418
2016-12-08,0.558276
2017-03-03,0.313418
2017-06-02,0.313418
2017-09-01,0.313418
2017-12-11,0.391773
2018-03-07,0.313418
2018-06-07,0.313418
2018-09-06,0.313418
2018-12-11,0.43095
2019-03-06,0.313418
2019-06-06,0.313418
2019-08-16,0.313418
2019-12-11,0.450539
2020-03-05,0.323213
2020-06-08,0.29
2020-09-04,0.29
2020-12-10,0.29
2021-03-04,0.29
2021-06-10,0.29
2021-09-07,0.29
2021-12-09,0.3
2022-03-03,0.3
2022-06-02,0.3
2022-09-01,0.3
2022-12-08,0.33
2023-03-02,0.33
2023-06-01,0.33
2023-08-17,0.04
2023-08-31,0.37
2023-11-30,0.07
2023-12-07,0.37
2024-02-14,0.07
2024-02-29,0.39
2024-05-01,0.39
2024-05-15,0.06
2024-06-13,0.05
2024-08-16,0.1
2024-08-30,0.39
2024-11-29,0.09
2024-12-09,0.39
2025-03-03,0.39
2025-06-13,0.39
2025-09-15,0.39
2025-12-12,0.39
2026-03-13,0.33
2026-06-15,0.33
