end,val,form,filed,accn
2012-12-31,18.59,10-K,2023-02-24,0001396440-23-000035
2013-12-31,19.89,10-K,2023-02-24,0001396440-23-000035
2014-12-31,20.85,10-K,2023-02-24,0001396440-23-000035
2015-12-31,21.24,10-K,2023-02-24,0001396440-23-000035
2016-12-31,22.1,10-K,2023-02-24,0001396440-23-000035
2017-12-31,23.53,10-K,2023-02-24,0001396440-23-000035
2018-12-31,24.09,10-K,2023-02-24,0001396440-23-000035
2019-12-31,23.91,10-K,2023-02-24,0001396440-23-000035
2020-12-31,22.35,10-Q,2022-11-04,0001396440-22-000034
2021-09-30,24.27,10-Q,2022-11-04,0001396440-22-000034
2021-12-31,25.29,10-Q,2022-11-04,0001396440-22-000034
2022-03-31,25.89,10-Q,2023-05-05,0001396440-23-000067
2022-06-30,25.37,10-Q,2023-08-04,0001396440-23-000102
2022-09-30,25.94,10-Q,2022-11-04,0001396440-22-000034
2022-12-31,26.86,10-K,2023-02-24,0001396440-23-000035
2023-03-31,27.23,10-Q,2023-05-05,0001396440-23-000067
2023-06-30,27.69,10-Q,2023-08-04,0001396440-23-000102
2023-09-30,28.33,10-Q,2023-11-03,0001396440-23-000140
2023-12-31,29.2,10-K,2024-02-23,0001396440-24-000055
2024-03-31,29.54,10-Q,2024-05-10,0001396440-24-000082
2024-06-30,29.8,10-Q,2024-08-09,0001396440-24-000154
2024-09-30,30.57,10-Q,2024-11-08,0001396440-24-000236
2024-12-31,31.65,10-K,2025-02-28,0001396440-25-000018
2025-03-31,32.03,10-Q,2025-05-09,0001396440-25-000068
2025-06-30,32.3,10-Q,2025-08-08,0001396440-25-000102
2025-09-30,32.78,10-Q,2025-11-07,0001396440-25-000184
2025-12-31,33.33,10-K,2026-02-27,0001396440-26-000016
2026-03-31,33.46,10-Q,2026-05-08,0001396440-26-000073
