end,val,form,filed,accn
2015-12-31,0.0,10-K,2023-02-22,0001655888-23-000012
2016-12-31,14.85,10-K,2023-02-22,0001655888-23-000012
2017-12-31,15.03,10-K,2023-02-22,0001655888-23-000012
2018-12-31,15.1,10-K,2023-02-22,0001655888-23-000012
2019-12-31,15.24,10-K,2023-02-22,0001655888-23-000012
2020-12-31,14.74,10-Q,2022-11-02,0001655888-22-000024
2021-09-30,14.95,10-Q,2022-11-02,0001655888-22-000024
2021-12-31,15.08,10-Q,2022-11-02,0001655888-22-000024
2022-03-31,14.88,10-Q,2023-05-10,0001655888-23-000019
2022-06-30,14.48,10-Q,2023-08-09,0001655888-23-000024
2022-09-30,14.85,10-Q,2022-11-02,0001655888-22-000024
2022-12-31,14.99,10-K,2023-02-22,0001655888-23-000012
2023-03-31,15.15,10-Q,2023-05-10,0001655888-23-000019
2023-06-30,15.26,10-Q,2023-08-09,0001655888-23-000024
2023-09-30,15.4,10-Q,2024-11-06,0001655888-24-000023
2023-12-31,15.45,10-K,2024-02-21,0001655888-24-000008
2024-03-31,15.47,10-Q,2024-05-08,0001655888-24-000014
2024-06-30,15.36,10-Q,2024-08-07,0001655888-24-000019
2024-09-30,15.28,10-Q,2024-11-06,0001655888-24-000023
2024-12-31,15.26,10-K,2025-02-19,0001655888-25-000007
2025-03-31,15.14,10-Q,2025-05-07,0001655888-25-000012
2025-06-30,15.03,10-Q,2025-08-06,0001655888-25-000020
2025-09-30,14.89,10-Q,2025-11-05,0001655888-25-000024
2025-12-31,14.81,10-K,2026-02-18,0001655888-26-000010
2026-03-31,14.41,10-Q,2026-05-06,0001655888-26-000033
