end,val,form,filed,accn
2017-12-31,25.0,10-K,2024-02-28,0001736035-24-000006
2018-11-20,25.0,10-K,2023-02-27,0001736035-23-000008
2018-12-31,24.57,10-K,2023-02-27,0001736035-23-000008
2019-12-31,26.02,10-K,2023-02-27,0001736035-23-000008
2020-12-31,25.2,10-Q,2022-11-10,0001736035-22-000023
2021-09-30,26.15,10-Q,2022-11-10,0001736035-22-000023
2021-12-31,26.27,10-Q,2022-11-10,0001736035-22-000023
2022-03-31,26.13,10-Q,2023-05-10,0001736035-23-000013
2022-06-30,25.89,10-Q,2023-08-09,0001736035-23-000018
2022-09-30,25.76,10-Q,2022-11-10,0001736035-22-000023
2022-12-31,25.93,10-K,2023-02-27,0001736035-23-000008
2023-03-31,26.1,10-Q,2023-05-10,0001736035-23-000013
2023-06-30,26.3,10-Q,2023-08-09,0001736035-23-000018
2023-09-30,26.54,10-Q,2023-11-08,0001736035-23-000023
2023-12-31,26.66,10-K,2024-02-28,0001736035-24-000006
2024-03-31,26.87,10-Q,2024-05-08,0001736035-24-000017
2024-06-30,27.19,10-Q,2024-08-07,0001736035-24-000026
2024-09-30,27.27,10-Q,2024-11-12,0001736035-24-000035
2024-12-31,27.39,10-K,2025-02-26,0001736035-25-000008
2025-03-31,27.39,10-Q,2025-05-07,0001736035-25-000013
2025-06-30,27.33,10-Q,2025-08-06,0001736035-25-000018
2025-09-30,27.15,10-Q,2025-11-10,0001736035-25-000021
2025-12-31,26.92,10-K,2026-02-25,0001736035-26-000004
2026-03-31,26.26,10-Q,2026-05-07,0001736035-26-000010
