end,val,form,filed,accn
2017-09-30,16.08,10-K,2022-11-21,0001476765-22-000103
2018-09-30,16.1,10-K,2022-11-21,0001476765-22-000103
2019-09-30,16.76,10-K,2022-11-21,0001476765-22-000103
2020-09-30,14.33,10-K,2022-11-21,0001476765-22-000103
2021-09-30,15.19,10-K,2022-11-21,0001476765-22-000103
2021-12-31,15.26,10-Q,2023-02-08,0001476765-23-000018
2022-03-31,15.35,10-Q,2023-05-08,0001476765-23-000042
2022-06-30,15.14,10-Q,2023-08-07,0001476765-23-000063
2022-09-30,14.89,10-K,2022-11-21,0001476765-22-000103
2022-12-31,14.71,10-Q,2023-02-08,0001476765-23-000018
2023-03-31,14.73,10-Q,2023-05-08,0001476765-23-000042
2023-06-30,14.83,10-Q,2023-08-07,0001476765-23-000063
2023-09-30,15.02,10-K,2023-11-20,0001476765-23-000077
2023-12-31,15.03,10-Q,2024-02-05,0001476765-24-000016
2024-03-31,15.12,10-Q,2024-05-06,0001476765-24-000036
2024-06-30,15.32,10-Q,2024-08-05,0001476765-24-000074
2024-09-30,15.19,10-K,2024-11-19,0001476765-24-000132
2024-12-31,15.13,10-Q,2025-02-04,0001476765-25-000016
2025-03-31,15.04,10-Q,2025-05-05,0001476765-25-000040
2025-06-30,15.0,10-Q,2025-08-04,0001476765-25-000076
2025-09-30,14.97,10-K,2025-11-18,0001476765-25-000096
2025-12-31,14.84,10-Q,2026-02-04,0001476765-26-000012
2026-03-31,14.35,10-Q,2026-05-04,0001476765-26-000033
