date,dividend
2019-09-27,0.33
2019-12-30,0.35
2020-03-30,0.39
2020-06-29,0.39
2020-09-29,0.39
2020-12-30,0.39
2021-03-30,0.31
2021-06-29,0.31
2021-09-29,0.31
2021-12-30,0.31
2022-03-30,0.31
2022-06-29,0.31
2022-09-29,0.31
2022-11-29,0.03
2022-12-29,0.33
2023-03-02,0.04
2023-03-30,0.33
2023-05-30,0.06
2023-06-29,0.33
2023-08-30,0.07
2023-09-28,0.33
2023-11-29,0.08
2023-12-28,0.35
2024-02-29,0.08
2024-03-27,0.37
2024-05-31,0.05
2024-06-28,0.37
2024-08-30,0.06
2024-09-30,0.37
2024-11-29,0.05
2024-12-31,0.37
2025-02-28,0.05
2025-03-31,0.37
2025-05-30,0.01
2025-06-30,0.37
2025-08-29,0.02
2025-09-30,0.37
2025-12-31,0.37
2026-03-31,0.37
2026-06-30,0.31
