Symbol,yf_symbol,Security,sector,sub_industry,hq_location,county,state_name,county_fips,county_sci_sum,county_log_sci_sum,county_sci_z,county_sci_rank_pct,earnings_date,event_day,surprise_pct,vix_level,high_vix,pre_abs_mean,pre_rv_mean,event_abs,event_rv,post_abs_mean,post_rv_mean,jump_log_abs,jump_log_rv,decay_speed_log_abs,decay_speed_log_rv,abs_event_abn,rv_event_abn,abs_decay_abn,rv_decay_abn,sample_year,sample_quarter
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2026-05-27T20:00:00,2026-05-28T00:00:00,5.8,15.739999771118164,0,0.01567503407659898,0.00043424177640364757,0.15587577812402742,0.024297258205771024,0.007114181986125345,8.128099465586445e-05,2.2969895616966296,4.024517098281883,3.08696779986841,5.70020534458585,0.14020074404742844,0.023863016429367376,0.14876159613790207,0.02421597721111516,2026,2
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2026-02-25T21:00:00,2026-02-26T00:00:00,-0.6,18.6299991607666,0,0.012475654860743823,0.0002452093843091808,0.03052864262218158,0.0009319980203528818,0.014081597430814875,0.00027102795558146657,0.8948857371925707,1.3352179146901721,0.7737961645263638,1.2351084562426904,0.018052987761437756,0.000686788636043701,0.016447045191366704,0.0006609700647714152,2026,1
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2025-11-24T21:00:00,2025-11-25T00:00:00,0.37,18.559999465942383,0,0.009615083519007639,0.00015490607138518505,0.02316700674372285,0.0005367102014637,0.011573594704442237,0.00018945841575043878,0.8793954696690072,1.2426388853589665,0.694002526214679,1.041288386768821,0.013551923224715212,0.000381804130078515,0.011593412039280614,0.00034725178571326124,2025,4
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2025-08-27T20:00:00,2025-08-28T00:00:00,0.17,14.43000030517578,0,0.01378348438104866,0.00028213036727631126,0.051478612617627206,0.002650047557035727,0.007410802398872285,0.0001418065722031711,1.317694809721614,2.239963288740992,1.938226557916831,2.92786823599561,0.03769512823657854,0.002367917189759416,0.04406781021875492,0.002508240984832556,2025,3
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2025-05-28T20:00:00,2025-05-29T00:00:00,3.62,19.18000030517578,0,0.015929705733309162,0.0005778516891953541,0.0214141806314867,0.0004585671321179402,0.012609968722762054,0.00017666368630065406,0.2958675368621611,-0.23121049983168898,0.5295653532411115,0.9538585020956126,0.005484474898177539,-0.00011928455707741392,0.008804211908724647,0.0002819034458172861,2025,2
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2025-02-26T21:00:00,2025-02-27T00:00:00,2.99,21.1299991607666,1,0.011078224659184243,0.00018874011919818709,0.05652440901986644,0.0031950088150451586,0.014657369764215212,0.00033044226917301994,1.6296903979880526,2.828973589150275,1.3497287930236213,2.2689128876981024,0.04544618436068219,0.0030062686958469715,0.04186703925565123,0.0028645665458721385,2025,1
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2024-11-25T21:00:00,2024-11-26T00:00:00,3.9,14.100000381469728,0,0.014906031935524177,0.00036878759618937454,0.0008927273307630657,7.96962087091348e-07,0.009847685157188656,0.00018994768610965134,-2.8152295136439616,-6.137043831616585,-2.400700317465632,-5.473571926677248,-0.014013304604761112,-0.00036799063410228317,-0.00895495782642559,-0.00018915072402256,2024,4
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2024-08-21T20:00:00,2024-08-22T00:00:00,4.93,17.549999237060547,0,0.014241479611781571,0.0002878795096899977,0.0016415517699561732,2.694692213446245e-06,0.004461821953989897,3.100256819988251e-05,-2.1605114206406912,-4.671221270204218,-0.9999113462710498,-2.442752171118723,-0.012599927841825398,-0.00028518481747655147,-0.0028202701840337237,-2.8307875986436263e-05,2024,3
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2024-05-29T20:00:00,2024-05-30T00:00:00,2.42,14.470000267028809,0,0.011250487045859047,0.0001880981332722892,0.10164012819849066,0.010330715660205617,0.009105528231255811,0.0001170808913108628,2.201026208608517,4.005912505410336,2.4125556928929446,4.480010920440505,0.09038964115263162,0.010142617526933328,0.09253459996723486,0.010213634768894754,2024,2
A,A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433,2024-02-27T21:00:00,2024-02-28T00:00:00,4.68,13.84000015258789,0,0.012706247733978503,0.00024576216152021323,0.03309400546582886,0.0010952131977723103,0.013011668424968726,0.00023159124918119655,0.9572578573303656,1.4943397637008635,0.9335051698223199,1.5537300231787106,0.020387757731850354,0.000849451036252097,0.020082337040860133,0.0008636219485911137,2024,1
