Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,county,state_name,display_name,lat,lon,geocode_status,county_fips
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,"Santa Clara County, California, United States",37.2333253,-121.6846349,ok,06085
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",Santa Clara County,California,"Cupertino, Santa Clara County, California, 95014, United States",37.3228934,-122.0322895,ok,06085
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",Lake County,Illinois,"North Chicago, Lake County, Illinois, United States",42.327724,-87.8394189,ok,17097
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",San Francisco,California,"San Francisco, California, United States",37.7879363,-122.4075201,ok,06075
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",Lake County,Illinois,"North Chicago, Lake County, Illinois, United States",42.327724,-87.8394189,ok,17097
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",Santa Clara County,California,"San Jose, Santa Clara County, California, United States",37.3361663,-121.890591,ok,06085
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",Middlesex County,Massachusetts,"Wilmington, Middlesex County, Massachusetts, 01887, United States",42.5464828,-71.1736669,ok,25017
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",Cook County,Illinois,"Chicago, South Chicago Township, Cook County, Illinois, United States",41.8755616,-87.6244212,ok,17031
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",Essex County,New Jersey,"Roseland, Essex County, New Jersey, 07068, United States",40.8206555,-74.2937595,ok,34013
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",San Francisco,California,"San Francisco, California, United States",37.7879363,-122.4075201,ok,06075
AEE,Ameren,Utilities,Multi-Utilities,"St. Louis, Missouri",Saint Louis,Missouri,"Saint Louis, Missouri, United States",38.6254063,-90.190009,ok,
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",Franklin County,Ohio,"Columbus, Sharon, Franklin County, Ohio, United States",39.9622601,-83.0007065,ok,39049
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",Arlington County,Virginia,"Arlington County, Virginia, United States",38.8769326,-77.0893094,ok,51013
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",Muscogee County,Georgia,"Columbus, Muscogee County, Georgia, United States",32.4610708,-84.9880449,ok,13215
AIG,American International Group,Financials,Multi-line Insurance,"New York City, New York",New York,New York,"New York, United States",40.7127281,-74.0060152,ok,36061
AIZ,Assurant,Financials,Multi-line Insurance,"Atlanta, Georgia",Fulton County,Georgia,"Atlanta, Fulton County, Georgia, United States",33.7544657,-84.3898151,ok,13121
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Rolling Meadows, Illinois",Cook County,Illinois,"Rolling Meadows, Palatine Township, Cook County, Illinois, 60008, United States",42.0841936,-88.0131275,ok,17031
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",Middlesex County,Massachusetts,"Cambridge, Middlesex County, Massachusetts, United States",42.3656347,-71.1040018,ok,25017
ALB,Albemarle Corporation,Materials,Specialty Chemicals,"Charlotte, North Carolina",Mecklenburg County,North Carolina,"Charlotte, Mecklenburg County, North Carolina, United States",35.2272086,-80.8430827,ok,37119
ALGN,Align Technology,Health Care,Health Care Supplies,"Tempe, Arizona",Maricopa County,Arizona,"Tempe, Maricopa County, Arizona, United States",33.4255117,-111.940016,ok,04013
