Symbol,Security,GICS Sector,GICS Sub-Industry,Headquarters Location,county,state_name,display_name,lat,lon,geocode_status,county_fips,fips,sci_sum,log_sci_sum,sci_z,sci_rank_pct
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,"Santa Clara, California",Santa Clara County,California,"Santa Clara County, California, United States",37.2333253,-121.6846349,ok,06085,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",Santa Clara County,California,"Cupertino, Santa Clara County, California, 95014, United States",37.3228934,-122.0322895,ok,06085,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433
ABBV,AbbVie,Health Care,Biotechnology,"North Chicago, Illinois",Lake County,Illinois,"North Chicago, Lake County, Illinois, United States",42.327724,-87.8394189,ok,17097,17097,11864577.0,16.289067880426398,-2.1124635246078,0.0202871410736579
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines","San Francisco, California",San Francisco,California,"San Francisco, California, United States",37.7879363,-122.4075201,ok,06075,06075,8849044.0,15.995820101556932,-2.4159819829364744,0.0078027465667915
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",Lake County,Illinois,"North Chicago, Lake County, Illinois, United States",42.327724,-87.8394189,ok,17097,17097,11864577.0,16.289067880426398,-2.1124635246078,0.0202871410736579
ADBE,Adobe Inc.,Information Technology,Application Software,"San Jose, California",Santa Clara County,California,"San Jose, Santa Clara County, California, United States",37.3361663,-121.890591,ok,06085,06085,5617560.0,15.541408141905672,-2.886309219416093,0.0006242197253433
ADI,Analog Devices,Information Technology,Semiconductors,"Wilmington, Massachusetts",Middlesex County,Massachusetts,"Wilmington, Middlesex County, Massachusetts, 01887, United States",42.5464828,-71.1736669,ok,25017,25017,8979556.0,16.010461107212976,-2.400828192233487,0.0081148564294631
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,"Chicago, Illinois",Cook County,Illinois,"Chicago, South Chicago Township, Cook County, Illinois, United States",41.8755616,-87.6244212,ok,17031,17031,10540161.0,16.17070347097835,-2.234973516721491,0.0159176029962546
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,"Roseland, New Jersey",Essex County,New Jersey,"Roseland, Essex County, New Jersey, 07068, United States",40.8206555,-74.2937595,ok,34013,34013,9277108.0,16.043060526054365,-2.3670870147647443,0.0093632958801498
ADSK,Autodesk,Information Technology,Application Software,"San Francisco, California",San Francisco,California,"San Francisco, California, United States",37.7879363,-122.4075201,ok,06075,06075,8849044.0,15.995820101556932,-2.4159819829364744,0.0078027465667915
