ticker,spot,expiry,atm_iv,put_iv_90pct,call_iv_110pct,put_strike,call_strike,skew_vol_pts,rv_30d,iv_rv_ratio
META,597.63,2026-07-02,0.3537,0.3314,0.3844,540.0,655.0,-5.29,26.85,1.317
GOOGL,361.85,2026-07-02,0.3291,0.3259,0.3411,325.0,400.0,-1.52,28.7,1.147
MSFT,441.31,2026-07-02,0.3258,0.3309,0.3378,395.0,485.0,-0.69,32.26,1.01
AMZN,256.52,2026-07-02,0.327,0.3269,0.333,230.0,280.0,-0.61,24.54,1.333
NVDA,222.82,2026-07-02,0.4172,0.4155,0.4257,200.0,245.0,-1.01,40.86,1.021
SPY,759.57,2026-06-30,0.1297,0.2232,0.1284,684.0,835.0,9.47,9.51,1.364
