section,location,metric,value_in_paper,source_k,value_in_json,rtol_001,rtol_0001,status,notes
Abstract,abstract,TAIFEX DM vs GJR,5.10,K883 or K874d,K883=4.000 K874d=5.1,,,DIVERGENT,"Paper 5.10; K874d DM PRG_Extended vs GJR_GARCH = 5.0996 (Table: 5.10 rounded); K883 ext vs gjr = 4.000"
Abstract,abstract,SPY DM vs GJR,6.00,K880,6.003887940674553,YES,YES,MATCH_K880_NOT_K880v2,"Paper uses K880 (with lookahead), not K880v2 (fixed). K880v2 gives -0.57"
Abstract,abstract,QQQ DM vs GJR,4.26,K881,4.257153099532295,YES,YES,MATCH
Abstract,abstract,GLD DM vs GJR,6.12,K881,6.117543150726165,YES,YES,MATCH
Abstract,abstract,EEM DM vs GJR,6.63,K881,6.628948718417019,YES,YES,MATCH
Abstract,abstract,Harvey threshold,3.0,standard,,,,STANDARD_REF
Table1,tab:data,TAIFEX OOS obs,843,K874d/K883,843,,YES,YES,MATCH
Table1,tab:data,TAIFEX OOS period,2022/07--2025/12,K874d,"2022-07-14 to 2025-12-31",YES,YES,MATCH
Table1,tab:data,SPY OOS obs,1823,K880/K880v2,1823,,YES,YES,MATCH
Table1,tab:data,SPY OOS period,2019/01--2026/04,K880v2,"2019-01-02 to 2026-04-02",YES,YES,MATCH
Table1,tab:data,QQQ OOS obs,1981,K881,"1981",YES,YES,MATCH
Table1,tab:data,QQQ OOS period,2018/05--2026/04,K881,"2018-05-16 to 2026-04-02",YES,YES,MATCH
Table1,tab:data,GLD OOS obs,1613,K881,"1613",YES,YES,MATCH
Table1,tab:data,GLD OOS period,2019/10--2026/04,K881,"2019-10-31 to 2026-04-02",YES,YES,MATCH
Table1,tab:data,EEM OOS obs,1734,K881,"1734",YES,YES,MATCH
Table1,tab:data,EEM OOS period,2019/05--2026/04,K881,"2019-05-10 to 2026-04-02",YES,YES,MATCH
Table1,tab:data,0050.TW OOS obs,1266,K886,"1266",YES,YES,MATCH
Table1,tab:data,0050.TW OOS period,2019/12--2026/04,K886,"2021-01-08 to 2026-04-02",NO,NO,DIVERGENT,"Paper: 2019/12; K886 oos_period=2021-01-08. OOS date mismatch. n_oos=1266 with Spearman n=1251 also inconsistent"
Table1,tab:data,SPY ON var share,34.5,K880v2,34.47,YES,YES,MATCH
Table1,tab:data,QQQ ON var share,27.9,K881,27.86,YES,YES,MATCH
Table1,tab:data,GLD ON var share,53.1,K881,53.1,YES,YES,MATCH
Table1,tab:data,EEM ON var share,52.6,K881,52.6,YES,YES,MATCH
Table1,tab:data,0050.TW ON var share,46.1,K886,46.15,YES,YES,MATCH
Table2,tab:main_results,TAIFEX best QLIKE,0.198,K883/K874d,K883=0.121 K874d=0.198,,,DIVERGENT,"Paper 0.198 matches K874d PRG_Extended. K883 (true tick-level) gets 0.121. Different data/methodology."
Table2,tab:main_results,SPY best QLIKE,0.748,K880,0.7478,YES,YES,MATCH_K880_NOT_K880v2,"K880v2 gives 0.8636 -- paper uses K880 (lookahead version)"
Table2,tab:main_results,QQQ best QLIKE,0.765,K881,0.7652,YES,YES,MATCH
Table2,tab:main_results,GLD best QLIKE,0.811,K881,0.8204,NO,NO,DIVERGENT,"Paper: 0.811; K881 GLD PRG_Ext QLIKE=0.8204. Diff ~1.1%. Note: paper says PRG Basic for GLD; K881 GLD PRG_Basic QLIKE needs check"
Table2,tab:main_results,EEM best QLIKE,0.664,K881,0.6641,YES,YES,MATCH
Table2,tab:main_results,0050.TW best QLIKE,0.784,K886,0.7838,YES,YES,MATCH
Table2,tab:main_results,TAIFEX DM PRG vs GJR,5.10,K874d,5.0996,YES,YES,MATCH
Table2,tab:main_results,TAIFEX DM PRG vs Sep,-4.07,K883/K874d,K874d not available,,,?,TAIFEX Sep DM not found in K874d. K883 PRG_Ext vs Sep = -3.303
