ticker,fy_end,ppe,revenue,debt,equity,sga,op_leverage_1,op_leverage_2,op_leverage_3
0981.HK,2021-12-31,,,,,,,,
0981.HK,2022-12-31,18960891000.0,7273284000.0,8694432000.0,19149976000.0,527564000.0,2.6069229525479822,0.45401790581878537,2.6794574500322
0981.HK,2023-12-31,24002751000.0,6321560000.0,10208666000.0,20116102000.0,518424000.0,3.796966413353666,0.5074872855586038,3.878975284581654
0981.HK,2024-12-31,28524185000.0,8029921000.0,11595997000.0,20613809000.0,619888000.0,3.5522373134181517,0.5625353858668235,3.629434585969152
0981.HK,2025-12-31,32565907000.0,9326799000.0,12596181000.0,21439670000.0,569200000.0,3.4916488497286156,0.587517485110545,3.552677290461604
2303.TW,2021-12-31,,,,,,,,
2303.TW,2022-12-31,198033616000.0,278705264000.0,45614480000.0,322467269000.0,13855542000.0,0.7105485312972057,0.14145460449817002,0.7602624900547268
2303.TW,2023-12-31,250849186000.0,222533000000.0,64159086000.0,343376109000.0,10702191000.0,1.127244885028288,0.18684784502581686,1.1753374870243964
2303.TW,2024-12-31,292030557000.0,232302584000.0,70467495000.0,377928391000.0,9818899000.0,1.2571128223007626,0.18645726724457704,1.2993805355174182
2303.TW,2025-12-31,280033548000.0,237553199000.0,59781672000.0,379768265000.0,9225346000.0,1.178824571417369,0.15741618642094804,1.2176594346767773
2330.TW,2021-12-31,,,,,,,,
2330.TW,2022-12-31,2735751000000.0,2263891300000.0,888174400000.0,2903019700000.0,63445300000.0,1.2084286025570221,0.3059484577386781,1.2364534905010678
2330.TW,2023-12-31,3104899700000.0,2161735800000.0,956257900000.0,3429522400000.0,71463500000.0,1.436299338707348,0.2788312156818104,1.469357726323448
2330.TW,2024-12-31,3275108500000.0,2894307700000.0,1047042100000.0,4244266500000.0,96888600000.0,1.1315688722384285,0.24669565400758883,1.1650444422339754
2330.TW,2025-12-31,3735759800000.0,3809054300000.0,1064582700000.0,5355038700000.0,99222400000.0,0.9807578222237472,0.19880018794261936,1.0068069126764614
GFS,2021-12-31,,,,,,,,
GFS,2022-12-31,10596000000.0,8108000000.0,2856000000.0,9913000000.0,451000000.0,1.3068574247656635,0.2881065267830122,1.36248149975333
GFS,2023-12-31,10164000000.0,7392000000.0,2754000000.0,11104000000.0,448000000.0,1.375,0.24801873198847263,1.4356060606060606
GFS,2024-12-31,8260000000.0,6750000000.0,2320000000.0,10776000000.0,401000000.0,1.2237037037037037,0.21529324424647364,1.283111111111111
GFS,2025-12-31,7792000000.0,6791000000.0,1707000000.0,11928000000.0,337000000.0,1.14740097187454,0.14310865191146882,1.197025474893241
TSM,2021-12-31,,,,,,,,
TSM,2022-12-31,2735751000000.0,2263891300000.0,888174400000.0,2903019700000.0,63445300000.0,1.2084286025570221,0.3059484577386781,1.2364534905010678
TSM,2023-12-31,3104899700000.0,2161735800000.0,956257900000.0,3429522400000.0,71463500000.0,1.436299338707348,0.2788312156818104,1.469357726323448
TSM,2024-12-31,3275108500000.0,2894307700000.0,1047042100000.0,4244266500000.0,96888600000.0,1.1315688722384285,0.24669565400758883,1.1650444422339754
TSM,2025-12-31,3735759800000.0,3809054300000.0,1064582700000.0,5355038700000.0,99222400000.0,0.9807578222237472,0.19880018794261936,1.0068069126764614
