event_date,flag,theta_eav_fitted,theta_eav_empirical,r2_d,g_d,vix2_d_lag,baseline_d,stock,guide_updated,guide_midpoint,guide_delta_pct,note,op_leverage_1,op_leverage_2,op_leverage_3,matched_fy_end
2023-02-15,change,0.0007029416032416,-0.0003198185591631,0.0006531812968153,0.656298837197308,357.588094229126,0.0013150683749403,GFS,1.0,3.0,-28.571428571428573,FY2023 guide ~$3.0bn (CUT from $4.5bn),1.3068574247656637,0.2881065267830122,1.36248149975333,2022-12-31
2023-02-23,change,0.0007235338801488,-0.0001785177783484,0.0001698527346358,0.8332827808650943,496.8441408142098,0.0003823534251856,2303.TW,1.0,3.0,11.111111111111104,FY2023 guide ~$3.0bn,0.7105485312972057,0.14145460449817,0.7602624900547268,2022-12-31
2023-03-01,change,-3.395420727417256e-05,8.715563087913284e-05,0.000453596759183,0.9429777750491142,469.5889033065796,0.0003938702969689,2330.TW,1.0,34.0,-5.555555555555555,FY2023 guide,1.208428602557022,0.3059484577386781,1.2364534905010678,2022-12-31
2023-04-27,change,0.0007235338801488,-0.0002266561439136,8.564549695146545e-05,0.8130440352543489,354.94560574951174,0.0003319954530258,2303.TW,1.0,2.7,-9.999999999999996,FY2023 trimmed,0.7105485312972057,0.14145460449817,0.7602624900547268,2022-12-31
2023-05-10,change,0.0007029416032416,-0.0012216389507405,2.4665618226140977e-05,1.133047194158732,313.6440675720223,0.0012434082277427,GFS,1.0,2.3,-23.33333333333334,FY2023 further CUT (demand slow),1.3068574247656637,0.2881065267830122,1.36248149975333,2022-12-31
2023-05-12,stable,0.0054602620354209,-0.0027358417658009,6.142331315677877e-06,0.4627845239162338,286.62491033325205,0.0027491143170601,0981.HK,0.0,6.5,0.0,held,2.6069229525479822,0.4540179058187853,2.6794574500322,2022-12-31
2023-05-15,change,-3.395420727417256e-05,-0.0003056403247281,1.0171724555858104e-06,0.5936715916336982,290.02092338714647,0.0003073536835445,2330.TW,1.0,32.0,-5.88235294117647,FY2023 tighten to low end,1.208428602557022,0.3059484577386781,1.2364534905010678,2022-12-31
2023-07-27,stable,0.0003842648235393,0.0002850491569523,0.0005296786545634,0.9581379889773854,173.97608893051165,0.0002677716899996,2303.TW,0.0,2.7,0.0,held,0.7105485312972057,0.14145460449817,0.7602624900547268,2022-12-31
2023-08-09,stable,0.0007029442221314,-0.0007164229103043,0.0002377292705999,0.5497105357982904,255.68009268035897,0.0011488855522194,GFS,0.0,2.3,0.0,held,1.3068574247656637,0.2881065267830122,1.36248149975333,2022-12-31
2023-08-11,stable,0.0054602620354209,-8.941074861158228e-05,0.0004316871403957,0.1689967345124465,251.22251209259048,0.0026438218834842,0981.HK,0.0,6.5,0.0,held,2.6069229525479822,0.4540179058187853,2.6794574500322,2022-12-31
2023-08-15,stable,-5.712908055993329e-05,-0.0002682255510629,3.410291666495419e-06,0.6539841826364935,219.6323909545899,0.0002734401904334,2330.TW,0.0,32.0,0.0,held,1.208428602557022,0.3059484577386781,1.2364534905010678,2022-12-31
2023-10-26,stable,0.0003842648235393,0.0026069324207954,0.0022049599970416,0.7455165746708478,407.63612156524687,0.0003506946420436,2303.TW,0.0,2.7,0.0,held,0.7105485312972057,0.14145460449817,0.7602624900547268,2022-12-31
2023-11-08,stable,0.0007029442221314,-0.0002676365845009,0.0005430012406234,0.6605996562406713,219.3361124290468,0.0010896189084301,GFS,0.0,2.3,0.0,held,1.3068574247656637,0.2881065267830122,1.36248149975333,2022-12-31
2023-11-10,stable,0.0054602620354209,0.0180159461812043,0.0050163323706521,0.2434178901921014,233.7840988334656,0.0025919572341665,0981.HK,0.0,6.5,0.0,held,2.6069229525479822,0.4540179058187853,2.6794574500322,2022-12-31
2023-11-15,change,-3.395420727417256e-05,0.0001292005960607,0.0002437259121379,0.6194971207586739,200.50559567871096,0.0002642248194431,2330.TW,1.0,32.0,0.0,FY2023 reconfirm,1.208428602557022,0.3059484577386781,1.2364534905010678,2022-12-31
2024-02-07,change,0.0056803866210197,0.0086914407096747,0.0068676990909101,0.6189698109377556,170.56361096038836,0.0024039293221938,0981.HK,1.0,7.3,12.307692307692305,FY2024 guide ~$7.3bn,2.6069229525479822,0.4540179058187853,2.6794574500322,2022-12-31
2024-02-14,change,0.0007029416032416,-0.0010974722830195,3.198384743717026e-05,0.724530655767078,251.22251209259048,0.0011416165123666,GFS,1.0,0.7,-69.56521739130436,FY2024 guide ~$0.7bn (sharp CUT),1.375,0.2480187319884726,1.4356060606060606,2023-12-31
2024-02-29,change,0.0007235338801488,-3.45925667736697e-05,0.0002083173401505,0.8847759433065002,180.3649081970216,0.0002700390001069,2303.TW,1.0,3.3,22.222222222222207,FY2024 guide ~$3.3bn,1.127244885028288,0.1868478450258168,1.1753374870243964,2023-12-31
2024-03-01,change,-3.395420727417256e-05,-0.0002517842174684,2.103573454747231e-06,0.895549089956298,179.55998977661147,0.0002541331377882,2330.TW,1.0,30.0,-6.25,FY2024 guide,1.436299338707348,0.2788312156818104,1.469357726323448,2023-12-31
2024-04-25,stable,0.0003842648235393,-8.924347252822518e-05,0.0001971867566931,0.9512278391675114,255.04090852890025,0.0002965405559123,2303.TW,0.0,3.3,0.0,held,1.127244885028288,0.1868478450258168,1.1753374870243964,2023-12-31
2024-05-08,stable,0.0007029442221314,-0.0005664509837555,0.0002904500843047,0.6441248508938278,175.03288788757345,0.0010173730121506,GFS,0.0,0.7,0.0,held,1.375,0.2480187319884726,1.4356060606060606,2023-12-31
2024-05-10,stable,0.0054602620354209,-0.0016968818235817,0.0002211213009861,0.3257959035731446,161.03608935012835,0.0023755929386112,0981.HK,0.0,7.3,0.0,held,3.796966413353666,0.5074872855586038,3.878975284581654,2023-12-31
2024-05-16,stable,-5.712908055993329e-05,-0.0002359872065229,5.668721078543031e-06,0.8977981316495425,155.00249525070194,0.0002423012328933,2330.TW,0.0,30.0,0.0,held,1.436299338707348,0.2788312156818104,1.469357726323448,2023-12-31
2024-08-01,stable,0.0003842648235393,0.0041260120360978,0.0045076866880844,1.0182197716760173,267.6496199707035,0.0003010152260663,2303.TW,0.0,3.3,0.0,held,1.127244885028288,0.1868478450258168,1.1753374870243964,2023-12-31
2024-08-07,stable,0.0007029442221314,-0.0018269460316611,0.0001521707277787,0.9684227289954764,767.8440492614754,0.0019840785763883,GFS,0.0,0.7,0.0,held,1.375,0.2480187319884726,1.4356060606060606,2023-12-31
2024-08-09,stable,0.0054602620354209,0.0058908404349806,0.0023220055692998,0.2451764049778141,565.9641435607919,0.0035799141815166,0981.HK,0.0,7.3,0.0,held,3.796966413353666,0.5074872855586038,3.878975284581654,2023-12-31
2024-08-15,stable,-5.712908055993329e-05,-0.0002828501290835,2.7965750825469605e-05,2.528800253666692,262.11611729278593,0.0002939090297559,2330.TW,0.0,30.0,0.0,held,1.436299338707348,0.2788312156818104,1.469357726323448,2023-12-31
2024-11-01,stable,0.0003842648235393,0.0010640948104269,0.0010706372385211,0.7555174250814042,414.122515525818,0.0003529965801597,2303.TW,0.0,3.3,0.0,held,1.127244885028288,0.1868478450258168,1.1753374870243964,2023-12-31
2024-11-06,stable,0.0007029442221314,0.0133068371219371,0.0151569510664691,1.0294449479620134,419.8400906204224,0.0014165835879077,GFS,0.0,0.7,0.0,held,1.375,0.2480187319884726,1.4356060606060606,2023-12-31
