test_id,signal,target,outcome,n_obs,coef,hac_t,p_value,r2,control_coef,abs_t,bh_q,bonferroni_p,harvey_pass,bh_pass_5pct
T15,single_stock_leveraged,COIN_rv5,family_to_underlying_rv,943,0.005213938811578111,3.774704053082024,0.00016019773307368503,0.0791764689672676,0.181061376059365,3.774704053082024,0.005286525191431606,0.005286525191431606,True,True
T14,single_stock_leveraged,NVDA_rv5,family_to_underlying_rv,943,0.0018073600933633809,3.595448175261194,0.00032383359287689763,0.02557508155721877,0.07133116567749269,3.595448175261194,0.005343254282468811,0.010686508564937622,True,True
T32,single_stock_TSLA,TSLA_rv5,underlying_specific_rv,943,0.0016486919201437757,3.194233822410189,0.0014020250984983513,0.04394843155621131,0.007332290005688864,3.194233822410189,0.015422276083481864,0.04626682825044559,True,True
T17,single_stock_leveraged,GOOGL_rv5,family_to_underlying_rv,943,0.0006285349673120532,2.8293536977878064,0.004664211989734832,0.02590007411926487,0.05464269083090908,2.8293536977878064,0.03847974891531236,0.15391899566124945,False,True
T24,single_stock_COIN,COIN_rv5,underlying_specific_rv,924,0.0021016771433838614,2.6343743487741307,0.0084292496198238,0.07146638078039047,0.16255085702283056,2.6343743487741307,0.05563304749083707,0.27816523745418537,False,False
T20,single_stock_AAPL,AAPL_rv5,underlying_specific_rv,925,0.0003467801526129296,2.554157077693477,0.010644522414212746,0.09742935648577955,0.2615005031720708,2.554157077693477,0.0585448732781701,0.3512692396690206,False,False
T19,single_stock_leveraged,AMD_rv5,family_to_underlying_rv,943,0.0013085795179955113,2.130849370142159,0.03310155356813097,0.017788578540412603,0.10250236072321789,2.130849370142159,0.15605018110690314,1.0,False,False
T29,single_stock_MSFT,MSFT_left_loss5,underlying_specific_left_loss,905,0.004217987183968879,2.0206601498913965,0.043314957707059724,0.011318800023171982,-0.02586729839050636,2.0206601498913965,0.17867420054162136,1.0,False,False
T06,option_income,VVIX_chg5,index_or_vol_proxy,1296,-0.012335051223188741,-1.8377839905387805,0.06609424161683111,0.06387018275678169,-0.21971898127617934,1.8377839905387805,0.24234555259504742,1.0,False,False
T26,single_stock_GOOGL,GOOGL_rv5,underlying_specific_rv,905,0.0002092202554130632,1.7758587530084862,0.07575620090636687,0.013832143608353942,0.0672418853159217,1.7758587530084862,0.24999546299101066,1.0,False,False
T16,single_stock_leveraged,AAPL_rv5,family_to_underlying_rv,943,0.0003014257788698916,1.7108256429530089,0.08711330432891778,0.08536804638211526,0.28172396193402965,1.7108256429530089,0.26133991298675335,1.0,False,False
T25,single_stock_COIN,COIN_left_loss5,underlying_specific_left_loss,924,-0.009362766975778748,-1.618336089828001,0.10559018702811765,0.007054950719260322,-0.023224414795758073,1.618336089828001,0.29037301432732354,1.0,False,False
T09,defined_outcome,IWM_rv5,index_or_vol_proxy,1327,0.00017870120812612194,1.5212724491481957,0.12819148107449174,0.0753011264835185,0.24844155726681094,1.5212724491481957,0.31454423110138724,1.0,False,False
T03,option_income,IWM_rv5,index_or_vol_proxy,1327,0.00011573248633482515,1.4805526932732775,0.13872580939338514,0.07137823953467137,0.24534128686213305,1.4805526932732775,0.31454423110138724,1.0,False,False
