Date,option_income,defined_outcome,single_stock_leveraged,single_stock_AAPL,single_stock_AMD,single_stock_COIN,single_stock_GOOGL,single_stock_MSFT,single_stock_NVDA,single_stock_TSLA
2021-01-04,,,,,,,,,,
2021-01-05,,,,,,,,,,
2021-01-06,,,,,,,,,,
2021-01-07,,,,,,,,,,
2021-01-08,,,,,,,,,,
2021-01-11,,,,,,,,,,
2021-01-12,,,,,,,,,,
2021-01-13,,,,,,,,,,
2021-01-14,,,,,,,,,,
2021-01-15,,,,,,,,,,
2021-01-19,,,,,,,,,,
2021-01-20,,,,,,,,,,
2021-01-21,,,,,,,,,,
2021-01-22,,,,,,,,,,
2021-01-25,,,,,,,,,,
2021-01-26,,,,,,,,,,
2021-01-27,,,,,,,,,,
2021-01-28,,,,,,,,,,
2021-01-29,,,,,,,,,,
2021-02-01,,,,,,,,,,
2021-02-02,,,,,,,,,,
2021-02-03,,,,,,,,,,
2021-02-04,,,,,,,,,,
2021-02-05,,,,,,,,,,
2021-02-08,,,,,,,,,,
2021-02-09,,,,,,,,,,
2021-02-10,,,,,,,,,,
2021-02-11,,,,,,,,,,
2021-02-12,,,,,,,,,,
2021-02-16,,,,,,,,,,
2021-02-17,0.4211082829586404,-0.7402213916972648,,,,,,,,
2021-02-18,0.30042149448666206,-0.45095104498001737,,,,,,,,
2021-02-19,1.5277300155972353,-1.0741004397472496,,,,,,,,
2021-02-22,1.6261970342066523,0.1197323448809273,,,,,,,,
2021-02-23,2.173616049836676,-0.09706069791715088,,,,,,,,
2021-02-24,1.0307807152777897,-0.7424262086370497,,,,,,,,
2021-02-25,1.1496996517626406,-0.32227716985168936,,,,,,,,
2021-02-26,1.1210906397977356,0.3033372431056816,,,,,,,,
2021-03-01,0.5305317826501325,-0.08814703803077249,,,,,,,,
2021-03-02,1.0892754562217681,0.17263951856400941,,,,,,,,
2021-03-03,0.9692027295666025,-1.0852727785206464,,,,,,,,
2021-03-04,1.3460324979849456,0.13010599067808212,,,,,,,,
2021-03-05,1.0912586324733506,-0.06391175561833122,,,,,,,,
2021-03-08,0.7787959033052957,-0.6461022830466298,,,,,,,,
2021-03-09,0.43092144305873736,-0.582368047002808,,,,,,,,
2021-03-10,0.9973466093072227,-0.1170287823817611,,,,,,,,
2021-03-11,0.7208260068404321,-0.2814551688347865,,,,,,,,
2021-03-12,0.13815897309008304,0.32177557606586105,,,,,,,,
2021-03-15,0.5168138031619701,-0.2601541204893934,,,,,,,,
2021-03-16,0.7553916478956414,-0.4188341838932104,,,,,,,,
2021-03-17,0.35569103159632887,0.7159079574324586,,,,,,,,
2021-03-18,0.5169531526390903,-0.2139817668461265,,,,,,,,
2021-03-19,0.4237373211437346,-0.39454986206322323,,,,,,,,
2021-03-22,0.5259509840076267,-0.4413433080284885,,,,,,,,
2021-03-23,0.061810865194434815,0.020684697884847576,,,,,,,,
2021-03-24,0.3555451483295547,-0.30714957911249147,,,,,,,,
2021-03-25,0.46930447767924827,-0.7689777316306714,,,,,,,,
2021-03-26,0.07735471275398942,0.9160802317155918,,,,,,,,
2021-03-29,0.1921550154449363,0.08267487588730875,,,,,,,,
2021-03-30,0.13656770230600293,0.32822429709510803,,,,,,,,
2021-03-31,0.6743381708840811,1.5629567824098731,,,,,,,,
2021-04-01,0.29314891419297284,2.0882808328602094,,,,,,,,
2021-04-05,0.8480594081256502,0.48717024262677405,,,,,,,,
2021-04-06,0.2858536164749491,0.41342304094864674,,,,,,,,
2021-04-07,0.4991832611231835,-0.09754118597822702,,,,,,,,
2021-04-08,0.45782161573270236,-0.5558221203097778,,,,,,,,
2021-04-09,0.21171582927972774,-0.15534347702436374,,,,,,,,
2021-04-12,0.4711117890080325,-0.22227609231683867,,,,,,,,
2021-04-13,0.5230233905025979,0.615558748209911,,,,,,,,
2021-04-14,0.5259872186050659,0.7388065521917186,,,,,,,,
2021-04-15,0.4622020767246538,0.021654242382978934,,,,,,,,
2021-04-16,0.538437645765546,-0.0004993620162668323,,,,,,,,
2021-04-19,1.011790638058322,0.03840784137838138,,,,,,,,
2021-04-20,0.15018269877872117,-0.18707965507657223,,,,,,,,
2021-04-21,0.2725819208056911,0.37519059859101506,,,,,,,,
2021-04-22,0.33615815555501843,0.2357085410061787,,,,,,,,
2021-04-23,-0.17327028948476975,-0.4869452945731917,,,,,,,,
2021-04-26,0.1407903208393324,-0.0035876645388830675,,,,,,,,
2021-04-27,-0.1622728121857351,0.3392078276537525,,,,,,,,
2021-04-28,0.04606980374577239,0.41678100764068265,,,,,,,,
