horizon,total_variance_lift_p05,total_variance_lift_p50,total_variance_lift_p95,avg_abs_corr_delta_p95
0,-0.05332518699333294,-0.021985996273797326,0.13160072932487957,0.08930959279854589
1,-0.09207803892282596,-0.02447442010294304,0.20506686575864208,0.12099087207767611
2,-0.11806160863802817,-0.023380560946092144,0.2767773335318358,0.1501166386084837
3,-0.14165517258664617,-0.025358874387806263,0.33682473510018074,0.1858229670775996
4,-0.1659216898910205,-0.036594270511994986,0.36658033172508425,0.19973232070748395
5,-0.1837552218107874,-0.03567282426223045,0.42181269401333793,0.2240864042057825
6,-0.2018164417094347,-0.03302491416100434,0.5047396050891678,0.2395417297628954
7,-0.21878467400417045,-0.03360657134172429,0.5180959084301242,0.2516615607700035
8,-0.23552359213443794,-0.02840685305828461,0.5581496429678977,0.25880732756553787
9,-0.24422781880350214,-0.033419309945094566,0.570588762869734,0.26268483446674995
10,-0.26182595711745377,-0.03837473901838423,0.6222599893451821,0.26763760372298173
11,-0.27528843798280905,-0.03660728347557035,0.666983657368906,0.27373776808590794
12,-0.28458431492592806,-0.031768666619824915,0.7009681006232383,0.272429091646485
13,-0.2983236854010725,-0.035928585706173854,0.7492728903450374,0.28478457009541475
14,-0.3066705699598047,-0.03097539026200291,0.786631732879546,0.28809184909883706
15,-0.3186351301855174,-0.036434462590265226,0.8389912847466627,0.29540328732630244
16,-0.3320439936443581,-0.045487859970857025,0.8041656205401584,0.3006377573266508
17,-0.33815868127447807,-0.04361723936220141,0.95330747774233,0.2994557201179616
18,-0.34707306261425835,-0.04205125389074155,0.9749796269607034,0.3002736043003491
19,-0.35683428024199193,-0.04692998092156797,1.0140858236557806,0.30890161475750083
20,-0.3710455418310548,-0.041832695010186494,1.0630102266103534,0.31165259787179433
21,-0.39326743591410124,-0.04556437587851414,1.0628785969992707,0.31412862033187916
22,-0.39133595094588086,-0.043187727471201365,1.095947225180008,0.3185355392048084
23,-0.3877294617619729,-0.039457083856896724,1.0969688073934065,0.3215351850035402
24,-0.3866150330889409,-0.04007001595392007,1.177819542058701,0.32639890230580737
25,-0.4025631623737599,-0.04406801315311748,1.2075476708550439,0.32819503628362456
26,-0.4091026590816542,-0.028597812988907345,1.2244537266351059,0.34065836433228036
27,-0.4014657398800472,-0.039086451110513565,1.280049275691278,0.3445038364453377
28,-0.419012230204048,-0.04087471747711163,1.2637046597002222,0.3451232498243059
29,-0.4249781206503559,-0.03798193714769421,1.2570958456656827,0.3436613734324685
30,-0.4253139685451692,-0.047858966024014626,1.2729548592510223,0.3464940172577861
31,-0.4240767981905801,-0.03772615938374396,1.2313601556097613,0.347399411859969
32,-0.43246182240266823,-0.029127803398129426,1.2857165944223286,0.350912195657256
33,-0.4376174716051633,-0.0215186323273453,1.2648939184442398,0.3546520096913011
34,-0.4364897409766294,-0.02789667584544997,1.258598644718906,0.3550992392375593
35,-0.444719537926628,-0.018961476217804085,1.2583929241186018,0.35423660354846126
36,-0.45427781829697345,-0.011168665819966006,1.2557103429976004,0.3566698862542911
37,-0.4599608893515207,-0.010404328303706523,1.2618741285457848,0.35428957467918165
38,-0.45285218677441064,-0.006939042282276042,1.392996723323844,0.35765461133039833
39,-0.45871376459622015,-0.010162165273519319,1.4131014571816491,0.3586880939069401
40,-0.45147788996424426,-0.004977613409721082,1.462934660521175,0.36073141990857394
41,-0.45536696357387274,0.007111831022564741,1.459715776004869,0.36983760613703176
42,-0.4561301830286917,0.0034969226232062223,1.4533159940143956,0.36665883785774755
43,-0.4643540801841186,0.017470450277517147,1.4176200976332987,0.3753980162336479
44,-0.4737183023582936,0.011430888480464585,1.5903578082696157,0.37158825780004034
45,-0.48829842365849885,0.0010574136137664336,1.6416715409865756,0.3763594962896474
46,-0.4903625235885222,-0.0011960728575639012,1.741872816264725,0.37325881807293065
47,-0.49542308416255,-0.013908876387885627,1.7193476676261292,0.37339149630272633
48,-0.5007955298037354,-0.0042168526905690396,1.6917970894744974,0.37459946513863707
49,-0.5059813789845597,-0.02419194816578729,1.7618093956544099,0.37451017999045955
50,-0.51531473385319,-0.03273137458365827,1.7740745931032018,0.37436741881077695
51,-0.5223011163729597,-0.0205519447437571,1.752259056892322,0.37334306958808894
52,-0.5329708208360044,-0.011310392681909254,1.76545243879412,0.3687869183468733
53,-0.5228179064344023,-0.012283875582735748,1.8468043499076343,0.3729369021529273
54,-0.5288753625379412,-0.032448769124003185,1.8673900521189266,0.37097539966047194
55,-0.5461403079513124,-0.01842884421258323,1.847400974054968,0.3739269041193152
56,-0.5352970017992544,-0.025653011517544955,1.8799949692322908,0.3866802120799226
57,-0.5356175512025751,-0.03664747670853874,1.8163145133509206,0.3740531349748246
58,-0.5415064884025651,-0.04967048612550046,1.763814934339698,0.38751488580018406
59,-0.5532188149596118,-0.0493778229845217,1.7359612843965624,0.3921784962055561
60,-0.555642188159177,-0.05470965120050314,1.7678022489092517,0.392424902291356
