horizon,response_date,total_variance_lift,avg_abs_corr_delta,mean_corr_delta,SPY_vol_lift,TLT_vol_lift,UUP_vol_lift,GLD_vol_lift,HYG_vol_lift,event,trading_date
0,2018-10-11,0.5444096109855006,0.08072775375773777,0.021405254185774946,1.2378584892017144,-0.0254156910020501,-0.025839626533242344,-0.025092482933485094,0.31891739808376185,2018Q4_equity_credit,2018-10-10
1,2018-10-12,1.174105655576089,0.16954841469167087,-0.036093510997089594,1.5800804311722154,0.04185881642409095,0.04359221037768868,0.40819088262668846,0.28286952423093936,2018Q4_equity_credit,2018-10-10
2,2018-10-15,1.188020524983096,0.21897970084680524,-0.038816091999615096,1.6466908528089106,0.018031786767086944,0.04318452217910074,0.37928054751296925,0.40793024548123435,2018Q4_equity_credit,2018-10-10
3,2018-10-16,1.101937950523054,0.22316822723336668,-0.03987705491448087,1.590241722399559,-0.012854133040910876,0.029170889343949735,0.3650562871800431,0.3678564801329154,2018Q4_equity_credit,2018-10-10
4,2018-10-17,1.2433628578152898,0.21450729951796937,-0.029878513333214528,1.8539889966502021,-0.03938439655475212,-0.0016763962923818099,0.32537471038713406,0.39220031746735207,2018Q4_equity_credit,2018-10-10
5,2018-10-18,1.1447926129819388,0.1989270167548209,-0.03976289079717863,1.7670675156353939,-0.043937769572928054,0.05186253263867591,0.28500337339766224,0.3723998411701741,2018Q4_equity_credit,2018-10-10
6,2018-10-19,1.152999231506068,0.1762146532737617,-0.05668820086635962,1.8334943103225618,-0.07297538214635357,0.07716881249290286,0.24671231581293096,0.4312249145918996,2018Q4_equity_credit,2018-10-10
7,2018-10-22,1.0292561449337079,0.17454340868393076,-0.05615478945537461,1.747385489721847,-0.0976869017191282,0.05615492898898822,0.20915429927959783,0.3895656535830039,2018Q4_equity_credit,2018-10-10
8,2018-10-23,0.9301826165126199,0.16787244516728905,-0.05770929394899195,1.6785753744392578,-0.12386226743875073,0.062411982811231725,0.17715087706944188,0.34850750324365065,2018Q4_equity_credit,2018-10-10
9,2018-10-24,0.8548221672966825,0.17787453100950568,-0.06149247368489098,1.616606545541527,-0.14281160567949303,0.03769110010934229,0.16648285008462715,0.31268862960799204,2018Q4_equity_credit,2018-10-10
10,2018-10-25,1.3244353150189627,0.1898613408281294,-0.1066441112904993,2.1867761847410345,-0.12519842366658152,0.08562713785114351,0.13495943827324064,0.4146873608086987,2018Q4_equity_credit,2018-10-10
11,2018-10-26,1.3770684480288908,0.20009390510391803,-0.10590914618469491,2.2846047841978754,-0.1383021811756131,0.07505337714323423,0.10420774213611006,0.3942720149176415,2018Q4_equity_credit,2018-10-10
12,2018-10-29,1.4477309551660542,0.2276990049737982,-0.11176272921693453,2.3731970136447496,-0.1364391073168334,0.06501832664944684,0.07850498399519235,0.46338297147571295,2018Q4_equity_credit,2018-10-10
13,2018-10-30,1.333724224747117,0.22457041554851614,-0.11132509104729862,2.288927031058856,-0.15872248012721557,0.055498390405108955,0.05818917597900852,0.42372433656600883,2018Q4_equity_credit,2018-10-10
14,2018-10-31,1.3496743474216255,0.25852650821901085,-0.11321156383452632,2.3193727375362396,-0.16453388199899643,0.07917539851559119,0.04176680873937122,0.4116306926755744,2018Q4_equity_credit,2018-10-10
15,2018-11-01,1.302306174985489,0.25991166805338606,-0.11431594110872094,2.2864414460257874,-0.16913767699234494,0.046761059304519126,0.03625010201987866,0.3686267349988084,2018Q4_equity_credit,2018-10-10
16,2018-11-02,1.350995374326176,0.22284090412717522,-0.11450431199304849,2.254684687333097,-0.19374680526047539,0.14507939538966563,0.13382398531937212,0.44410037718273054,2018Q4_equity_credit,2018-10-10
17,2018-11-05,1.3183545394285954,0.20311849218012518,-0.11175869238657647,2.177429148354116,-0.09587044427342173,0.1259305392712664,0.09930579307087051,0.40205276837037274,2018Q4_equity_credit,2018-10-10
18,2018-11-06,1.2079172969661855,0.19830365823091758,-0.11160892586242759,2.0998755179570914,-0.1119270804534952,0.09207703028335246,0.07039455471995493,0.36326427698416763,2018Q4_equity_credit,2018-10-10
19,2018-11-07,1.1086235006444483,0.19988832374921028,-0.11719893834639158,2.031339739713164,-0.13868485490344196,0.07530532259213629,0.04434466107688739,0.36095432659458515,2018Q4_equity_credit,2018-10-10
20,2018-11-08,1.2496327995926841,0.1955538293075226,-0.11313573506778325,2.22503728347853,-0.1635207535439661,0.05426067041685401,0.01253592861168995,0.5029255601266616,2018Q4_equity_credit,2018-10-10
21,2018-11-09,1.1411126366301048,0.1933171583320327,-0.11337977693180905,2.128861923342591,-0.18899690824911075,0.12469244385258182,-0.014305712060539988,0.4893124105984703,2018Q4_equity_credit,2018-10-10
22,2018-11-12,1.1855178905621258,0.19445947735232083,-0.12186195648473415,2.0953197726753503,-0.16859414138220807,0.10150281404457662,0.06263737773651257,0.607494161937358,2018Q4_equity_credit,2018-10-10
23,2018-11-13,1.365341925183242,0.2744230656184841,-0.1416841204344848,2.225556755803017,-0.16000474639056628,0.28396721136460323,0.07189082747198139,0.738328983871942,2018Q4_equity_credit,2018-10-10
24,2018-11-14,1.233736219353693,0.2668930800988111,-0.13403863973576163,2.129495021780485,-0.18528917603693928,0.2755494521018955,0.03933754210413909,0.6981695283872302,2018Q4_equity_credit,2018-10-10
25,2018-11-15,1.1715595224459339,0.2579593367559211,-0.1383918650034754,2.0644816627860325,-0.20979387167461805,0.26779991273352777,0.0631073585107953,0.6635813051656687,2018Q4_equity_credit,2018-10-10
26,2018-11-16,1.1041878770629903,0.2480266484237898,-0.1339560487593622,2.0415715985532263,-0.23370146093685107,0.2431985291170322,0.031775330345645614,0.613176954620777,2018Q4_equity_credit,2018-10-10
27,2018-11-19,1.0644375591305564,0.20661868132616137,-0.13934109168931902,1.9534037656494463,-0.22805949987433416,0.3424624330685373,0.04541097905632485,0.6079664321050329,2018Q4_equity_credit,2018-10-10
28,2018-11-20,1.110267941396554,0.20639047776644737,-0.139222388293694,2.0565996731536993,-0.24476695847075713,0.30306447737465136,0.013719659012938257,0.6068599472645204,2018Q4_equity_credit,2018-10-10
29,2018-11-21,1.1944894772902241,0.21738204680153986,-0.14626321062687084,2.18642298467797,-0.2676658592550828,0.3267654116095755,-0.017162325587205984,0.6061219390667245,2018Q4_equity_credit,2018-10-10
30,2018-11-23,1.0847710072275456,0.2113375144370358,-0.14402989475708874,2.096703052313216,-0.28986377392594853,0.2863467922752849,-0.04471305874229592,0.6799381063920575,2018Q4_equity_credit,2018-10-10
31,2018-11-26,1.0041726009236798,0.2144664627018305,-0.14816936298716796,2.031608270099814,-0.3104564650431454,0.2567936575593608,-0.07326302942693974,0.7691161553570249,2018Q4_equity_credit,2018-10-10
32,2018-11-27,1.0423013710349807,0.20665383516507574,-0.14304749278620482,2.105973774100492,-0.32643865367927993,0.22832680048705511,-0.1003064920966591,0.8124871209475828,2018Q4_equity_credit,2018-10-10
33,2018-11-28,0.950417699766765,0.21173849699915323,-0.14542346760758917,2.01870548241582,-0.34566777045690933,0.21042735552137182,-0.09361701790283283,0.7582949080357813,2018Q4_equity_credit,2018-10-10
34,2018-11-29,1.1897019412624243,0.27057337264719844,-0.16145894796081395,2.2560836281188412,-0.3413037014688808,0.2406781150922055,-0.10789854124818454,0.9917688432916951,2018Q4_equity_credit,2018-10-10
35,2018-11-30,1.0760598085526887,0.26452023549944226,-0.15995220806833477,2.1598671541877925,-0.3456667363892204,0.20928444376477362,-0.12562718997081046,0.931319614002529,2018Q4_equity_credit,2018-10-10
36,2018-12-03,0.9915116166815305,0.2662136935524497,-0.1545893283106318,2.0871976161371832,-0.35125529936950517,0.21281909675724453,-0.14928205792606475,0.88949129075675,2018Q4_equity_credit,2018-10-10
37,2018-12-04,1.0514541930064265,0.22281594215936287,-0.071597707979273,2.10465710936416,-0.32056327157781617,0.1762794132574501,-0.11932450933886452,1.0232805468222623,2018Q4_equity_credit,2018-10-10
38,2018-12-06,1.7183021276037636,0.25345073214292113,-0.12766253166003844,2.650187965060378,-0.1070045558084518,0.15092447929171238,-0.1102460469660489,1.1091983591141426,2018Q4_equity_credit,2018-10-10
39,2018-12-07,1.568635048757824,0.25140484609805586,-0.1302756167187909,2.5402679594961897,-0.12675278530213896,0.11629373569367418,-0.13732293157912911,1.0905640786348845,2018Q4_equity_credit,2018-10-10
40,2018-12-10,1.7614720180851386,0.256893902611663,-0.14192388471273074,2.735428492573634,-0.15066627923073983,0.10393047345249151,-0.09998143379785818,1.0410720750745965,2018Q4_equity_credit,2018-10-10
41,2018-12-11,1.637690268977284,0.25622531327956255,-0.12877336238965525,2.6235805645501893,-0.16299764684986984,0.19311601665999722,-0.11574108859023435,0.9809439978140921,2018Q4_equity_credit,2018-10-10
42,2018-12-12,1.486017271848762,0.25212855651412264,-0.12719956967956356,2.5132205307166307,-0.18847316071577114,0.1767816897499921,-0.1412809607790494,0.9337410484577731,2018Q4_equity_credit,2018-10-10
43,2018-12-13,1.3780248632706562,0.26108817143960045,-0.1323862673012227,2.420714290061667,-0.19663858425820824,0.18200779385348098,-0.16286289213309124,0.9179122566762872,2018Q4_equity_credit,2018-10-10
44,2018-12-14,1.244316930697038,0.2586491124104241,-0.13442188362825253,2.3165736469980884,-0.2163763341334144,0.14599907471452656,-0.183287522210848,0.8833006922713331,2018Q4_equity_credit,2018-10-10
45,2018-12-17,1.333393250692902,0.266236255240642,-0.13998631007717402,2.42119849800259,-0.22989062877220168,0.1532264455045833,-0.19118224227767966,0.8993269387810361,2018Q4_equity_credit,2018-10-10
46,2018-12-18,1.4805669674255464,0.28094651778738744,-0.15612586364341952,2.541872126459176,-0.22414568574563865,0.138787173446967,-0.166060976450507,1.012249524596864,2018Q4_equity_credit,2018-10-10
47,2018-12-19,1.3569232559315951,0.28188215595190297,-0.1555741501504966,2.4346612251344344,-0.2171542458988095,0.10452815417108496,-0.18559244096730798,0.9639728969394428,2018Q4_equity_credit,2018-10-10
48,2018-12-20,1.5004473655443045,0.28398519690794444,-0.1668982813986312,2.4617505329711893,-0.10377220335520454,0.07132622822783552,-0.17130645925163224,1.212973947688683,2018Q4_equity_credit,2018-10-10
49,2018-12-21,1.7087065503484822,0.35198707580138683,-0.16374567541242824,2.5104200298375297,-0.1210928801871084,0.20998948039632337,0.020637827647634,1.4072800689422738,2018Q4_equity_credit,2018-10-10
50,2018-12-24,1.8290623224922338,0.3039307125611218,-0.17199796594410624,2.6424998008384954,-0.14784659701298708,0.28641308673811205,0.005755131985256234,1.4146934774775892,2018Q4_equity_credit,2018-10-10
