rep,pseudo_event_date,peak_total_variance_lift,avg20_total_variance_lift,peak_avg_abs_corr_delta
0,2017-08-01,0.610975786567306,0.12454580256161785,0.304637709710179
1,2024-01-25,0.37961101321699275,0.10448161870777502,0.24084055330860982
2,2023-04-28,0.2679790841265308,0.04887010938282497,0.33526529535795346
3,2021-03-30,0.0752730484155597,-0.11879482081004535,0.1999951790899442
4,2021-03-17,-0.015671261890857213,-0.16841790620370073,0.2180652730272059
5,2024-08-05,0.2044716792647998,0.020453132099067843,0.1778469266319834
6,2017-07-24,0.5122672599233422,0.010818489179781999,0.3366674139268767
7,2023-08-04,0.6869401231445411,-0.08207365764990777,0.3659193500735628
8,2018-04-12,-0.003646467012430765,-0.25445462098790983,0.296388959679736
9,2017-08-10,0.6144903815730431,0.24168252777628202,0.23651296841325734
10,2021-10-12,0.5019366621672963,0.0006226514030723722,0.3359841030374808
11,2026-01-27,2.8915110232540786,1.9541081754193577,0.37900815089334794
12,2023-10-30,0.13936878193090396,-0.0010708866535003977,0.32600613574646276
13,2023-12-26,-0.03240204405667646,-0.21361990786592036,0.16712224184877733
14,2023-09-19,1.5853924923610379,0.5726392430407934,0.28909755929476777
15,2024-02-22,0.3610367853286831,-0.0592926820032759,0.35305050854439146
16,2021-09-14,1.0051949693902453,0.3448172941295161,0.4105006302835024
17,2017-10-25,0.3319874242800982,0.06937992602027579,0.3982084993648853
18,2024-06-24,0.5379696951332695,-0.08764462243759152,0.40002688346282333
19,2021-04-26,0.22195600097970392,-0.11329134509381443,0.2823016595908682
20,2021-08-16,0.18897793239738103,-0.18413581042504654,0.24299396322020508
21,2020-10-26,1.0698633708068863,0.5246724068278226,0.257622216047536
22,2018-02-28,0.05254898930987251,-0.16374771361833151,0.2869450569235673
23,2025-10-07,2.6745302218142206,1.3552070838837476,0.272903664709053
24,2024-02-12,0.23036510937636856,-0.0788162966444184,0.2959061047207322
25,2023-04-04,-0.0034830256751616773,-0.1992138127467284,0.2045978803638489
26,2021-01-06,0.9367365629202635,0.25802396502973096,0.27808899580382457
27,2024-05-14,0.824517149087113,0.0806072445975735,0.43329682452124774
28,2021-11-23,0.705477445895073,0.330369568193071,0.32059645556197225
29,2021-04-09,-0.012963783122866945,-0.21727265844411864,0.1801324528210105
30,2021-04-26,0.22195600097970392,-0.11329134509381443,0.2823016595908682
31,2018-06-08,-0.051992972923703085,-0.16346160484018235,0.2249445753221881
32,2017-08-07,0.5800465513518718,0.1547968673630666,0.24528630859173628
33,2021-12-14,1.1048750473616384,-0.09512169861798687,0.44736301683634216
34,2024-10-09,0.8477176134562769,-0.038974588959422685,0.28654709926948657
35,2017-06-05,0.07033073268192247,-0.0864576559757258,0.27770952074357663
36,2024-08-05,0.2044716792647998,0.020453132099067843,0.1778469266319834
