rep,pseudo_event_date,peak_total_variance_lift,avg20_total_variance_lift,peak_avg_abs_corr_delta
37,2024-05-24,0.7482886236202677,0.10887097218423539,0.4084271386328678
38,2019-06-28,1.2497903105452361,0.08442109905403099,0.3903753527455954
39,2023-03-08,0.41181859436276635,0.24042405896707716,0.4432750522312065
40,2018-01-19,2.2123687751570436,0.9605851557764524,0.25961308711890957
41,2023-12-18,-0.04208314000364588,-0.25385171460675793,0.16889324720089033
42,2023-08-11,0.7560982463130594,-0.11005888462581445,0.3358378429752661
43,2020-09-18,0.4923982712918189,-0.027193510071294242,0.22384700745150518
44,2017-06-13,0.33255381890824753,0.056738519365864916,0.2861241513982648
45,2026-01-15,4.32202298273372,2.1380076701282937,0.3359214501372978
46,2021-04-14,0.10820816812439649,-0.15582721944985578,0.2315705134025277
47,2024-10-21,1.0337191361487443,0.4028887817493379,0.2983997186000952
48,2023-06-21,0.08199047685800753,-0.09624590435067833,0.2848098697147333
49,2024-02-05,0.09490529416336146,-0.13115172804072053,0.2934499703873343
50,2023-12-21,-0.0189539708126234,-0.23461019137028866,0.15693211501664442
51,2018-03-27,0.06975732989200156,-0.07000049916428419,0.2660624223011299
52,2020-10-09,0.5757291464698047,-0.05779911285191193,0.2688080442992116
53,2021-06-01,0.6682663264614526,0.1833032947960262,0.3684430733725069
54,2021-08-10,0.16000094197904624,-0.17039542625777515,0.23623886871469274
55,2017-04-20,0.19252746758924033,-0.03210878026077092,0.2855483566821909
56,2021-11-26,0.6493864992429712,0.3074093800214617,0.33619981219420125
57,2017-12-22,2.4774372738907235,0.019982726564368475,0.34443484025095095
58,2023-11-14,0.14269907201309695,-0.07274423014772233,0.35755862587175613
59,2023-07-03,0.14116404261843796,-0.08514892938999888,0.2937680637010828
60,2024-12-26,0.10300535541525857,-0.14188020455294753,0.3915515502600153
61,2023-11-17,-0.03337569628437631,-0.1613737809132994,0.2948710817875617
62,2020-10-15,0.6280801440129884,0.06607015075600609,0.32958518166454054
63,2026-01-08,3.6683677492307423,1.017551153255478,0.3394549102927364
64,2021-01-26,0.6772149350914025,0.03894833579997344,0.2685794544723108
65,2019-10-16,-0.04990220803716172,-0.2511983970729757,0.2716092065142869
66,2024-11-15,0.08395996736663336,-0.11686126623066165,0.38474982882615605
67,2020-10-23,0.9712747740357803,0.4305810163218177,0.2626170799067806
68,2017-07-03,0.3919463212803673,-0.024794505103348734,0.3303137532285756
69,2021-06-08,0.5861549980404115,0.16696649756718754,0.4351811294761698
70,2024-03-14,0.6723156278135081,-0.004698532200794044,0.23925418234530116
71,2018-03-15,0.42581481963858336,0.2240456279946191,0.21736013742089977
72,2021-05-21,0.3053492376616045,-0.14173145826032535,0.38950402436005294
73,2017-10-30,0.2474098947781349,-0.0026607852506454663,0.281440452592778
74,2023-07-12,0.4006602285342229,0.08570965482705398,0.27861628833245666
75,2021-06-21,0.10232869703383352,-0.16141506657831434,0.3018243667924171
76,2019-10-25,0.11860530027641736,-0.07235264911872044,0.25632825867913356
77,2018-06-07,-0.02136729573360474,-0.1725645909849946,0.22818401800410446
78,2022-01-06,1.3012156802315071,0.0035781746914183643,0.42967981689955836
79,2023-06-02,0.09803971966151015,-0.08244239795190922,0.3465860461217095
80,2025-11-05,1.8816480733962,-0.19234630653533896,0.38695063033645594
81,2021-03-25,0.021491765352314562,-0.12132804480111403,0.18571081728684535
82,2018-01-09,2.6340186796768603,0.40907834844615026,0.29289034661904506
83,2024-06-06,0.7019403473795041,0.10026986555715152,0.39590082565609397
84,2023-03-03,0.6399241575422709,0.4098789958947634,0.38303927860157916
85,2023-08-10,0.7754836868191033,-0.09019532559109099,0.33153360523754527
86,2017-08-17,0.38220960573706075,0.13174148958318818,0.18548118571708172
87,2019-09-17,-0.04927052855769731,-0.17365186768471383,0.1655693077773684
88,2024-01-11,0.1347883220723305,-0.06070470213546898,0.2808019452620451
89,2024-06-05,0.745706164038634,0.12767300784592622,0.4280028854921108
90,2021-03-22,-0.021989184702824294,-0.15537520723088033,0.17055207452995702
91,2024-04-04,0.7502905081780531,0.3570753662984862,0.23561942369948072
92,2024-06-27,0.6691796720975531,-0.0007585023594994482,0.3881598422711161
93,2020-12-02,0.07334103822829796,-0.2696701120594557,0.248693886422378
94,2024-10-31,1.3010004987641004,0.9336510862294729,0.31400974622638644
95,2019-07-25,1.1801883361280274,0.5510584983717539,0.4150852314200503
96,2018-07-06,0.02345600186647201,-0.06817791687363473,0.23031256789220583
97,2023-07-03,0.14116404261843796,-0.08514892938999888,0.2937680637010828
98,2023-03-20,0.0223985190070497,-0.15525435702182552,0.1278246708684961
99,2017-11-20,2.378637648428657,-0.014628552399945179,0.5207507715253398
100,2024-06-06,0.7019403473795041,0.10026986555715152,0.39590082565609397
101,2018-04-09,-0.049064987488438905,-0.2635743891847145,0.3264654018265144
102,2024-04-04,0.7502905081780531,0.3570753662984862,0.23561942369948072
103,2017-01-27,-0.030477929311558905,-0.17468286680341583,0.28154305757853276
104,2024-03-18,0.6853449340242113,0.047527230176282485,0.2581087991288401
105,2024-02-23,0.27317809185639996,-0.13143224671774276,0.336695777537298
106,2024-02-08,0.11257750338851324,-0.1503297212879175,0.30342912105040626
107,2023-05-22,-0.05053473926161278,-0.13628872901479705,0.4621461223063993
108,2021-06-11,0.7515684361317319,0.3112517013977401,0.418212165488048
109,2023-08-22,1.2623625204353224,0.028391113229863027,0.32466725100397836
110,2019-07-01,1.3639859943527965,0.1356514201309606,0.3939289926153499
111,2024-02-09,0.17331409870962955,-0.11447388221447508,0.30433380086623474
112,2021-12-16,1.1483066043232406,-0.09663795095184655,0.46395024816402886
113,2021-05-13,0.2538178728845024,-0.15458325603626136,0.36219657396572746
114,2021-08-26,0.44792665744339377,0.019721315124219565,0.3095893909352393
115,2022-01-14,1.6261399676713442,0.22479485003949526,0.41617079855404926
116,2017-04-05,0.18805209209277285,-0.03664980846783202,0.26352798531198884
117,2017-11-20,2.378637648428657,-0.014628552399945179,0.5207507715253398
118,2019-04-18,0.8303624728269745,-0.03917991045467889,0.25087090051452177
119,2017-09-26,0.1255311623997457,-0.14437693591292056,0.21200549766487967
120,2021-03-31,0.05988195304328103,-0.14878866830117646,0.20705233061737646
121,2023-05-31,0.08510689139058591,-0.07776766400332123,0.3921408491684247
122,2023-04-28,0.2679790841265308,0.04887010938282497,0.33526529535795346
123,2021-06-10,0.6991629988212693,0.26444226885419625,0.4088584794526697
124,2024-07-29,0.5452808488691228,0.30321884775092545,0.33678550226063625
125,2022-01-07,1.362395652228222,0.03627710236716848,0.4196758783868849
126,2017-07-10,0.23540422637483438,-0.17951403760888449,0.33014102000582235
127,2024-01-04,0.014968729110921952,-0.15697101024223223,0.2744404644772374
128,2022-01-28,1.1415853730514733,0.12447297585486192,0.4117868479612584
129,2023-03-15,0.12688360252912467,-0.029197008104810095,0.2154350019410743
130,2022-01-07,1.362395652228222,0.03627710236716848,0.4196758783868849
131,2021-12-13,1.1097660296557268,-0.08409800785153236,0.4679897144656907
132,2017-08-03,0.7474152531474703,0.24472706944783743,0.3177471634297132
133,2021-12-23,1.2591876546624698,-0.08164050348791815,0.4305857990021737
134,2024-03-13,0.6096716568152329,-0.058195688554426396,0.24373766095661872
135,2019-08-28,-0.035672474821767164,-0.15629477982778506,0.2786086758918888
136,2022-12-30,0.048431180840604826,-0.09918579807440013,0.4737277536879237
137,2017-03-22,-0.04770583663354577,-0.23154019857868838,0.3167385416600853
138,2019-12-04,3.359296079532263,-0.15052926138709988,0.3569492663706054
139,2021-03-24,-0.02557186362669417,-0.14990405500201284,0.17855221193428186
140,2026-02-12,0.0335329930958006,-0.21146949119375247,0.39941990251391274
141,2018-05-10,0.05591976611358662,-0.06291827530862465,0.2892182538013615
142,2019-06-28,1.2497903105452361,0.08442109905403099,0.3903753527455954
143,2021-01-20,0.5721312678698447,-0.00814630045464552,0.28856693789384075
144,2026-03-06,0.18373030324866635,-0.03662486115256159,0.44585537555417865
145,2024-07-24,0.7533551055461747,0.44105752794073566,0.3496523178913459
146,2017-03-30,0.10628658639376143,-0.09010214561630463,0.28441576910672034
147,2018-06-22,0.026415090674003494,-0.03588378191663043,0.2823739088822691
148,2024-05-10,0.6865771677503838,-0.009895687785341535,0.40755932356148217
149,2017-05-22,-0.03407167622096574,-0.2000055987073234,0.33858362643120576
150,2024-07-29,0.5452808488691228,0.30321884775092545,0.33678550226063625
151,2019-07-10,1.0595497509218057,0.06008009897586349,0.40502424718237384
152,2024-12-13,0.25254649112799177,0.03223859128816547,0.2740063572527183
153,2019-08-06,0.3433604232912737,0.16533286094242716,0.2660812127940679
154,2021-03-19,-0.04703370450484712,-0.18168299774500965,0.17458832148498388
155,2023-05-15,-0.0357533729228009,-0.15606996499252956,0.46026120831787154
156,2017-10-20,0.361585128750036,0.055085276994238985,0.3468919876519522
157,2021-12-20,1.2168115323484816,-0.09416535983938026,0.4442701924572745
158,2021-08-25,0.42281678748468576,-0.011340989111449942,0.30875748074953374
159,2024-02-16,0.19574214778472432,-0.14561503243884621,0.3848759350983541
160,2026-03-13,0.3733043419892925,0.12496771532239484,0.40641807316255907
161,2023-05-19,-0.029311720878093306,-0.14947851543174262,0.45561037895062145
162,2021-01-21,0.5057733631460544,-0.05666707338865285,0.2661072878129308
163,2021-01-14,0.4773111890684085,-0.05787048170555069,0.3020812959693985
164,2021-02-10,0.5546158881312611,0.19029637137021146,0.3192898281498199
165,2024-04-25,0.23465228095883428,-0.07481387511068885,0.27287298293810885
166,2019-10-07,-0.0013198264496978585,-0.1866851949007912,0.19128338658007998
167,2018-01-24,2.426037574137694,1.381921945735129,0.2404354440109248
168,2019-11-05,0.16404233546451263,-0.10797718923409799,0.2526682975954976
169,2017-03-03,0.17434018087057934,-0.012003964860653905,0.36055991724641345
170,2017-09-07,0.17967165942133412,-0.00899638659303376,0.18499110275498418
171,2017-08-02,0.6497913162961668,0.16078575624965788,0.3160386614809182
172,2024-01-19,0.21224347523453058,-0.030297826114447615,0.2756888234624829
173,2023-09-29,0.9066514535757197,0.45825202210835386,0.2896102922247616
174,2023-08-03,0.8437977320568948,0.008886550364402536,0.3782421757507958
175,2021-05-20,0.32098778065482336,-0.14616373872719182,0.35347932444626845
176,2023-09-18,1.491983707952968,0.4585627749702143,0.28659120015362155
177,2018-01-10,2.390529697026636,0.42850107337227755,0.2703672680547592
178,2024-11-06,0.8654388641388195,0.6695787819044895,0.3403150578322402
179,2021-08-17,0.25076546241680653,-0.15080104207711967,0.2856653631964858
180,2025-10-31,-0.05314639791760278,-0.22592232681818936,0.3809691403715506
181,2017-12-19,2.586572638727422,0.04687630854287598,0.4086942028046712
182,2021-08-09,0.20634687015713182,-0.12575106598407612,0.23912223201431898
183,2023-08-02,0.9238973252263134,0.05504500052783809,0.3523947996952551
184,2021-08-04,0.4571460236389824,0.07229305508782059,0.3104264858766295
185,2021-04-15,0.16596906230126818,-0.11563458414801883,0.2277749493563121
186,2018-01-23,2.3380301807439983,1.2309750440153788,0.2517940874697853
187,2020-11-17,-0.04847845369861681,-0.22042345952171766,0.21333379351814719
188,2018-07-05,0.017733319505202294,-0.06644759155977623,0.2642789318606047
189,2019-08-23,0.1820511958507749,0.0038044198824193657,0.23284923968580545
190,2023-07-05,0.2006182465678945,-0.03478594135319919,0.2958843017880906
191,2023-03-06,0.4462769764149286,0.2530347532679267,0.4232184347595364
192,2023-01-11,0.002780372038993395,-0.13552111121910154,0.4763763618399136
193,2020-10-06,0.5232698994802154,-0.10740515544902236,0.25652380124869706
194,2025-12-19,5.919708207059966,0.3686004566107668,0.33073931632831904
195,2017-07-27,0.505117382302805,0.027069790720242765,0.3207509469348935
196,2019-11-22,0.3454193212870955,-0.033732618619847964,0.258531114126802
197,2017-10-03,-0.05556232926811522,-0.22571770477212236,0.23655493448092968
198,2019-11-14,0.1262133517386197,-0.15599375418970943,0.24578749402250502
199,2025-12-24,5.272997159078455,0.33609856306967484,0.3391206950934924
200,2020-10-15,0.6280801440129884,0.06607015075600609,0.32958518166454054
201,2024-11-22,0.25122969197816714,0.010549548220504933,0.3551832572216484
202,2021-08-03,0.4032526781704968,0.0372700071479467,0.31915166282169094
203,2023-08-09,0.7101134983119253,-0.11532901039229278,0.3290035623927262
204,2021-05-11,0.4559512762265727,0.004307250323216512,0.2662219460054282
205,2019-06-05,1.0248897407388742,-0.09121322162010885,0.35827831921968295
206,2024-01-03,-0.009217112434968477,-0.17535611703358253,0.24637901013430116
207,2026-01-12,4.032540493131556,1.5058623452076998,0.3316429917023449
208,2019-05-30,2.0472439860496543,0.3237654096670229,0.3580661663646475
209,2024-02-06,0.039223365565118185,-0.1864092817883559,0.2999008930442614
210,2019-05-24,1.7556670412112747,0.18743507532433332,0.37965145376086096
211,2023-09-18,1.491983707952968,0.4585627749702143,0.28659120015362155
212,2024-02-29,0.4789601004675266,-0.0383984711197632,0.30861005590947777
213,2021-04-22,0.18376266878484682,-0.1290801208241088,0.26122712099891715
214,2023-10-31,0.17159492255131803,0.020175039945783502,0.32902964286893666
215,2019-06-19,1.6325888635388353,0.2609927634498953,0.2787607468375208
216,2017-07-10,0.23540422637483438,-0.17951403760888449,0.33014102000582235
217,2017-08-16,0.3583501431818108,0.10302097046087828,0.1868013590955458
218,2021-04-16,0.048784978275292046,-0.2103358276671209,0.25350019671128876
219,2024-11-11,0.05852714240737655,-0.08681610140129269,0.41167155316549353
220,2017-10-24,0.3055618939111231,0.03414268760862185,0.39557480022095237
221,2021-05-06,0.5886397690597629,0.11199637032897455,0.26290983986506034
222,2023-08-18,1.0554956372640247,-0.0031579215624375173,0.32514212528335745
223,2018-04-13,-0.048293401164526295,-0.2733557797849904,0.3136596795641174
224,2023-09-27,0.8333210764930132,0.3392437055658508,0.3219377540612974
225,2019-09-03,0.09854791728296663,-0.07532966126241959,0.26851536668614645
226,2024-04-12,0.2978872844842204,0.04635460975803144,0.17836093019586516
227,2022-02-09,1.3798730982351386,0.4029984966758723,0.45699371652989795
228,2021-11-26,0.6493864992429712,0.3074093800214617,0.33619981219420125
229,2018-02-14,0.05430605918723863,-0.14989624659622378,0.22622673141773228
230,2021-05-24,0.3783323266257623,-0.07886309042789293,0.38054724367906656
231,2024-07-31,0.6747997203186236,0.42875427402656724,0.34338995900911906
232,2017-02-24,0.4187383849846755,0.17736175024227402,0.35125140815898703
233,2023-12-19,-0.0376388725855038,-0.238146945246725,0.15628335074145006
234,2021-07-29,0.33246792047135276,-0.005624012897203283,0.3147850695887292
235,2023-09-22,1.0564950727403808,0.3959985721874813,0.30386677030478804
236,2023-05-18,0.013151255125824823,-0.12618075712331542,0.44005247866849756
237,2021-03-15,-0.04552959137340307,-0.2227810416702075,0.215792558053926
238,2019-09-10,0.005294314195241956,-0.17235073494480377,0.18770017322796062
239,2023-02-27,0.4109681472772664,0.14855125775174102,0.4251831793653061
240,2017-11-21,2.235577914725456,-0.05794236602529823,0.507421430443025
241,2022-02-18,0.9496500647279837,0.3588058045747371,0.2918677191794812
242,2017-08-11,0.37570592580362283,0.07592741868562232,0.1445358753062455
243,2023-04-19,0.14299791642387238,-0.02979450057859647,0.2828956117360872
244,2023-03-02,0.5907821389904278,0.34781758331000495,0.40212352319546724
245,2017-07-20,0.4644344701491636,-0.03516947549586919,0.35359874140422093
246,2023-12-15,-0.0398282132990152,-0.2664052738490762,0.17354215332332934
247,2021-02-05,0.4215678084155323,0.03016322105630021,0.3279822320528957
248,2024-02-23,0.27317809185639996,-0.13143224671774276,0.336695777537298
249,2017-04-13,0.2709822783897833,0.025780568387289603,0.25585854444723444
250,2018-02-21,-0.018414003430182735,-0.21670295271818413,0.2529662500150608
251,2021-08-02,0.3617154437719372,0.01035191800555563,0.32501262990005436
252,2018-03-13,0.3254712593140252,0.11692707839745609,0.24335890218302342
253,2019-10-25,0.11860530027641736,-0.07235264911872044,0.25632825867913356
254,2023-05-11,-0.020045688900627634,-0.180855850878776,0.46506630404912686
255,2017-12-01,2.3209108077775964,-0.050427909258286364,0.4563266577516457
256,2023-06-21,0.08199047685800753,-0.09624590435067833,0.2848098697147333
257,2017-08-31,0.38400884085699927,0.17663584887231926,0.17996799756742238
258,2018-02-12,0.0003589107313821671,-0.15961598056190582,0.20525235874612296
259,2022-03-01,0.948267583058616,0.4920138524838329,0.318447419565436
260,2024-03-11,0.41839672471242806,-0.10390726236706091,0.2578597293674125
261,2018-01-31,1.9627358694528145,1.4197724484834398,0.27931016182070567
262,2019-08-20,0.05444184501498994,-0.07750176700932469,0.23241541044752076
263,2025-10-03,2.9817167854093456,1.3731424115525275,0.30865362194700596
264,2026-02-27,0.1109453793130526,-0.11318225112525877,0.5370068637206177
265,2022-02-11,1.2528474115644261,0.3755053623450211,0.4952955658783072
266,2021-04-16,0.048784978275292046,-0.2103358276671209,0.25350019671128876
267,2019-12-03,3.555170099048115,0.022783773961458104,0.370957393321168
268,2023-01-24,0.07154190581092412,-0.16167586654795962,0.3844377893062529
269,2022-03-08,0.4184857971403808,0.10519744930951411,0.45237673495076314
270,2019-08-08,0.3458060548995652,0.18791794478575508,0.2691245448303598
271,2017-03-03,0.17434018087057934,-0.012003964860653905,0.36055991724641345
272,2017-12-18,2.692965191567617,0.07343233881386611,0.4337612220317423
273,2025-12-17,5.719255743614554,0.2580569557690635,0.3558376911002234
274,2021-02-10,0.5546158881312611,0.19029637137021146,0.3192898281498199
275,2021-07-06,0.27466734503264867,-0.0013697360299673564,0.26323178137470105
276,2021-06-02,0.760989703487658,0.26437140050250363,0.36339059152339154
277,2024-02-14,0.12931502600884093,-0.1709837843276784,0.369338507846624
278,2017-06-07,0.07992990727841476,-0.07538244218152504,0.2864230328777986
279,2017-07-17,0.37761226968945905,-0.10512322625155597,0.3798822237639675
280,2019-06-27,1.165993939816699,0.047558511826722376,0.3782034720422528
281,2021-07-15,0.3697286369076236,0.06816324694852896,0.2304759016846582
282,2023-06-06,0.025687789652784065,-0.14475807856723674,0.42143337603896835
283,2021-07-26,0.18104367729191306,-0.10239041530949355,0.30899111897363796
284,2021-04-05,-0.014327915885066544,-0.2333982600688097,0.17993176332913569
285,2025-10-31,-0.05314639791760278,-0.22592232681818936,0.3809691403715506
286,2018-01-10,2.390529697026636,0.42850107337227755,0.2703672680547592
287,2022-01-24,1.2570752948555635,0.1280448974802984,0.41140834571065915
288,2021-11-16,0.7605136038131788,0.30640448507628143,0.3360834381130228
289,2021-06-16,0.8848674643246282,0.440057882076223,0.39435612326772257
290,2024-04-11,0.36644472222941693,0.10455736509411384,0.1860848155465511
291,2019-06-07,1.1437768575436928,-0.02786977932051599,0.3554926459880362
292,2025-12-05,3.9062361190807877,-0.1274515484013103,0.3642331913521175
293,2019-10-29,0.16746994062455078,-0.05599573755189404,0.2581269203840121
294,2021-11-22,0.9829680866538792,0.529942894583902,0.3084442108683901
295,2021-09-29,0.3145061097693025,-0.06052393123984982,0.37125428883243616
296,2024-07-16,0.8029402724791863,0.34093800865620993,0.3996892669917196
297,2021-03-30,0.0752730484155597,-0.11879482081004535,0.1999951790899442
298,2019-07-17,1.1848310838621492,0.2895692169335848,0.47070400270399243
299,2017-03-01,0.5000594201101329,0.26846368864457915,0.35739442390262505
300,2020-10-08,0.5139942710457319,-0.10233248068951387,0.2786294278341642
301,2024-05-22,0.9692305733191087,0.23910263288944614,0.42372010716990116
302,2017-02-02,0.045114465518464986,-0.14551009090434538,0.3041303925759852
303,2024-10-28,1.0591130574704013,0.5918745915945157,0.34867331672593893
304,2021-11-17,0.8222742697200889,0.3740597350865224,0.32578847462918326
305,2017-11-21,2.235577914725456,-0.05794236602529823,0.507421430443025
306,2019-08-26,-0.03169976739715641,-0.16597372307366332,0.27304665090755925
307,2021-12-13,1.1097660296557268,-0.08409800785153236,0.4679897144656907
308,2019-09-25,0.08553157311721615,-0.06059490961662697,0.15913193940766138
309,2017-09-13,-0.016712386301137583,-0.17691784252227152,0.23932210192303213
310,2023-05-24,0.026212439957396416,-0.08604374060623061,0.4643253549819303
311,2023-06-08,0.04060729759991055,-0.1529517896255692,0.39144474785186756
312,2017-10-05,0.043224479873535726,-0.15628297450640896,0.3143858076999386
313,2019-07-10,1.0595497509218057,0.06008009897586349,0.40502424718237384
314,2019-04-16,0.7375479013553083,-0.1033647463122256,0.2562148926768067
315,2023-05-10,-0.03397513142166786,-0.19737881677088753,0.47524909377347324
316,2023-10-17,0.1070029003633961,-0.007774435137738635,0.23942394648607718
317,2023-10-10,0.44764458034859933,0.24899750093899142,0.30119240237387684
318,2025-11-03,1.296579651947403,-0.20069665418648971,0.3797129584922835
319,2024-01-12,0.19311989169624244,-0.014758993790205283,0.2765356810304911
320,2019-10-04,-0.006182510292869536,-0.17611583798395303,0.17714767950024607
321,2017-09-11,0.17107192563099405,-0.037709161301421996,0.18694526010060247
322,2023-01-30,0.28152149431353424,-0.03562117555089081,0.35503859796667825
323,2024-12-11,0.260663557815475,0.0688387223215175,0.305373476768782
324,2026-01-27,2.8915110232540786,1.9541081754193577,0.37900815089334794
325,2018-06-14,0.143572172388023,0.016919606722598988,0.21446669977965108
326,2018-06-28,-0.00807525190441527,-0.06982088444672191,0.2797802203261657
327,2017-04-05,0.18805209209277285,-0.03664980846783202,0.26352798531198884
328,2017-11-24,2.2418248559554126,-0.06324566661445467,0.4577996729158471
329,2021-12-15,1.170671223513509,-0.07401654942064187,0.4522838371387799
330,2021-11-26,0.6493864992429712,0.3074093800214617,0.33619981219420125
331,2020-10-26,1.0698633708068863,0.5246724068278226,0.257622216047536
332,2019-09-12,-0.010442061067980735,-0.16319715067510612,0.18068053602699805
333,2024-05-30,0.7359002902825056,0.10912515245051013,0.4316754725738138
334,2021-05-17,0.1947964024433364,-0.22486445452557438,0.407539772713896
335,2024-04-12,0.2978872844842204,0.04635460975803144,0.17836093019586516
336,2025-12-29,5.637050196605142,0.5096586107350556,0.31645595047475295
337,2019-09-27,-0.009980905749030322,-0.1249882075091592,0.18491728976171914
338,2018-04-16,-0.04209708251254185,-0.25795385064301124,0.3128107134287183
339,2025-12-04,3.649125814446651,-0.17698869901403874,0.35951890115324936
340,2023-03-15,0.12688360252912467,-0.029197008104810095,0.2154350019410743
341,2019-07-31,1.5697611605986808,1.093621125768769,0.41840034921870356
342,2023-02-14,0.3333766230016977,-0.03953332809378014,0.3873980187695861
343,2021-09-16,0.9939515051830783,0.38155331686889743,0.373235865479955
344,2024-11-15,0.08395996736663336,-0.11686126623066165,0.38474982882615605
345,2019-05-14,1.0796496107401863,0.05880252156207736,0.3325617795910841
346,2026-03-04,0.07517521404196548,-0.1296465849805833,0.47045435890653764
347,2025-10-28,-0.05267610793733868,-0.24281435823811393,0.388887755144683
348,2018-02-23,0.032548335359345204,-0.17878069566613203,0.2603360549931442
349,2018-01-18,2.1828337982098835,0.8492311932308179,0.26952083875876104
350,2021-10-27,0.5866279562034862,0.015384169226132807,0.2869548846449277
351,2017-04-24,0.27389970310219725,0.05208676520792756,0.2861604820926324
352,2019-08-16,0.06880492737680388,-0.04823057846543931,0.2260563826402718
353,2021-03-22,-0.021989184702824294,-0.15537520723088033,0.17055207452995702
354,2026-01-13,3.9162521875804535,1.5934972884952328,0.32543774513685636
355,2026-03-06,0.18373030324866635,-0.03662486115256159,0.44585537555417865
356,2017-12-18,2.692965191567617,0.07343233881386611,0.4337612220317423
357,2024-10-17,1.089661954640158,0.36057806641729684,0.2773292608471301
358,2017-08-03,0.7474152531474703,0.24472706944783743,0.3177471634297132
359,2023-11-28,0.20431996249777518,0.025373674089451216,0.29706572608456366
360,2024-07-08,0.6354356609739895,0.034510672572337114,0.3996241699165134
361,2024-10-15,1.0387893702146127,0.23899885328841688,0.2701914244035576
362,2018-05-31,-0.04371847211531332,-0.2216030735120412,0.21158651179677496
363,2024-10-21,1.0337191361487443,0.4028887817493379,0.2983997186000952
364,2017-09-28,-0.05035985871177584,-0.26873475480344783,0.2393691237614791
365,2021-09-24,0.40866022590449913,0.017977301866746058,0.31316799350340724
366,2021-06-08,0.5861549980404115,0.16696649756718754,0.4351811294761698
367,2019-09-25,0.08553157311721615,-0.06059490961662697,0.15913193940766138
368,2017-03-02,0.2236772164865155,0.03435488986036474,0.43652846749269136
369,2024-01-22,0.23230434081865448,-0.016715129814781442,0.2749773868266952
370,2019-11-07,0.13102278150966007,-0.152409111091101,0.24877626780572903
371,2023-05-15,-0.0357533729228009,-0.15606996499252956,0.46026120831787154
372,2021-01-25,0.6386999081447258,0.01886855890133545,0.2738361148276523
373,2020-10-30,0.6058546553661284,0.22093035823698076,0.31109753832923503
374,2024-10-04,0.8387921101892468,-0.07417231327089631,0.3163354037187182
375,2017-08-11,0.37570592580362283,0.07592741868562232,0.1445358753062455
376,2023-10-31,0.17159492255131803,0.020175039945783502,0.32902964286893666
377,2023-11-22,0.11084863417653268,-0.046902685849169935,0.30171171684043707
378,2020-11-13,-0.02888299042854736,-0.23479687665954088,0.20931699060887138
379,2019-05-29,1.8551749850472974,0.26707892500862596,0.3616609075864174
