Date,event_shock_signal,event_shock_signal_lag1,one_day_total_var_lift
2017-01-05,0.0,0.0,-0.010800508312436397
2017-01-06,0.0,0.0,0.13969154737489964
2017-01-09,0.0,0.0,0.00040964059907055983
2017-01-10,0.0,0.0,-0.016018873958774882
2017-01-11,0.0,0.0,-0.05440762342040062
2017-01-12,0.0,0.0,-0.04911899564586142
2017-01-13,0.0,0.0,-0.04707044709048369
2017-01-17,0.0,0.0,-0.04728317204299404
2017-01-18,0.0,0.0,0.09059142666874065
2017-01-19,0.0,0.0,0.050742173290884596
2017-01-20,0.0,0.0,-0.03611344483065537
2017-01-23,0.0,0.0,-0.04700351067391784
2017-01-24,0.0,0.0,0.0014110272321190553
2017-01-25,0.0,0.0,-0.022042040424247955
2017-01-26,0.0,0.0,0.0564425948692191
2017-01-27,0.0,0.0,-0.011971775866336687
2017-01-30,0.0,0.0,-0.052996225847619094
2017-01-31,0.0,0.0,-0.03350612964295663
2017-02-01,0.0,0.0,0.053614983125167326
2017-02-02,0.0,0.0,-0.03803097240697029
2017-02-03,0.0,0.0,-0.04748056151815472
2017-02-06,0.0,0.0,-0.038103716807806554
2017-02-07,0.0,0.0,0.028706562853441975
2017-02-08,0.0,0.0,-0.026724224754331116
2017-02-09,0.0,0.0,0.02994703571333246
2017-02-10,0.0,0.0,0.03527349129727586
2017-02-13,0.0,0.0,-0.050745786870637466
2017-02-14,0.0,0.0,-0.022969323709587264
2017-02-15,0.0,0.0,-0.029395337275585742
2017-02-16,0.0,0.0,-0.029987376198541527
2017-02-17,0.0,0.0,-0.01999897674834661
2017-02-21,0.0,0.0,-0.027027241138356528
2017-02-22,0.0,0.0,-0.02810746020719057
2017-02-23,0.0,0.0,-0.05495193294457201
2017-02-24,0.0,0.0,-0.015190598118037357
2017-02-27,0.0,0.0,0.024082709037679617
2017-02-28,0.0,0.0,-0.029476599876612775
2017-03-01,0.0,0.0,-0.0484035527008696
2017-03-02,0.0,0.0,0.22586201646965365
2017-03-03,0.0,0.0,0.042012558558083946
2017-03-06,0.0,0.0,-0.025167557851435207
2017-03-07,0.0,0.0,-0.01792115712599751
2017-03-08,0.0,0.0,-0.0050239585469332715
