rep,horizon,total_variance_lift,avg_abs_corr_delta
0,0,-0.02352753911688832,0.019560684189625244
0,1,-0.07808073457892017,0.02142567434795953
0,2,-0.057083076975511404,0.03279457418910856
0,3,0.019574888593612227,0.05935140111844274
0,4,-0.037567355757843424,0.058077214834360125
0,5,-0.0647587059389495,0.0513770682695906
0,6,-0.0021769067476964388,0.09636001422648441
0,7,0.17101755277113417,0.18492112762238286
0,8,0.1268028092424407,0.16793036333033323
0,9,0.19621763879017062,0.2291134055257916
0,10,0.18597976718561138,0.22999533050679202
0,11,0.16550759007947713,0.22218546706257794
0,12,0.32297750260142144,0.24731264171241243
0,13,0.25485890254672783,0.24277726219174306
0,14,0.1984025390164137,0.23709785568100847
0,15,0.23733033393514225,0.25507581972686755
0,16,0.21940084957259387,0.2611572044208394
0,17,0.16825271075875592,0.25903369533939224
0,18,0.16445026588803469,0.24419932766752797
0,19,0.2555157186772987,0.21500539832101856
0,20,0.19236710325094886,0.2066518838169765
0,21,0.16399241031564893,0.20919793132752043
0,22,0.2172326380113252,0.17014737522317408
0,23,0.18792968314376335,0.1744586650162757
0,24,0.4017065878465531,0.22486478079620786
0,25,0.3656137058997757,0.2221865504085177
0,26,0.44737115344239187,0.21757872829524993
0,27,0.3756420517888206,0.20953948479026438
0,28,0.610975786567306,0.304637709710179
0,29,0.5452024514342932,0.2970562459472088
0,30,0.5193784311524585,0.2981668227923425
0,31,0.45726321277968185,0.28946165946653124
0,32,0.3942551798288898,0.27781838673676973
0,33,0.39314621895013757,0.2771042146761132
0,34,0.32272465175412157,0.26795989745726784
0,35,0.32378640505300726,0.25219007764164986
0,36,0.29177300789146376,0.2388663430651893
0,37,0.23344696769235895,0.23276507866845328
0,38,0.2756755579395096,0.23138250643779862
0,39,0.2880386838123403,0.2344511655423271
0,40,0.43581259357260027,0.2522022916042318
0,41,0.3635052742236957,0.244948808526979
0,42,0.3110189108620065,0.2410634257587722
0,43,0.2951159655586073,0.2358752224236323
0,44,0.22315630583984714,0.22990839320968998
0,45,0.15718644916663327,0.22689743477478674
0,46,0.15541519904970014,0.2525615625718819
0,47,0.10885571252323434,0.24650412821413878
0,48,0.09338965341094196,0.24745583545213864
0,49,0.056372719170810104,0.22640242240592218
0,50,0.009082816562626883,0.22784381346720123
0,51,-0.03488052358450944,0.2229261386556609
0,52,-0.02399142455387393,0.20810001189275257
0,53,-0.04741416721469127,0.2104141029966793
0,54,-0.06870248070614215,0.2103918433516732
0,55,-0.08613276501702027,0.21262323570781655
