code,ticker,name,foundry,fabless,log_mktcap,event_date,year,quarter,tau_event,tau_baseline,rel_lift,log_r2_surprise,log_r2_surprise_next,firm_theta2_full,firm_persistence
2330,2330.TW,TSMC,1,0,31.56708743489335,2010-04-30,2010,2,0.00023967376355325237,0.00014200414004489099,0.6877941972500634,-2.418674347824584,-2.4186743478246333,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2010-07-30,2010,3,0.00025223648998211454,0.00023492818452352897,0.07367487853230345,-0.25024991189117624,-3.8222329273473212,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2010-10-29,2010,4,0.00023268127835689197,0.00017503108572553946,0.32937116508408054,-3.848064192074462,0.030577239796527957,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2011-03-16,2011,1,0.00031160210210265767,0.0001477277508152829,1.1092997110088099,-1.1594233357403185,0.426397158431598,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2011-05-03,2011,2,0.00020024141330152772,0.00015970652057740282,0.25380862708407326,0.6095667888515511,-0.5178547195709658,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2011-08-29,2011,3,0.0003453902209167645,0.00023492014180449768,0.4702452427608393,0.12437710980383791,-2.5352265281625375,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2011-10-28,2011,4,0.000261646225240702,0.00033716432652865767,-0.2239801050884217,-0.11768367977749909,-1.891972645036268,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2012-03-01,2012,1,0.00020385869727987987,0.00016516585362643914,0.23426660416718798,-1.251362937880041,-5.842954694810839,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2013-05-14,2013,2,0.00017821214686227006,0.00012272811569198505,0.4520890006128276,-1.304584498225513,-2.695187870433598,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2013-08-13,2013,3,0.00017601776243405712,0.00012793847626063308,0.3758000531089499,-1.3534411220185458,-3.5588287501290075,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2013-11-12,2013,4,0.0001784555134560616,0.0001309677444732404,0.3625913324980871,-2.265273998347454,0.5217439503738668,6.05283061585334e-05,0.9778742205093218
2330,2330.TW,TSMC,1,0,31.56708743489335,2014-02-25,2014,1,0.0001827383191647066,0.00012444551905505108,0.4684202416630886,-1.0257490842634476,-2.4166785877617105,6.05283061585334e-05,0.9778742205093218
