Date,QQQ
2007-01-03,37.0795783996582
2007-01-04,37.78276824951172
2007-01-05,37.60268020629883
2007-01-08,37.628395080566406
2007-01-09,37.81705856323242
2007-01-10,38.262969970703125
2007-01-11,38.65743637084961
2007-01-12,38.854671478271484
2007-01-16,38.82896423339844
2007-01-17,38.51167297363281
2007-01-18,37.7999153137207
2007-01-19,37.8770866394043
2007-01-22,37.465457916259766
2007-01-23,37.37114334106445
2007-01-24,37.98857879638672
2007-01-25,37.4997673034668
2007-01-26,37.3625602722168
2007-01-29,37.3968620300293
2007-01-30,37.414024353027344
2007-01-31,37.79132843017578
2007-02-01,37.73130416870117
2007-02-02,37.868526458740234
2007-02-05,37.834224700927734
2007-02-06,37.78276824951172
2007-02-07,38.12577819824219
2007-02-08,38.1171875
2007-02-09,37.628395080566406
2007-02-12,37.48261260986328
2007-02-13,37.61125946044922
2007-02-14,38.245819091796875
2007-02-15,38.468780517578125
2007-02-16,38.34015655517578
2007-02-20,38.6317024230957
2007-02-21,38.75175476074219
2007-02-22,38.94900894165039
2007-02-23,38.81181335449219
2007-02-26,38.62313461303711
2007-02-27,37.03672409057617
2007-02-28,37.156761169433594
2007-03-01,36.98524475097656
2007-03-02,36.427860260009766
2007-03-05,36.14487838745117
2007-03-06,36.745140075683594
2007-03-07,36.5993766784668
2007-03-08,36.84804916381836
2007-03-09,36.813751220703125
2007-03-12,37.05384826660156
2007-03-13,36.33353805541992
2007-03-14,36.86520004272461
2007-03-15,36.77945327758789
2007-03-16,36.751129150390625
2007-03-19,37.128684997558594
2007-03-20,37.39468765258789
2007-03-21,38.11545181274414
2007-03-22,37.97818374633789
2007-03-23,37.858036041259766
2007-03-26,38.012508392333984
2007-03-27,37.746482849121094
2007-03-28,37.343204498291016
2007-03-29,37.38610076904297
2007-03-30,37.351783752441406
2007-04-02,37.40327072143555
2007-04-03,37.892372131347656
2007-04-04,38.04682159423828
2007-04-05,38.235591888427734
2007-04-09,38.14121627807617
2007-04-10,38.33855056762695
2007-04-11,37.93525695800781
2007-04-12,38.235591888427734
2007-04-13,38.312808990478516
2007-04-16,38.664642333984375
2007-04-17,38.75042724609375
2007-04-18,38.62171936035156
2007-04-19,38.74184799194336
2007-04-20,38.95637893676758
2007-04-23,39.016422271728516
2007-04-24,39.213783264160156
2007-04-25,39.73720169067383
2007-04-26,39.94316101074219
2007-04-27,39.96030807495117
2007-04-30,39.43690490722656
2007-05-01,39.40257263183594
2007-05-02,39.83160400390625
2007-05-03,39.97748947143555
2007-05-04,40.01179504394531
2007-05-07,40.01179504394531
2007-05-08,40.097599029541016
2007-05-09,40.18341827392578
2007-05-10,39.63425827026367
2007-05-11,40.140506744384766
2007-05-14,39.86594009399414
2007-05-15,39.55702590942383
2007-05-16,39.94316101074219
2007-05-17,39.754371643066406
2007-05-18,40.08042907714844
2007-05-21,40.337867736816406
2007-05-22,40.37220764160156
2007-05-23,40.18341827392578
2007-05-24,39.60851287841797
2007-05-25,39.85734176635742
2007-05-29,40.166236877441406
2007-05-30,40.4923210144043
2007-05-31,40.681095123291016
2007-06-01,40.70682907104492
2007-06-04,40.826969146728516
2007-06-05,40.826969146728516
2007-06-06,40.38935470581055
2007-06-07,39.76295471191406
2007-06-08,40.25204849243164
2007-06-11,40.17483901977539
2007-06-12,39.93457794189453
2007-06-13,40.37220764160156
2007-06-14,40.63817596435547
2007-06-15,41.013450622558594
2007-06-18,41.02204513549805
2007-06-19,41.013450622558594
2007-06-20,40.62702178955078
2007-06-21,40.99628448486328
2007-06-22,40.6098518371582
2007-06-25,40.4380989074707
2007-06-26,40.20623779296875
2007-06-27,40.82453155517578
2007-06-28,40.8073616027832
2007-06-29,40.87605285644531
2007-07-02,41.245304107666016
2007-07-03,41.48576736450195
2007-07-05,41.78632354736328
2007-07-06,41.95808029174805
2007-07-09,41.983829498291016
2007-07-10,41.631752014160156
2007-07-11,41.91511917114258
2007-07-12,42.5591926574707
2007-07-13,42.851158142089844
2007-07-16,42.808204650878906
2007-07-17,43.13454818725586
2007-07-18,43.083038330078125
2007-07-19,43.211849212646484
2007-07-20,42.97998046875
2007-07-23,42.99715042114258
2007-07-24,42.36167526245117
2007-07-25,42.42179489135742
2007-07-26,42.061119079589844
2007-07-27,41.210968017578125
2007-07-30,41.691856384277344
2007-07-31,40.81595230102539
2007-08-01,41.13368225097656
2007-08-02,41.51152801513672
2007-08-03,40.72150421142578
2007-08-06,41.19379806518555
2007-08-07,41.48576736450195
2007-08-08,41.94091796875
2007-08-09,40.970523834228516
2007-08-10,40.60124969482422
2007-08-13,40.87605285644531
2007-08-14,40.180477142333984
2007-08-15,39.41621398925781
2007-08-16,39.02976989746094
2007-08-17,39.76828384399414
2007-08-20,39.95721435546875
2007-08-21,40.37798309326172
2007-08-22,40.9276008605957
2007-08-23,40.81595230102539
2007-08-24,41.39130401611328
2007-08-27,41.11651611328125
2007-08-28,40.13754653930664
2007-08-29,41.28825378417969
2007-08-30,41.50293731689453
2007-08-31,41.966651916503906
2007-09-04,42.6622428894043
2007-09-05,42.23286056518555
2007-09-06,42.198516845703125
2007-09-07,41.41706085205078
2007-09-10,41.39130401611328
2007-09-11,42.018184661865234
2007-09-12,42.02677917480469
2007-09-13,42.23286056518555
2007-09-14,42.267208099365234
2007-09-17,41.91511917114258
2007-09-18,42.971378326416016
2007-09-19,43.083038330078125
2007-09-20,42.962799072265625
2007-09-21,43.2686653137207
2007-09-24,43.466285705566406
2007-09-25,43.878700256347656
2007-09-26,44.0934944152832
2007-09-27,44.3168830871582
2007-09-28,44.17082214355469
2007-10-01,44.67772674560547
2007-10-02,44.68632888793945
2007-10-03,44.37702941894531
2007-10-04,44.48012161254883
2007-10-05,45.38227081298828
2007-10-08,45.66579818725586
2007-10-09,45.86342239379883
2007-10-10,45.97511672973633
2007-10-11,45.24478530883789
2007-10-12,45.99229049682617
2007-10-15,45.640037536621094
2007-10-16,45.42524719238281
2007-10-17,46.009483337402344
2007-10-18,46.20708465576172
2007-10-19,45.055789947509766
2007-10-22,45.597076416015625
2007-10-23,46.55076217651367
2007-10-24,46.19851303100586
2007-10-25,45.57987594604492
2007-10-26,46.335975646972656
2007-10-29,46.52499771118164
2007-10-30,46.61951446533203
2007-10-31,47.28107452392578
2007-11-01,46.39610290527344
2007-11-02,46.756961822509766
2007-11-05,46.45625686645508
2007-11-06,46.9803466796875
2007-11-07,45.8376350402832
2007-11-08,44.445743560791016
2007-11-09,42.9593505859375
2007-11-12,41.868186950683594
2007-11-13,43.59516525268555
2007-11-14,43.03668975830078
2007-11-15,42.80471420288086
2007-11-16,43.19993591308594
2007-11-19,42.701595306396484
2007-11-20,42.87344741821289
2007-11-21,42.36651611328125
2007-11-23,42.82188415527344
2007-11-26,42.0829963684082
2007-11-27,42.92499542236328
2007-11-28,44.23094940185547
2007-11-29,44.41997146606445
2007-11-30,44.084903717041016
2007-12-03,43.71544647216797
2007-12-04,43.53501892089844
2007-12-05,44.3168830871582
2007-12-06,44.95268630981445
2007-12-07,44.961273193359375
2007-12-10,45.141700744628906
2007-12-11,44.0934944152832
2007-12-12,44.48869705200195
2007-12-13,44.24814987182617
2007-12-14,43.79277420043945
2007-12-17,42.72739028930664
2007-12-18,42.86485290527344
2007-12-19,42.856266021728516
2007-12-20,43.732635498046875
2007-12-21,44.59529113769531
2007-12-24,44.93071746826172
2007-12-26,45.15433120727539
2007-12-27,44.61250686645508
2007-12-28,44.56949234008789
2007-12-31,44.05344772338867
2008-01-02,43.35676956176758
2008-01-03,43.537391662597656
2008-01-04,41.62800216674805
2008-01-07,41.430179595947266
2008-01-08,40.3550910949707
2008-01-09,41.215152740478516
2008-01-10,41.27537155151367
2008-01-11,40.466915130615234
2008-01-14,41.17217254638672
2008-01-15,40.03684616088867
2008-01-16,39.60680389404297
2008-01-17,39.05635452270508
2008-01-18,39.00474548339844
2008-01-22,37.99845886230469
2008-01-23,37.85222625732422
2008-01-24,38.626312255859375
2008-01-25,37.83503723144531
2008-01-28,38.127479553222656
2008-01-29,38.19626998901367
2008-01-30,38.16188049316406
2008-01-31,38.81553268432617
2008-02-01,39.2111701965332
2008-02-04,38.66071319580078
2008-02-05,37.559810638427734
2008-02-06,36.820125579833984
2008-02-07,37.07817459106445
2008-02-08,37.499603271484375
2008-02-11,37.903865814208984
2008-02-12,37.68881607055664
2008-02-13,38.514495849609375
2008-02-14,37.817848205566406
2008-02-15,37.68881607055664
2008-02-19,37.62002182006836
2008-02-20,37.79203796386719
2008-02-21,37.430816650390625
2008-02-22,37.56840133666992
2008-02-25,37.757625579833984
2008-02-26,37.903865814208984
2008-02-27,38.09307098388672
2008-02-28,37.94684600830078
2008-02-29,36.940555572509766
2008-03-03,36.699745178222656
2008-03-04,36.90614318847656
2008-03-05,37.08675765991211
