event_date,flag,theta_eav_fitted,theta_eav_empirical,r2_d,g_d,vix2_d_lag,baseline_d,stock,guide_updated,guide_midpoint,guide_delta_pct,note
2014-02-26,change,-3.395420727417256e-05,-0.00022763706972819014,2.1532399621688185e-05,0.7173274246389549,186.86890208587647,0.0002576546027014009,2330.TW,1.0,10.0,0.0,FY2014 guide initial ~10bn
2014-03-17,change,0.0007235338801488167,-0.0002973838440048413,1.4966472484169533e-05,0.7012936285416292,317.55238912353525,0.0003187250795088526,2303.TW,1.0,1.3,0.0,FY2014 guide ~$1.3bn (annual report)
2014-05-05,stable,0.0003842648235393011,3.9660874873729895e-05,0.00023488101738071657,0.7705082927222051,166.6680960601807,0.00026517817695643554,2303.TW,0.0,1.3,0.0,held
2014-05-15,stable,-5.712908055993329e-05,-0.00023897987039314455,0.0,0.6499611326959427,148.10890185699463,0.00023897987039314455,2330.TW,0.0,10.0,0.0,held
2014-08-01,stable,0.0003842648235393011,0.00023118973511964763,0.0013130450518365178,2.435265044832783,287.30252586364804,0.00030798979058437194,2303.TW,0.0,1.3,0.0,held
2014-08-14,stable,-5.712908055993329e-05,-8.657449719723899e-05,0.00014812619699819838,0.9187663982871912,166.4099901580812,0.0002477974122650325,2330.TW,0.0,10.0,0.0,held
2014-11-03,stable,0.0003842648235393011,-0.00026167532605330263,1.3975282359736806e-05,0.98342756126957,196.8408925071717,0.00027588611585636165,2303.TW,0.0,1.3,0.0,held
2014-11-13,stable,-5.712908055993329e-05,7.348844534374352e-05,0.0002261357035267651,0.7005780114897456,169.52041192016623,0.00024929602664660396,2330.TW,0.0,10.0,0.0,held
2015-02-25,change,-3.395420727417256e-05,0.00045503876689058056,0.0005250605610344173,0.7364547320146418,187.41608851089495,0.00025791823943900643,2330.TW,1.0,12.0,20.0,FY2015 guide raised
2015-03-20,change,0.0007235338801488167,1.648549048931556e-05,0.00016125930622957823,0.5508044925766268,197.9648914123536,0.00027628500866768644,2303.TW,1.0,1.5,15.38461538461538,FY2015 guide ~$1.5bn (annual report)
